paper,author,affiliations
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,A. G. Kim,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,B. O'Connor,"Department of Physics, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,J. Aguilar,"Physics Dept., Boston University, 590 Commonwealth Avenue, Boston, MA 02215, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,S. Ahlen,"Dipartimento di Fisica Aldo Pontremoli'', Università degli Studi di Milano, Via Celoria 16, I-20133 Milano, Italy" The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,D. Bianchi,"Dipartimento di FisicaAldo Pontremoli'', Università degli Studi di Milano, Via Celoria 16, I-20133 Milano, Italy"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,D. Brooks,"Department of Physics & Astronomy, University College London, Gower Street, London, WC1E 6BT, UK"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,A. de la Macorra,"Instituto de Física, Universidad Nacional Autónoma de México, Circuito de la Investigación Científica,Ciudad Universitaria, Cd. de México C. P. 04510, México"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,A. Dey,"NSF NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,P. Doel,"Department of Physics & Astronomy, University College London, Gower Street, London, WC1E 6BT, UK"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,J. E. Forero-Romero,"Departamento de Física, Universidad de los Andes, Cra. 1 No. 18A-10, Edificio Ip, CP 111711, Bogotá, Colombia; Observatorio Astronómico, Universidad de los Andes, Cra. 1 No. 18A-10, Edificio H, CP 111711 Bogotá, Colombia"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,E. Gaztañaga,"Institut d'Estudis Espacials de Catalunya (IEEC), c/ Esteve Terradas 1, Edifici RDIT, Campus PMT-UPC, 08860 Castelldefels, Spain; Institute of Cosmology & Gravitation, University of Portsmouth, Dennis Sciama Building, Portsmouth, PO1 3FX, UK; Institute of Space Sciences, ICE-CSIC, Campus UAB, Carrer de Can Magrans s/n, 08913 Bellaterra, Barcelona, Spain"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,S. Gontcho A Gontcho,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,G. Gutierrez,"Fermi National Accelerator Laboratory, PO Box 500, Batavia, IL 60510, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,R. Kehoe,"Department of Physics, Southern Methodist University, 3215 Daniel Avenue, Dallas, TX 75275, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,A. Lambert,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,M. Landriau,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,L. Le Guillou,"Sorbonne Université, CNRS/IN2P3, Laboratoire de Physique Nucléaire et de Hautes Energies (LPNHE), FR-75005 Paris, France"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,A. Meisner,"NSF NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,R. Miquel,"Institució Catalana de Recerca i Estudis Avançats, Passeig de Lluís Companys, 23, 08010 Barcelona, Spain; Institut de Física d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Edifici Cn, Campus UAB, 08193, Bellaterra (Barcelona), Spain"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,J. Moustakas,"Department of Physics and Astronomy, Siena College, 515 Loudon Road, Loudonville, NY 12211, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,F. Prada,"Instituto de Astrofísica de Andalucía (CSIC), Glorieta de la Astronomía, s/n, E-18008 Granada, Spain"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,I. Pérez-Ràfols,"Departament de Física, EEBE, Universitat Politècnica de Catalunya, c/Eduard Maristany 10, 08930 Barcelona, Spain"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,G. Rossi,"Department of Physics and Astronomy, Sejong University, 209 Neungdong-ro, Gwangjin-gu, Seoul 05006, Republic of Korea"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,E. Sanchez,"CIEMAT, Avenida Complutense 40, E-28040 Madrid, Spain"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,M. Schubnell,"Department of Physics, University of Michigan, 450 Church Street, Ann Arbor, MI 48109, USA; University of Michigan, 500 S. State Street, Ann Arbor, MI 48109, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,H. Seo,"Department of Physics & Astronomy, Ohio University, 139 University Terrace, Athens, OH 45701, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,D. Sprayberry,"NSF NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,G. Tarlé,"University of Michigan, 500 S. State Street, Ann Arbor, MI 48109, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,B. A. Weaver,"NSF NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA"
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,H. Zou,"National Astronomical Observatories, Chinese Academy of Sciences, A20 Datun Rd., Chaoyang District, Beijing, 100012, P.R. China"

Synthetic Modelling of Polarized Dust Emission in Intermediate-Mass YSOs: II: Effects of Radiative Torque Disruption on Dust Grains in Protostellar Jets/Outflows,Nguyen Chau Giang,"Korea Astronomy and Space Science Institute, Daejeon 34055, Republic of Korea; Department of Astronomy and Space Science, University of Science and Technology, 217 Gajeong-ro, Yuseong-gu, Daejeon, 34113, Republic of Korea"
Synthetic Modelling of Polarized Dust Emission in Intermediate-Mass YSOs: II: Effects of Radiative Torque Disruption on Dust Grains in Protostellar Jets/Outflows,V. J. M. Le Gouellec,"NASA Ames Research Center, Space Science and Astrobiology Division M.S. 245-6 Moffett Field, CA 94035, US; NASA Postdoctoral Program Fellow"
Synthetic Modelling of Polarized Dust Emission in Intermediate-Mass YSOs: II: Effects of Radiative Torque Disruption on Dust Grains in Protostellar Jets/Outflows,Thiem Hoang,"Korea Astronomy and Space Science Institute, Daejeon 34055, Republic of Korea; Department of Astronomy and Space Science, University of Science and Technology, 217 Gajeong-ro, Yuseong-gu, Daejeon, 34113, Republic of Korea"
Synthetic Modelling of Polarized Dust Emission in Intermediate-Mass YSOs: II: Effects of Radiative Torque Disruption on Dust Grains in Protostellar Jets/Outflows,A. J. Maury,"Institute of Space Sciences (ICE), CSIC, Campus UAB, Barcelona, Spain; ICREA, Pg. Lluís Companys 23, Barcelona, Spain"
Synthetic Modelling of Polarized Dust Emission in Intermediate-Mass YSOs: II: Effects of Radiative Torque Disruption on Dust Grains in Protostellar Jets/Outflows,P. Hennebelle,"AIM, CEA, CNRS, Université Paris-Saclay, Université Paris Diderot, Sorbonne Paris Cité, F-91191 Gif-sur-Yvette, France"

The Three Hundred Project hydrodynamical simulations: Hydrodynamical Weak-Lensing Cluster Mass Biases and Richnesses using different hydro models,C. Giocoli,"INAF-Osservatorio di Astrofisica e Scienza dello Spazio di Bologna, Via Piero Gobetti 93/3, 40129 Bologna, Italy; INFN -- Sezione di Bologna, viale Berti Pichat 6/2, I-40127 Bologna, Italy"
The Three Hundred Project hydrodynamical simulations: Hydrodynamical Weak-Lensing Cluster Mass Biases and Richnesses using different hydro models,G. Despali,"Dipartimento di Fisica e Astronomia ""Augusto Righi"", Alma Mater Studiorum Università di Bologna, via Gobetti 93/2, I-40129 Bologna, Italy; INAF-Osservatorio di Astrofisica e Scienza dello Spazio di Bologna, Via Piero Gobetti 93/3, 40129 Bologna, Italy; INFN -- Sezione di Bologna, viale Berti Pichat 6/2, I-40127 Bologna, Italy"
The Three Hundred Project hydrodynamical simulations: Hydrodynamical Weak-Lensing Cluster Mass Biases and Richnesses using different hydro models,M. Meneghetti,"INAF-Osservatorio di Astrofisica e Scienza dello Spazio di Bologna, Via Piero Gobetti 93/3, 40129 Bologna, Italy; INFN -- Sezione di Bologna, viale Berti Pichat 6/2, I-40127 Bologna, Italy"
The Three Hundred Project hydrodynamical simulations: Hydrodynamical Weak-Lensing Cluster Mass Biases and Richnesses using different hydro models,E. Rasia,"INAF -- Osservatorio Astronomico di Trieste, via Tiepolo 11, I-34131, Trieste, Italy; IFPU, Institute for Fundamental Physics of the Universe, Via Beirut 2, 34014 Trieste, Italy; Department of Physics; University of Michigan, Ann Arbor, MI 48109, USA"
The Three Hundred Project hydrodynamical simulations: Hydrodynamical Weak-Lensing Cluster Mass Biases and Richnesses using different hydro models,L. Moscardini,"Dipartimento di Fisica e Astronomia ""Augusto Righi"", Alma Mater Studiorum Università di Bologna, via Gobetti 93/2, I-40129 Bologna, Italy; INAF-Osservatorio di Astrofisica e Scienza dello Spazio di Bologna, Via Piero Gobetti 93/3, 40129 Bologna, Italy; INFN -- Sezione di Bologna, viale Berti Pichat 6/2, I-40127 Bologna, Italy"
The Three Hundred Project hydrodynamical simulations: Hydrodynamical Weak-Lensing Cluster Mass Biases and Richnesses using different hydro models,S. Borgani,"Dipartimento di Fisica, Università di Trieste, Sez. di Astronomia, via Tiepolo 11, I-34131 Trieste, Italy; INAF -- Osservatorio Astronomico di Trieste, via Tiepolo 11, I-34131, Trieste, Italy; IFPU, Institute for Fundamental Physics of the Universe, Via Beirut 2, 34014 Trieste, Italy; ICSC - Italian Research Center on High Performance Computing, Big Data and Quantum Computing, via Magnanelli 2, 40033, Casalecchio di Reno, Italy; INFN -- Instituto Nazionale di Fisica Nucleare, Via Valerio 2, I-34127, Trieste, Italy"
The Three Hundred Project hydrodynamical simulations: Hydrodynamical Weak-Lensing Cluster Mass Biases and Richnesses using different hydro models,G. F. Lesci,"Dipartimento di Fisica e Astronomia ""Augusto Righi"", Alma Mater Studiorum Università di Bologna, via Gobetti 93/2, I-40129 Bologna, Italy; INAF-Osservatorio di Astrofisica e Scienza dello Spazio di Bologna, Via Piero Gobetti 93/3, 40129 Bologna, Italy"
The Three Hundred Project hydrodynamical simulations: Hydrodynamical Weak-Lensing Cluster Mass Biases and Richnesses using different hydro models,F. Marulli,"Dipartimento di Fisica e Astronomia ""Augusto Righi"", Alma Mater Studiorum Università di Bologna, via Gobetti 93/2, I-40129 Bologna, Italy; INAF-Osservatorio di Astrofisica e Scienza dello Spazio di Bologna, Via Piero Gobetti 93/3, 40129 Bologna, Italy; INFN -- Sezione di Bologna, viale Berti Pichat 6/2, I-40127 Bologna, Italy"
The Three Hundred Project hydrodynamical simulations: Hydrodynamical Weak-Lensing Cluster Mass Biases and Richnesses using different hydro models,W. Cui,"Departamento de Física Teórica, Módulo 15, Facultad de Ciencias, Universidad Autónoma de Madrid, E-28049, Madrid, Spain; Centro de Investigación Avanzada en Física Fundamental (CIAFF), Facultad de Ciencias, Universidad Autónoma de Madrid, E-28049, Madrid, Spain; Institute for Astronomy, University of Edinburgh, Royal Observatory, Edinburgh EH9 3HJ, UK"
The Three Hundred Project hydrodynamical simulations: Hydrodynamical Weak-Lensing Cluster Mass Biases and Richnesses using different hydro models,G. Yepes,"Departamento de Física Teórica, Módulo 15, Facultad de Ciencias, Universidad Autónoma de Madrid, E-28049, Madrid, Spain; Centro de Investigación Avanzada en Física Fundamental (CIAFF), Facultad de Ciencias, Universidad Autónoma de Madrid, E-28049, Madrid, Spain"

The Cosmic Microwave Background -- Secondary Anisotropies,Federico Bianchini,"SLAC National Accelerator Laboratory, 2575 Sand Hill Road, Menlo Park, CA, 94025, USA; Kavli Institute for Particle Astrophysics and Cosmology, Stanford University, 452 Lomita Mall, Stanford, CA, 94305, USA; Department of Physics, Stanford University, 382 Via Pueblo Mall, Stanford, CA, 94305, USA"
The Cosmic Microwave Background -- Secondary Anisotropies,Abhishek Maniyar,"SLAC National Accelerator Laboratory, 2575 Sand Hill Road, Menlo Park, CA, 94025, USA; Kavli Institute for Particle Astrophysics and Cosmology, Stanford University, 452 Lomita Mall, Stanford, CA, 94305, USA; Department of Physics, Stanford University, 382 Via Pueblo Mall, Stanford, CA, 94305, USA"


Mixing by Internal Gravity Waves in Stars: Assessing Numerical Simulations Against Theory,J. Morton,"Physics and Astronomy, University of Exeter, Exeter, EX4 4QL, UK"
Mixing by Internal Gravity Waves in Stars: Assessing Numerical Simulations Against Theory,T. Guillet,"Physics and Astronomy, University of Exeter, Exeter, EX4 4QL, UK"
Mixing by Internal Gravity Waves in Stars: Assessing Numerical Simulations Against Theory,I. Baraffe,"Physics and Astronomy, University of Exeter, Exeter, EX4 4QL, UK; Ecole Normale Sup'erieure, Lyon, CRAL (UMR CNRS 5574), Universit'e de Lyon, France"
Mixing by Internal Gravity Waves in Stars: Assessing Numerical Simulations Against Theory,A. Morison,"Physics and Astronomy, University of Exeter, Exeter, EX4 4QL, UK"
Mixing by Internal Gravity Waves in Stars: Assessing Numerical Simulations Against Theory,A. Le Saux,"Université Paris-Saclay, Université Paris Cité, CEA, CNRS, AIM, 91191, Gif-sur-Yvette, France"
Mixing by Internal Gravity Waves in Stars: Assessing Numerical Simulations Against Theory,D.G. Vlaykov,"Mathematics and Statistics, University of Exeter, Exeter EX4 4QF, UK"
Mixing by Internal Gravity Waves in Stars: Assessing Numerical Simulations Against Theory,T. Goffrey,"Centre for Fusion, Space and Astrophysics, Department of Physics, University of Warwick, Coventry CV4 7AL, UK; Healthcare Technology Institute, School of Chemical Engineering, The University of Birmingham, Birmingham, B15 2TT, UK"
Mixing by Internal Gravity Waves in Stars: Assessing Numerical Simulations Against Theory,J. Pratt,"Lawrence Livermore National Laboratory, 7000 East Ave, Livermore, CA 94550, USA"

High-cadence stellar variability studies of RR Lyrae stars with DECam: New multi-band templates,K. Baeza-Villagra,"Instituto de Astrof'isica, Pontificia Universidad Cat'olica de Chile, Av. Vicu~na Mackenna 4860, 7820436 Macul, Santiago, Chile; Millennium Institute of Astrophysics, Nuncio Monse{~n}or S{'o}tero Sanz 100, Providencia, Santiago, Chile; Dipartimento di Fisica, Università di Roma Tor Vergata, Via della Ricerca Scientifica, 1, Roma 00133, Italy; Dipartimento di Fisica, Sapienza Università di Roma, P.le A. Moro 5, Roma 00185, Italy; INAF—Osservatorio Astronomico di Roma, via Frascati 33, I-00078 Monte Porzio Catone, Italy"
High-cadence stellar variability studies of RR Lyrae stars with DECam: New multi-band templates,N. Rodr{'i}guez-Segovia,"School of Science, University of New South Wales, Australian Defence Force Academy, Canberra, ACT 2600, Australia"
High-cadence stellar variability studies of RR Lyrae stars with DECam: New multi-band templates,M. Catelan,"Instituto de Astrof'isica, Pontificia Universidad Cat'olica de Chile, Av. Vicu~na Mackenna 4860, 7820436 Macul, Santiago, Chile; Millennium Institute of Astrophysics, Nuncio Monse{~n}or S{'o}tero Sanz 100, Providencia, Santiago, Chile"
High-cadence stellar variability studies of RR Lyrae stars with DECam: New multi-band templates,A. Rest,"Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA; Department of Physics and Astronomy, The Johns Hopkins University, 366 Bloomberg Center, 3400 N. Charles Street, Baltimore, MD 21218, USA"
High-cadence stellar variability studies of RR Lyrae stars with DECam: New multi-band templates,A. Papageorgiou,"Department of Physics, University of Patras, 26500, Patra, Greece"
High-cadence stellar variability studies of RR Lyrae stars with DECam: New multi-band templates,C. E. Mart'{i}nez-V'{a}zquez,"International Gemini Observatory/NSF NOIRLab, 670 N. A'ohoku Place, Hilo, Hawai'i, 96720, USA"
High-cadence stellar variability studies of RR Lyrae stars with DECam: New multi-band templates,A. A. R. Valcarce,"Departamento de Física, FACI, Universidad de Tarapacá, Casilla 7D, Arica, Chile"
High-cadence stellar variability studies of RR Lyrae stars with DECam: New multi-band templates,C. E. Ferreira Lopes,"Instituto de Astronom'{i}a y Ciencias Planetarias, Universidad de Atacama, Copayapu 485, Copiap'{o} Chile; Millennium Institute of Astrophysics, Nuncio Monse{~n}or S{'o}tero Sanz 100, Providencia, Santiago, Chile"
High-cadence stellar variability studies of RR Lyrae stars with DECam: New multi-band templates,F. B. Bianco,"University of Delaware, Department of Physics and Astronomy, 217 Sharp Lab, Newark, DE 19716, USA; University of Delaware, Joseph R. Biden, Jr. School of Public Policy and Administration, 184 Academy Street, Newark, DE 19716, USA; University of Delaware, Data Science Institute, Newark, DE 19716, USA; Vera C. Rubin Observatory, Tucson, AZ 85719, USA"

Exoplanet Occurrence Rate with Age for FGK Stars in \textit{Kepler},Maryum Sayeed,"Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, USA"
Exoplanet Occurrence Rate with Age for FGK Stars in \textit{Kepler},Ruth Angus,"Department of Astrophysics, American Museum of Natural History, 200 Central Park West, Manhattan, NY, USA; Center for Computational Astrophysics, Flatiron Institute, 162 5th Avenue, Manhattan, NY, USA; Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, USA"
Exoplanet Occurrence Rate with Age for FGK Stars in \textit{Kepler},Travis A. Berger,"Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA"
Exoplanet Occurrence Rate with Age for FGK Stars in \textit{Kepler},Yuxi(Lucy) Lu,"Department of Astrophysics, American Museum of Natural History, 200 Central Park West, Manhattan, NY, USA; Department of Astronomy, The Ohio State University, Columbus, 140 W 18th Ave, OH 43210, USA"
Exoplanet Occurrence Rate with Age for FGK Stars in \textit{Kepler},Jessie L. Christiansen,"NASA Exoplanet Science Institute, IPAC, MS 100-22, Caltech, 1200 E. California Blvd, Pasadena, CA 91125"
Exoplanet Occurrence Rate with Age for FGK Stars in \textit{Kepler},Daniel Foreman-Mackey,"Center for Computational Astrophysics, Flatiron Institute, 162 5th Avenue, Manhattan, NY, USA"
Exoplanet Occurrence Rate with Age for FGK Stars in \textit{Kepler},Melissa K. Ness,"Research School of Astronomy & Astrophysics, Australian National University, Canberra, ACT 2611, Australia; Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, USA"

Jet properties of FR0 radio galaxies: need for VLBI data,R. D. Baldi,"INAF - Istituto di Radioastronomia, via Gobetti 101, 40129 Bologna, Italy"
Jet properties of FR0 radio galaxies: need for VLBI data,G. Giovannini,"INAF - Istituto di Radioastronomia, via Gobetti 101, 40129 Bologna, Italy; Dipartimento di Fisica e Astronomia, Università di Bologna, Via P. Gobetti 93, I-40129 Bologna, Italy"
Jet properties of FR0 radio galaxies: need for VLBI data,A. Capetti,"INAF - Osservatorio Astrofisico di Torino, Strada Osservatorio 20, I-10025 Pino Torinese, Italy"
Jet properties of FR0 radio galaxies: need for VLBI data,R. Lico,"INAF - Istituto di Radioastronomia, via Gobetti 101, 40129 Bologna, Italy; Instituto de Astrof'{\i}sica de Andaluc'{\i}a-CSIC, Glorieta de la Astronom'{\i}a s/n, 18008 Granada, Spain"

X-ray emission from helium star+black hole binaries as probes of tidally induced spin-up of second-born black holes,K. Sen,"Institute of Astronomy, Faculty of Physics, Astronomy and Informatics, Nicolaus Copernicus University, Grudziadzka 5, 87-100 Torun, Poland; Steward Observatory, Department of Astronomy, University of Arizona, 933 N. Cherry Ave., Tucson, AZ 85721, USA"
X-ray emission from helium star+black hole binaries as probes of tidally induced spin-up of second-born black holes,A. Olejak,"Max Planck Institute for Astrophysics, Karl-Schwarzschild-Strasse 1, 85748 Garching, Germany"
X-ray emission from helium star+black hole binaries as probes of tidally induced spin-up of second-born black holes,S. Banerjee,"Helmholtz-Instituts f"{u}r Strahlen- und Kernphysik, Nussallee 14-16, D-53115 Bonn, Germany; Argelander-Institut f"{u}r Astronomie, Auf dem Hügel 71, D-53121, Bonn, Germany"

Assessing the Impact of Binary Systems on Microlensing Using \texttt{SPISEA} and \texttt{PopSyCLE} Population Simulations,Natasha S. Abrams,"University of California, Berkeley, Department of Astronomy, Berkeley, CA 94720"
Assessing the Impact of Binary Systems on Microlensing Using \texttt{SPISEA} and \texttt{PopSyCLE} Population Simulations,Jessica R. Lu,"University of California, Berkeley, Department of Astronomy, Berkeley, CA 94720"
Assessing the Impact of Binary Systems on Microlensing Using \texttt{SPISEA} and \texttt{PopSyCLE} Population Simulations,Casey Y. Lam,"University of California, Berkeley, Department of Astronomy, Berkeley, CA 94720; Observatories of the Carnegie Institution for Science, Pasadena, CA 91101, USA"
Assessing the Impact of Binary Systems on Microlensing Using \texttt{SPISEA} and \texttt{PopSyCLE} Population Simulations,Michael S. Medford,"University of California, Berkeley, Department of Astronomy, Berkeley, CA 94720"
Assessing the Impact of Binary Systems on Microlensing Using \texttt{SPISEA} and \texttt{PopSyCLE} Population Simulations,Matthew W. Hosek, Jr.,"University of California, Los Angeles, Department of Astronomy, Los Angeles, CA 90095"
Assessing the Impact of Binary Systems on Microlensing Using \texttt{SPISEA} and \texttt{PopSyCLE} Population Simulations,Sam Rose,"University of California, Berkeley, Department of Astronomy, Berkeley, CA 94720; Cahill Center for Astronomy and Astrophysics, California Institute of Technology, Pasadena, CA 91125, USA"

TOPCAT/STILTS Integration,Mark Taylor,"H. H. Wills Physics Laboratory, Tyndall Avenue, University of Bristol, UK"

Dust characterization of protoplanetary disks: a guide to multi-wavelength analyses and accurate dust mass measurements,Elena M. Viscardi,"European Southern Observatory (ESO), Karl-Schwarzschild-Str. 2, Garching bei München, Germany"
Dust characterization of protoplanetary disks: a guide to multi-wavelength analyses and accurate dust mass measurements,Enrique Macías,"European Southern Observatory (ESO), Karl-Schwarzschild-Str. 2, Garching bei München, Germany"
Dust characterization of protoplanetary disks: a guide to multi-wavelength analyses and accurate dust mass measurements,Francesco Zagaria,"Institute of Astronomy, University of Cambridge, Madingley Road, Cambridge CB3 OHA, UK"
Dust characterization of protoplanetary disks: a guide to multi-wavelength analyses and accurate dust mass measurements,Anibal Sierra,"Departamento de Astronomía, Universidad de Chile, Camino El Observatorio 1515, Las Condes, Santiago, Chile; Instituto de Astrofísica, Pontificia Universidad Católica de Chile, Av. Vicuña Mackenna 4860, 7820436 Macul, Santiago, Chile; Mullard Space Science Laboratory, University College London, Holmbury St Mary, Dorking, Surrey RH5 6NT, UK"
Dust characterization of protoplanetary disks: a guide to multi-wavelength analyses and accurate dust mass measurements,Haochang Jiang,"European Southern Observatory (ESO), Karl-Schwarzschild-Str. 2, Garching bei München, Germany; Max Planck Institute for Astronomy, Königstuhl 17, 69117 Heidelberg, Germany"
Dust characterization of protoplanetary disks: a guide to multi-wavelength analyses and accurate dust mass measurements,Tomohiro Yoshida,"National Astronomical Observatory of Japan, 2-21-1 Osawa, Mitaka, Tokyo 181-8588, Japan"
Dust characterization of protoplanetary disks: a guide to multi-wavelength analyses and accurate dust mass measurements,Pietro Curone,"Departamento de Astronomía, Universidad de Chile, Camino El Observatorio 1515, Las Condes, Santiago, Chile"

HP2 Survey V. Ophiuchus: Filament formation in a dispersing cloud complex,Jo~ao Alves,"University of Vienna, Department of Astrophysics, T"urkenschanzstrasse 17, 1180 Vienna, Austria"
HP2 Survey V. Ophiuchus: Filament formation in a dispersing cloud complex,Marco Lombardi,"University of Milan, Department of Physics, via Celoria 16, I-20133, Milan, Italy"
HP2 Survey V. Ophiuchus: Filament formation in a dispersing cloud complex,Charles J. Lada,"Harvard-Smithsonian Center for Astrophysics, Mail Stop 72, 60 Garden Street, Cambridge, MA 02138, USA"

Can ν DM interactions solve the S8 discrepancy?,Lei Zu,"National Centre for Nuclear Research, ul. Pasteura 7, 02-093 Warsaw, Poland"
Can ν DM interactions solve the S8 discrepancy?,William Giarè,"School of Mathematical and Physical Sciences, University of Sheffield, Hounsfield Road, Sheffield S3 7RH, United Kingdom"
Can ν DM interactions solve the S8 discrepancy?,Chi Zhang,"Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210033, China; School of Astronomy and Space Science, University of Science and Technology of China, Hefei, Anhui 230026, China; SISSA - International School for Advanced Studies, Via Bonomea 265, 34136 Trieste, Italy"
Can ν DM interactions solve the S8 discrepancy?,Eleonora Di Valentino,"School of Mathematical and Physical Sciences, University of Sheffield, Hounsfield Road, Sheffield S3 7RH, United Kingdom"
Can ν DM interactions solve the S8 discrepancy?,Yue-Lin Sming Tsai,"Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210033, China; School of Astronomy and Space Science, University of Science and Technology of China, Hefei, Anhui 230026, China"
Can ν DM interactions solve the S8 discrepancy?,Sebastian Trojanowski,"National Centre for Nuclear Research, ul. Pasteura 7, 02-093 Warsaw, Poland"

ALMA chemical survey of disk-outflow sources in Taurus (ALMA-DOT) VII: the layered molecular outflow from HL Tau and its relationship with the ringed disk,F. Bacciotti,"INAF - Osservatorio Astrofisico di Arcetri, Largo E. Fermi 5, 50125 Firenze, Italy"
ALMA chemical survey of disk-outflow sources in Taurus (ALMA-DOT) VII: the layered molecular outflow from HL Tau and its relationship with the ringed disk,T. Nony,"INAF - Osservatorio Astrofisico di Arcetri, Largo E. Fermi 5, 50125 Firenze, Italy"
ALMA chemical survey of disk-outflow sources in Taurus (ALMA-DOT) VII: the layered molecular outflow from HL Tau and its relationship with the ringed disk,L. Podio,"INAF - Osservatorio Astrofisico di Arcetri, Largo E. Fermi 5, 50125 Firenze, Italy"
ALMA chemical survey of disk-outflow sources in Taurus (ALMA-DOT) VII: the layered molecular outflow from HL Tau and its relationship with the ringed disk,C. Dougados,"Univ. Grenoble Alpes, CNRS, IPAG, 38000 Grenoble, France"
ALMA chemical survey of disk-outflow sources in Taurus (ALMA-DOT) VII: the layered molecular outflow from HL Tau and its relationship with the ringed disk,A. Garufi,"INAF – Istituto di Radioastronomia, Via P. Gobetti 101, 40129 Bologna, Italy"
ALMA chemical survey of disk-outflow sources in Taurus (ALMA-DOT) VII: the layered molecular outflow from HL Tau and its relationship with the ringed disk,S. Cabrit,"Univ. Grenoble Alpes, CNRS, IPAG, 38000 Grenoble, France; PSL University, Sorbonne Université, Observatoire de Paris, LERMA, CNRS UMR 8112, 75014 Paris, France"
ALMA chemical survey of disk-outflow sources in Taurus (ALMA-DOT) VII: the layered molecular outflow from HL Tau and its relationship with the ringed disk,C. Codella,"INAF - Osservatorio Astrofisico di Arcetri, Largo E. Fermi 5, 50125 Firenze, Italy"
ALMA chemical survey of disk-outflow sources in Taurus (ALMA-DOT) VII: the layered molecular outflow from HL Tau and its relationship with the ringed disk,N. Zimniak,"Univ. Grenoble Alpes, CNRS, IPAG, 38000 Grenoble, France"
