title,abstract,authors,published,link,category,summary,keywords,affiliation
"Prototypical Distillation and Debiased Tuning for Black-box Unsupervised
  Domain Adaptation","Unsupervised domain adaptation aims to transfer knowledge from a related,
label-rich source domain to an unlabeled target domain, thereby circumventing
the high costs associated with manual annotation. Recently, there has been
growing interest in source-free domain adaptation, a paradigm in which only a
pre-trained model, rather than the labeled source data, is provided to the
target domain. Given the potential risk of source data leakage via model
inversion attacks, this paper introduces a novel setting called black-box
domain adaptation, where the source model is accessible only through an API
that provides the predicted label along with the corresponding confidence value
for each query. We develop a two-step framework named $\textbf{Pro}$totypical
$\textbf{D}$istillation and $\textbf{D}$ebiased tun$\textbf{ing}$
($\textbf{ProDDing}$). In the first step, ProDDing leverages both the raw
predictions from the source model and prototypes derived from the target domain
as teachers to distill a customized target model. In the second step, ProDDing
keeps fine-tuning the distilled model by penalizing logits that are biased
toward certain classes. Empirical results across multiple benchmarks
demonstrate that ProDDing outperforms existing black-box domain adaptation
methods. Moreover, in the case of hard-label black-box domain adaptation, where
only predicted labels are available, ProDDing achieves significant improvements
over these methods. Code will be available at
\url{https://github.com/tim-learn/ProDDing/}.","Jian Liang, Lijun Sheng, Hongmin Liu, Ran He",2024-12-30,http://arxiv.org/abs/2412.20670v1,cs.LG,"The proposed method, ProDDing, is a two-step framework for black-box domain adaptation that leverages prototype-based distillation and debiased tuning to transfer knowledge from a pre-trained source model to an unlabeled target domain.",Prototypical Distillation Debiased Tuning,
"Two Birds with One Stone: Improving Rumor Detection by Addressing the
  Unfairness Issue","The degraded performance and group unfairness caused by confounding sensitive
attributes in rumor detection remains relatively unexplored. To address this,
we propose a two-step framework. Initially, it identifies confounding sensitive
attributes that limit rumor detection performance and cause unfairness across
groups. Subsequently, we aim to learn equally informative representations
through invariant learning. Our method considers diverse sets of groups without
sensitive attribute annotations. Experiments show our method easily integrates
with existing rumor detectors, significantly improving both their detection
performance and fairness.","Junyi Chen, Mengjia Wu, Qian Liu, Ying Ding, Yi Zhang",2024-12-30,http://arxiv.org/abs/2412.20671v1,cs.SI,"A two-step framework is proposed to identify sensitive attributes in rumor detection, addressing performance degradation and group unfairness, and learn equally informative representations through invariant learning to improve detection performance and fairness.","Rumor Detection, Fairness, Unfairness",
"Blockchain-Empowered Cyber-Secure Federated Learning for Trustworthy
  Edge Computing","Federated Learning (FL) is a privacy-preserving distributed machine learning
scheme, where each participant data remains on the participating devices and
only the local model generated utilizing the local computational power is
transmitted throughout the database. However, the distributed computational
nature of FL creates the necessity to develop a mechanism that can remotely
trigger any network agents, track their activities, and prevent threats to the
overall process posed by malicious participants. Particularly, the FL paradigm
may become vulnerable due to an active attack from the network participants,
called a poisonous attack. In such an attack, the malicious participant acts as
a benign agent capable of affecting the global model quality by uploading an
obfuscated poisoned local model update to the server. This paper presents a
cross-device FL model that ensures trustworthiness, fairness, and authenticity
in the underlying FL training process. We leverage trustworthiness by
constructing a reputation-based trust model based on contributions of agents
toward model convergence. We ensure fairness by identifying and removing
malicious agents from the training process through an outlier detection
technique. Further, we establish authenticity by generating a token for each
participating device through a distributed sensing mechanism and storing that
unique token in a blockchain smart contract. Further, we insert the trust
scores of all agents into a blockchain and validate their reputations using
various consensus mechanisms that consider the computational task.","Ervin Moore, Ahmed Imteaj, Md Zarif Hossain, Shabnam Rezapour, M. Hadi Amini",2024-12-30,http://arxiv.org/abs/2412.20674v1,cs.DC,"This paper proposes a Trustworthiness, Fairness, and Authenticity (TFA) mechanism for Federated Learning (FL) to prevent poisonous attacks and ensure reliable model convergence, fairness, and authenticity by using a reputation-based trust model and blockchain-based authentication.",Blockchain Cyber-Secure Federated,
"Improved ICNN-LSTM Model Classification Based on Attitude Sensor Data
  for Hazardous State Assessment of Magnetic Adhesion Climbing Wall Robots","Magnetic adhesion tracked climbing robots are widely utilized in
high-altitude inspection, welding, and cleaning tasks due to their ability to
perform various operations against gravity on vertical or inclined walls.
However, during operation, the robot may experience overturning torque caused
by its own weight and load, which can lead to the detachment of magnetic plates
and subsequently pose safety risks. This paper proposes an improved ICNN-LSTM
network classification method based on Micro-Electro-Mechanical Systems (MEMS)
attitude sensor data for real-time monitoring and assessment of hazardous
states in magnetic adhesion tracked climbing robots. Firstly, a data
acquisition strategy for attitude sensors capable of capturing minute
vibrations is designed. Secondly, a feature extraction and classification model
combining an Improved Convolutional Neural Network (ICNN) with a Long
Short-Term Memory (LSTM) network is proposed. Experimental validation
demonstrates that the proposed minute vibration sensing method achieves
significant results, and the proposed classification model consistently
exhibits high accuracy compared to other models. The research findings provide
effective technical support for the safe operation of climbing robots","Zhen Ma, He Xu, Jielong Dou, Yi Qin, Xueyu Zhang",2024-12-30,http://arxiv.org/abs/2412.20675v1,cs.RO,This paper proposes a classification method using an ICNN-LSTM network to monitor and assess hazardous states in magnetic adhesion tracked climbing robots through real-time analysis of MEMS attitude sensor data.,"ICNN, LSTM, Attitude",
"Align Attention Heads Before Merging Them: An Effective Way for
  Converting MHA to GQA","Large language models have been shown to perform well on a variety of natural
language processing problems. However, as the model size and the input
sequence's length increase, the rapid increase of KV Cache significantly slows
down inference speed. Therefore GQA model, as an alternative to MHA model, has
been widely introduced into LLMs. In this work, we propose a low-cost method
for pruning MHA models into GQA models with any compression ratio of key-value
heads. Our method is based on $\mathit{L_0}$ masks to gradually remove
redundant parameters. In addition, we apply orthogonal transformations to
attention heads without changing the model to increase similarity between
attention heads before pruning training, in order to further improve
performance of the model. Our method can be compatible with rotary position
embedding (RoPE), which means the model after training can be fully adapted to
the mainstream standard GQA framework. Experiments demonstrate that our
strategy can compress up to 87.5% of key-value heads of the LLaMA2-7B model
without too much performance degradation, just achieved through supervised
fine-tuning.","Qingyun Jin, Xiaohui Song, Feng Zhou, Zengchang Qin",2024-12-30,http://arxiv.org/abs/2412.20677v1,cs.CL,A low-cost method is proposed for pruning MHA models into GQA models with any compression ratio of key-value heads using L0 masks and orthogonal transformations to improve performance.,MHA,
Attention-Driven Metapath Encoding in Heterogeneous Graphs,"One of the emerging techniques in node classification in heterogeneous graphs
is to restrict message aggregation to pre-defined, semantically meaningful
structures called metapaths. This work is the first attempt to incorporate
attention into the process of encoding entire metapaths without dropping
intermediate nodes. In particular, we construct two encoders: the first uses
sequential attention to extend the multi-hop message passing algorithm designed
in \citet{magna} to the metapath setting, and the second incorporates direct
attention to extract semantic relations in the metapath. The model then employs
the intra-metapath and inter-metapath aggregation mechanisms of \citet{han}. We
furthermore use the powerful training scheduler specialized for heterogeneous
graphs that was developed in \citet{lts}, ensuring the model slowly learns how
to classify the most difficult nodes. The result is a resilient,
general-purpose framework for capturing semantic structures in heterogeneous
graphs. In particular, we demonstrate that our model is competitive with
state-of-the-art models on performing node classification on the IMDB dataset,
a popular benchmark introduced in \citet{benchmark}.",Calder Katyal,2024-12-30,http://arxiv.org/abs/2412.20678v1,cs.LG,"The paper proposes a framework for node classification in heterogeneous graphs using metapaths, incorporating attention mechanisms to encode entire metapaths without dropping intermediate nodes.",Attention-Driven Metapath Encoding Heterogeneous Graphs,
"Differentiable Convex Optimization Layers in Neural Architectures:
  Foundations and Perspectives","The integration of optimization problems within neural network architectures
represents a fundamental shift from traditional approaches to handling
constraints in deep learning. While it is long known that neural networks can
incorporate soft constraints with techniques such as regularization, strict
adherence to hard constraints is generally more difficult. A recent advance in
this field, however, has addressed this problem by enabling the direct
embedding of optimization layers as differentiable components within deep
networks. This paper surveys the evolution and current state of this approach,
from early implementations limited to quadratic programming, to more recent
frameworks supporting general convex optimization problems. We provide a
comprehensive review of the background, theoretical foundations, and emerging
applications of this technology. Our analysis includes detailed mathematical
proofs and an examination of various use cases that demonstrate the potential
of this hybrid approach. This work synthesizes developments at the intersection
of optimization theory and deep learning, offering insights into both current
capabilities and future research directions in this rapidly evolving field.",Calder Katyal,2024-12-30,http://arxiv.org/abs/2412.20679v1,cs.LG,"This paper surveys the integration of optimization problems within neural network architectures, enabling the direct embedding of optimization layers as differentiable components within deep networks, with a focus on the evolution, current state, and emerging applications of this technology.","Convex Optimization, Neural Architectures",
"Online Adaptive Platoon Control for Connected and Automated Vehicles via
  Physics Enhanced Residual Learning","This paper introduces a physics enhanced residual learning (PERL) framework
for connected and automated vehicle (CAV) platoon control, addressing the
dynamics and unpredictability inherent to platoon systems. The framework first
develops a physics-based controller to model vehicle dynamics, using driving
speed as input to optimize safety and efficiency. Then the residual controller,
based on neural network (NN) learning, enriches the prior knowledge of the
physical model and corrects residuals caused by vehicle dynamics. By
integrating the physical model with data-driven online learning, the PERL
framework retains the interpretability and transparency of physics-based models
and enhances the adaptability and precision of data-driven learning, achieving
significant improvements in computational efficiency and control accuracy in
dynamic scenarios. Simulation and robot car platform tests demonstrate that
PERL significantly outperforms pure physical and learning models, reducing
average cumulative absolute position and speed errors by up to 58.5% and 40.1%
(physical model) and 58.4% and 47.7% (NN model). The reduced-scale robot car
platform tests further validate the adaptive PERL framework's superior accuracy
and rapid convergence under dynamic disturbances, reducing position and speed
cumulative errors by 72.73% and 99.05% (physical model) and 64.71% and 72.58%
(NN model). PERL enhances platoon control performance through online parameter
updates when external disturbances are detected. Results demonstrate the
advanced framework's exceptional accuracy and rapid convergence capabilities,
proving its effectiveness in maintaining platoon stability under diverse
conditions.","Peng Zhang, Heye Huang, Hang Zhou, Haotian Shi, Keke Long, Xiaopeng Li",2024-12-30,http://arxiv.org/abs/2412.20680v1,cs.RO,"The paper introduces a physics-enhanced residual learning (PERL) framework for connected and automated vehicle (CAV) platoon control, which combines physical modeling with neural network learning to achieve significant improvements in computational efficiency and control accuracy in dynamic scenarios.","Connected Vehicles, Adaptive Control, Residual Learning",
Learning to Rank Pre-trained Vision-Language Models for Downstream Tasks,"Vision language models (VLMs) like CLIP show stellar zero-shot capability on
classification benchmarks. However, selecting the VLM with the highest
performance on the unlabeled downstream task is non-trivial. Existing VLM
selection methods focus on the class-name-only setting, relying on a supervised
large-scale dataset and large language models, which may not be accessible or
feasible during deployment. This paper introduces the problem of
\textbf{unsupervised vision-language model selection}, where only unsupervised
downstream datasets are available, with no additional information provided. To
solve this problem, we propose a method termed Visual-tExtual Graph Alignment
(VEGA), to select VLMs without any annotations by measuring the alignment of
the VLM between the two modalities on the downstream task. VEGA is motivated by
the pretraining paradigm of VLMs, which aligns features with the same semantics
from the visual and textual modalities, thereby mapping both modalities into a
shared representation space. Specifically, we first construct two graphs on the
vision and textual features, respectively. VEGA is then defined as the overall
similarity between the visual and textual graphs at both node and edge levels.
Extensive experiments across three different benchmarks, covering a variety of
application scenarios and downstream datasets, demonstrate that VEGA
consistently provides reliable and accurate estimates of VLMs' performance on
unlabeled downstream tasks.","Yuhe Ding, Bo Jiang, Aihua Zheng, Qin Xu, Jian Liang",2024-12-30,http://arxiv.org/abs/2412.20682v1,cs.CV,"The paper introduces Visual-tExtual Graph Alignment (VEGA), a method for selecting vision language models without annotations by measuring the alignment between visual and textual modalities on the downstream task.",Pre-trained Vision-Language Models Ranking Downstream,
"MarsSQE: Stereo Quality Enhancement for Martian Images Using Bi-level
  Cross-view Attention","Stereo images captured by Mars rovers are transmitted after lossy compression
due to the limited bandwidth between Mars and Earth. Unfortunately, this
process results in undesirable compression artifacts. In this paper, we present
a novel stereo quality enhancement approach for Martian images, named MarsSQE.
First, we establish the first dataset of stereo Martian images. Through
extensive analysis of this dataset, we observe that cross-view correlations in
Martian images are notably high. Leveraging this insight, we design a bi-level
cross-view attention-based quality enhancement network that fully exploits
these inherent cross-view correlations. Specifically, our network integrates
pixel-level attention for precise matching and patch-level attention for
broader contextual information. Experimental results demonstrate the
effectiveness of our MarsSQE approach.","Mai Xu, Yinglin Zhu, Qunliang Xing, Jing Yang, Xin Zou",2024-12-30,http://arxiv.org/abs/2412.20685v1,eess.IV,"A novel approach, MarsSQE, is presented for enhancing the quality of stereo images captured by Mars rovers and transmitted after lossy compression, leveraging high cross-view correlations between Martian images.","MarsSQE, Bi-level, Attention",
Powering the Future: Innovations in Electric Vehicle Battery Recycling,"The global shift towards electric vehicles (EVs) as a sustainable alternative
to traditional gasoline-powered cars has triggered a significant rise in the
demand for lithium-ion batteries. However, as the adoption of EVs grows, the
issue of battery disposal and recycling has emerged as a critical challenge.
The recycling of EV batteries is essential not only for reducing the
environmental impact of battery waste but also for ensuring the sustainable
supply of critical raw materials such as lithium, cobalt, and nickel. This
paper explores recent innovations in the field of electric vehicle battery
recycling, examining advanced techniques such as direct recycling,
hydrometallurgical processes, and sustainable battery design. It also
highlights the role of policy and industry collaboration in improving recycling
infrastructure and addressing the economic and environmental challenges
associated with battery waste. By focusing on both the technical and regulatory
aspects of EV battery recycling, this paper aims to provide a comprehensive
overview of the state of the industry and the future outlook for recycling
technologies, ultimately paving the way for a cleaner, more sustainable future
in transportation.","Venkata Sai Chandra Prasanth Narisetty, Tejaswi Maddineni",2024-12-30,http://arxiv.org/abs/2412.20687v1,cs.CE,"The paper explores innovations in electric vehicle battery recycling, including new techniques and sustainable design, and highlights the importance of policy and industry collaboration to address the environmental and economic challenges of battery waste disposal.",electric vehicle battery recycling innovations power,
"Revolutionizing Mobility:The Latest Advancements in Autonomous Vehicle
  Technology","Autonomous vehicle (AV) technology is transforming the landscape of
transportation bypromising safer, more efficient, and sustainable
mobilitysolutions. In recent years, significant advancements in AI, machine
learning, sensor fusion, and
vehicle-to-everything(V2X)communicationhavepropelledthedevelopmentoffullyautonomous
vehicles. This paper explores the cutting-edge technologies driving the
evolution of
AVs,thechallengesfacedintheirdeployment,andthepotentialsocietal,economic,and
regulatory impacts. It highlights the key innovations in perception systems,
decision-making algorithms, and infrastructure integration, as well as the
emerging trends towards Level 4 and Level 5 autonomy. The paper also discusses
future directions, including ethical considerations and the roadmap to mass
adoption of autonomous mobility. Ultimately, the
integrationofautonomousvehicles into globaltransportation systems is expected
to revolutionize urban planning, reduce traffic accidents, and
significantlyloweremissions,pavingthewayforasmarterandmoresustainablefuture.","Venkata Sai Chandra Prasanth Narisetty, Tejaswi Maddineni",2024-12-30,http://arxiv.org/abs/2412.20688v1,cs.CE,"Autonomous vehicle technology is evolving rapidly due to advancements in AI, machine learning, and sensor fusion, promising safer, more efficient, and sustainable mobility solutions.",Autonomous Vehicle Technology,
"Modeling and Simulating Agent-Based City Migration Using Conway's Game
  of Life","Agent-based modeling (ABM) has become a cornerstone of complexity science,
enabling the study of heterogeneous agents interacting within dynamic
environments. Among ABM frameworks, John Conway's Game of Life (GoL) stands out
for its simplicity and ability to generate emergent macroscopic patterns from
basic microscopic rules. In this paper, we propose and implement a novel
GoL-based framework to simulate urban migration dynamics. Using a
grid-within-a-grid approach, our approach encodes probabilistic tendencies for
out-migration due to densification and sparsification, simulating the evolution
of population centers. By initializing GoL grids with different distributions
and parameterizing migration preferences, we explore how urban structures
emerge and stabilize over time. Through a series of experiments, we demonstrate
that even with simple rules, this framework shows promise for understanding
emergent urban phenomena, providing insights into city growth and structure.
Methodologically, our framework offers a versatile and computationally
efficient tool for studying urban migration patterns, contributing to the
broader application of ABMs in computational urban social science.","Bruce Deng, Mayank Kejriwal",2024-12-30,http://arxiv.org/abs/2412.20691v1,cs.CY,"This paper proposes a novel agent-based modeling framework, based on John Conway's Game of Life, to simulate urban migration dynamics and study the emergence of urban structures over time.",agent-based migration Conway's Game,
"Test Adequacy for Metamorphic Testing: Criteria, Measurement, and
  Implication","Metamorphic testing (MT) is a simple yet effective technique to alleviate the
oracle problem in software testing. The underlying idea of MT is to test a
software system by checking whether metamorphic relations (MRs) hold among
multiple test inputs (including source and follow-up inputs) and the actual
output of their executions. Since MRs and source inputs are two essential
components of MT, considerable efforts have been made to examine the systematic
identification of MRs and the effective generation of source inputs, which has
greatly enriched the fundamental theory of MT since its invention. However, few
studies have investigated the test adequacy assessment issue of MT, which
hinders the objective measurement of MT's test quality as well as the effective
construction of test suites. Although in the context of traditional software
testing, there exist a number of test adequacy criteria that specify testing
requirements to constitute an adequate test from various perspectives, they are
not in line with MT's focus which is to test the software under testing (SUT)
from the perspective of necessary properties. In this paper, we proposed a new
set of criteria that specifies testing requirements from the perspective of
necessary properties satisfied by the SUT, and designed a test adequacy
measurement that evaluates the degree of adequacy based on both MRs and source
inputs. The experimental results have shown that the proposed measurement can
effectively indicate the fault detection effectiveness of test suites, i.e.,
test suites with increased test adequacy usually exhibit higher effectiveness
in fault detection. Our work made an attempt to assess the test adequacy of MT
from a new perspective, and our criteria and measurement provide a new approach
to evaluate the test quality of MT and provide guidelines for constructing
effective test suites of MT.","An Fu, Chang-ai Sun, Jiaming Zhang, Huai Liu",2024-12-30,http://arxiv.org/abs/2412.20692v1,cs.SE,"This paper proposes a new set of criteria and measurement for test adequacy assessment in metamorphic testing, which evaluates the degree of adequacy based on metamorphic relations and source inputs, and showed that it can effectively indicate the fault detection effectiveness of test suites.",Test adequacy metamorphic testing criteria measurement implication,
"UBER: Uncertainty-Based Evolution with Large Language Models for
  Automatic Heuristic Design","NP-hard problem-solving traditionally relies on heuristics, but manually
crafting effective heuristics for complex problems remains challenging. While
recent work like FunSearch has demonstrated that large language models (LLMs)
can be leveraged for heuristic design in evolutionary algorithm (EA)
frameworks, their potential is not fully realized due to its deficiency in
exploitation and exploration. We present UBER (Uncertainty-Based Evolution for
Refinement), a method that enhances LLM+EA methods for automatic heuristic
design by integrating uncertainty on top of the FunSearch framework. UBER
introduces two key innovations: an Uncertainty-Inclusive Evolution Process
(UIEP) for adaptive exploration-exploitation balance, and a principled
Uncertainty-Inclusive Island Reset (UIIS) strategy for maintaining population
diversity. Through extensive experiments on challenging NP-complete problems,
UBER demonstrates significant improvements over FunSearch. Our work provides a
new direction for the synergy of LLMs and EA, advancing the field of automatic
heuristic design.","Zijie Chen, Zhanchao Zhou, Yu Lu, Renjun Xu, Lili Pan, Zhenzhong Lan",2024-12-30,http://arxiv.org/abs/2412.20694v1,cs.NE,"This abstract presents UBER, a method that enhances the automatic heuristic design technique FunSearch by incorporating uncertainty into the evolutionary algorithm framework to improve exploration-exploitation balance and population diversity.","Evolution, Uncertainty, Heuristic",
"CoCap: Coordinated motion Capture for multi-actor scenes in outdoor
  environments","Motion capture has become increasingly important, not only in computer
animation but also in emerging fields like the virtual reality, bioinformatics,
and humanoid training. Capturing outdoor environments offers extended horizon
scenes but introduces challenges with occlusions and obstacles. Recent
approaches using multi-drone systems to capture multiple actor scenes often
fail to account for multi-view consistency and reasoning across cameras in
cluttered environments. Coordinated motion Capture (CoCap), inspired by
Conflict-Based Search (CBS), addresses this issue by coordinating view planning
to ensure multi-view reasoning during conflicts. In scenarios with high
occlusions and obstacles, where the likelihood of inter-robot collisions
increases, CoCap demonstrates performance that approaches the ideal outcomes of
unconstrained planning, outperforming existing sequential planning methods.
Additionally, CoCap offers a single-robot view search approach for real-time
applications in dense environments.","Aditya Rauniyar, Micah Corah, Sebastian Scherer",2024-12-30,http://arxiv.org/abs/2412.20695v1,cs.RO,"Coordinated motion Capture (CoCap) uses Conflict-Based Search (CBS) to coordinate view planning, ensuring multi-view reasoning in cluttered environments with high occlusions and obstacles, outperforming existing sequential planning methods.","Motion Capture, Coordinated, Outdoor Environments",
"An inverse obstacle scattering problem with random sources in the time
  domain","This work considers a time domain inverse acoustic obstacle scattering
problem due to randomly distributed point sources. Motivated by the
Helmholtz-Kirchhoff identity in the frequency domain, we propose to relate the
time domain measurement data due to random sources to an approximate data set
given by the subtraction of two scattered wave fields. We propose a time domain
linear sampling method for the approximate data set and show how to tackle the
measurement data due to random sources. An imaging functional is built based on
the linear sampling method, which reconstructs the support of the unknown
scattering object using directly the time domain measurements. The functional
framework is based on the Laplace transform, which relates the mapping
properties of Laplace domain factorized operators to their counterparts in the
time domain. Numerical examples are provided to illustrate the capability of
the proposed method.","Xiaoli Liu, Shixu Meng, Jialu Tian, Bo Zhang",2024-12-30,http://arxiv.org/abs/2412.20697v1,math.NA,This paper proposes a time domain linear sampling method for reconstructing the support of an unknown scattering object using direct measurements from randomly distributed point sources.,"inverse scattering, random sources, time domain",
"Air-Ground Collaborative Robots for Fire and Rescue Missions: Towards
  Mapping and Navigation Perspective","Air-ground collaborative robots have shown great potential in the field of
fire and rescue, which can quickly respond to rescue needs and improve the
efficiency of task execution. Mapping and navigation, as the key foundation for
air-ground collaborative robots to achieve efficient task execution, have
attracted a great deal of attention. This growing interest in collaborative
robot mapping and navigation is conducive to improving the intelligence of fire
and rescue task execution, but there has been no comprehensive investigation of
this field to highlight their strengths. In this paper, we present a systematic
review of the ground-to-ground cooperative robots for fire and rescue from a
new perspective of mapping and navigation. First, an air-ground collaborative
robots framework for fire and rescue missions based on unmanned aerial vehicle
(UAV) mapping and unmanned ground vehicle (UGV) navigation is introduced. Then,
the research progress of mapping and navigation under this framework is
systematically summarized, including UAV mapping, UAV/UGV co-localization, and
UGV navigation, with their main achievements and limitations. Based on the
needs of fire and rescue missions, the collaborative robots with different
numbers of UAVs and UGVs are classified, and their practicality in fire and
rescue tasks is elaborated, with a focus on the discussion of their merits and
demerits. In addition, the application examples of air-ground collaborative
robots in various firefighting and rescue scenarios are given. Finally, this
paper emphasizes the current challenges and potential research opportunities,
rounding up references for practitioners and researchers willing to engage in
this vibrant area of air-ground collaborative robots.","Ying Zhang, Haibao Yan, Danni Zhu, Jiankun Wang, Cui-Hua Zhang, Weili Ding, Xi Luo, Changchun Hua, Max Q. -H. Meng",2024-12-30,http://arxiv.org/abs/2412.20699v1,cs.RO,"This paper presents a systematic review of the development of air-ground collaborative robots for fire and rescue missions, focusing on mapping and navigation, and highlights their strengths and limitations.","Collaborative Robots, Fire Rescue",
Optimal rolling of fair dice using fair coins,"In 1976, Knuth and Yao presented an algorithm for sampling from a finite
distribution using flips of a fair coin that on average used the optimal number
of flips. Here we show how to easily run their algorithm for the special case
of rolling a fair die that uses memory linear in the input. Analysis of this
algorithm yields a bound on the average number of coin flips needed that is
slightly better than the original Knuth-Yao bound. This can then be extended to
discrete distributions in a near optimal number of flips again using memory
linear in the input.","Mark Huber, Danny Vargas",2024-12-30,http://arxiv.org/abs/2412.20700v1,cs.DS,"The abstract discusses a modification of the Knuth-Yao algorithm for sampling from a finite distribution using coin flips, which achieves a better-than-optimal average number of flips for rolling a fair die or sampling from discrete distributions.",dice rolling,
Open-Set Object Detection By Aligning Known Class Representations,"Open-Set Object Detection (OSOD) has emerged as a contemporary research
direction to address the detection of unknown objects. Recently, few works have
achieved remarkable performance in the OSOD task by employing contrastive
clustering to separate unknown classes. In contrast, we propose a new semantic
clustering-based approach to facilitate a meaningful alignment of clusters in
semantic space and introduce a class decorrelation module to enhance
inter-cluster separation. Our approach further incorporates an object focus
module to predict objectness scores, which enhances the detection of unknown
objects. Further, we employ i) an evaluation technique that penalizes
low-confidence outputs to mitigate the risk of misclassification of the unknown
objects and ii) a new metric called HMP that combines known and unknown
precision using harmonic mean. Our extensive experiments demonstrate that the
proposed model achieves significant improvement on the MS-COCO & PASCAL VOC
dataset for the OSOD task.","Hiran Sarkar, Vishal Chudasama, Naoyuki Onoe, Pankaj Wasnik, Vineeth N Balasubramanian",2024-12-30,http://arxiv.org/abs/2412.20701v1,cs.CV,"A new semantic clustering-based approach is proposed for Open-Set Object Detection, incorporating a class decorrelation module, object focus module, and evaluation technique to detect unknown objects with improved performance on MS-COCO and PASCAL VOC datasets.",Open-set Known Class,
"The Restricted Inverse Optimal Value Problem under Weighted Bottle-neck
  Hamming distance on trees","We consider the Restricted Inverse Optimal Value Problem (RIOVSP) on trees
under weighted bottleneck Hamming distance, denoted as (RIOVSPT$_{BH}$). The
problem aims to minimize the total cost under weighted bottle-neck Hamming
distance such that the length of the shortest root-leaf path of the tree is
lower-bounded by a given value by adjusting the length of some edges.
Additionally, the specified lower bound must correspond to the length of a
particular root-leaf path. Through careful analysis of the problem's structural
properties, we develop an algorithm with $O(n\log n)$ time complexity to solve
(RIOVSPT$_{BH}$). Furthermore, by removing the path-length constraint, we
derive the Minimum Cost Shortest Path Interdiction Problem on Trees (MCSPIT),
for which we present an $O(n\log n)$ time algorithm that operates under
weighted bottleneck Hamming distance. Extensive computational experiments
demonstrate the efficiency and effectiveness of both algorithms.","Qiao Zhang, Xiao Li, Xiucui Guan",2024-12-30,http://arxiv.org/abs/2412.20703v1,cs.DS,"The abstract considers the Restricted Inverse Optimal Value Problem on trees under weighted bottleneck Hamming distance, and develops an O(nlogn) time algorithm to solve it, along with a related problem, Minimum Cost Shortest Path Interdiction Problem on Trees.",Restricted Inverse Optimal Value Problem,
"HFI: A unified framework for training-free detection and implicit
  watermarking of latent diffusion model generated images","Dramatic advances in the quality of the latent diffusion models (LDMs) also
led to the malicious use of AI-generated images. While current AI-generated
image detection methods assume the availability of real/AI-generated images for
training, this is practically limited given the vast expressibility of LDMs.
This motivates the training-free detection setup where no related data are
available in advance. The existing LDM-generated image detection method assumes
that images generated by LDM are easier to reconstruct using an autoencoder
than real images. However, we observe that this reconstruction distance is
overfitted to background information, leading the current method to
underperform in detecting images with simple backgrounds. To address this, we
propose a novel method called HFI. Specifically, by viewing the autoencoder of
LDM as a downsampling-upsampling kernel, HFI measures the extent of aliasing, a
distortion of high-frequency information that appears in the reconstructed
image. HFI is training-free, efficient, and consistently outperforms other
training-free methods in detecting challenging images generated by various
generative models. We also show that HFI can successfully detect the images
generated from the specified LDM as a means of implicit watermarking. HFI
outperforms the best baseline method while achieving magnitudes of","Sungik Choi, Sungwoo Park, Jaehoon Lee, Seunghyun Kim, Stanley Jungkyu Choi, Moontae Lee",2024-12-30,http://arxiv.org/abs/2412.20704v1,cs.CV,"The paper proposes a novel, training-free method called HFI for detecting artificial images generated by latent diffusion models, which measures the extent of aliasing in the reconstructed image to improve detection performance.","HFI, watermarking, diffusion model",
"Metadata-Enhanced Speech Emotion Recognition: Augmented Residual
  Integration and Co-Attention in Two-Stage Fine-Tuning","Speech Emotion Recognition (SER) involves analyzing vocal expressions to
determine the emotional state of speakers, where the comprehensive and thorough
utilization of audio information is paramount. Therefore, we propose a novel
approach on self-supervised learning (SSL) models that employs all available
auxiliary information -- specifically metadata -- to enhance performance.
Through a two-stage fine-tuning method in multi-task learning, we introduce the
Augmented Residual Integration (ARI) module, which enhances transformer layers
in encoder of SSL models. The module efficiently preserves acoustic features
across all different levels, thereby significantly improving the performance of
metadata-related auxiliary tasks that require various levels of features.
Moreover, the Co-attention module is incorporated due to its complementary
nature with ARI, enabling the model to effectively utilize multidimensional
information and contextual relationships from metadata-related auxiliary tasks.
Under pre-trained base models and speaker-independent setup, our approach
consistently surpasses state-of-the-art (SOTA) models on multiple SSL encoders
for the IEMOCAP dataset.","Zixiang Wan, Ziyue Qiu, Yiyang Liu, Wei-Qiang Zhang",2024-12-30,http://arxiv.org/abs/2412.20707v1,eess.AS,"A novel self-supervised learning approach is proposed for Speech Emotion Recognition, which utilizes metadata to enhance performance and incorporates the Augmented Residual Integration and Co-attention modules to improve feature preservation and multidimensional information utilization.","Keywords: Speech Emotion, Residual Integration, Co-Attention",
