title,abstract,authors,figures,pages,tables,pdf_link,primary_subject,secondary_subjects,submitted_journal,published_journal,keywords,date,reason_removed
Can thermodynamic equilibrium be established in planet-forming disks?,"The inner regions of planet-forming disks are warm and dense. The chemical networks used for disk modelling so far were developed for a cold and dilute medium and do not include a complete set of pressure-dependent reactions. The chemical networks developed for planetary atmospheres include such reactions along with the inverse reactions related to the Gibb's free energies of the molecules. The chemical networks used for disk modelling are thus incomplete in this respect. We want to study whether thermodynamic equilibrium can be established in a planet-forming disk. We identify the regions in the disk most likely to reach thermodynamic equilibrium and determine the timescale over which this occurs. We employ the theoretical concepts used in exoplanet atmosphere chemistry for the disk modelling with PROtoplanetary DIsk MOdel ({\sc ProDiMo}). We develop a chemical network called CHemistry Assembled from exoplanets and dIsks for Thermodynamic EquilibriA ({\sc ChaiTea}) that is based on the UMIST 2022, STAND, and large DIscANAlysis (DIANA) chemical networks. It consists of 239 species. From the STAND network, we adopt the concept of reversing all gas-phase reactions based on thermodynamic data. We use single-point models for a range of gas densities and gas temperatures to verify that the implemented concepts work and thermodynamic equilibrium is achieved in the absence of cosmic rays and photoreactions including radiative associations and direct recombinations. We then study the impact of photoreactions and cosmic rays that lead to deviations from thermodynamic equilibrium. We explore the chemical relaxation timescales towards thermodynamic equilibrium. Lastly, we study the predicted 2D chemical structure of a typical T\,Tauri disk when using the new {\sc ChaiTea} network instead of the large DIANA standard network, including photorates, cosmic rays, X-rays, and ice....","['Jayatee Kanwar', 'Peter Woitke', 'Inga Kamp', 'Paul Rimmer', 'Christiane Helling']",10.0,20.0,8.0,arxiv.org/pdf/2505.13705,Earth and Planetary Astrophysics,,A&A,,['astrochemistry - protoplanetary disk - inner disk - chemical network 1'],2025-05-21,Duplicate
CHANG-ES: XXXVI. The thin and thick radio discs,"Context. Edge-on spiral galaxies give us an outsiders' view of the radio halo, which envelops these galaxies. The radio halos are caused by extra-planar cosmic-ray electrons that emit synchrotron emission in magnetic fields. Aims. We aim to study the origin of radio halos around galaxies and infer the role of cosmic-rays in supporting the gaseous discs. We would like to test the influence of star formation as the main source of cosmic rays as well as other fundamental galaxy properties such as mass and size. Methods. We present a study of radio continuum scale heights in 22 nearby edge-on galaxies from the CHANG-ES survey. We employ deep observations with the Jansky Very Large Array in the S-band (2-4 GHz), imaging at 7"" angular resolution. We measure scale heights in three strips within the effective radio continuum radius, correcting for the influence of angular resolution and inclination angle. We include only galaxies where a distinction between the two disc components can be made in at least one of the strips, providing us with robust measurements of both scale heights. Results. We find a strong positive correlation between scale heights of the thin and thick discs and star-forming radius as well as star-formation rate (SFR); moderately strong correlations are found for the mass surface density and the ratio of SFR-to-mass surface density; no correlation is found with SFR surface density alone. Yet the SFR surface density plays a role as well: galaxies with high SFR surface densities have a rather roundish shape, whereas galaxies with little star formation show only a relatively small vertical extent in comparison to their size. Conclusions. Thick gaseous discs are partially supported by cosmic-ray pressure. Our results are a useful benchmark for simulations of galaxy evolution that include cosmic rays.","['V. Heesen', 'M. Stein', 'N. Pourjafari', 'M. Brüggen', 'J. Stil', 'J.-T. Li', 'T. Wiegert', 'J. Irwin', 'R.-J. Dettmar', 'T. A. Porter', 'Y. Stein']",10.0,11.0,1.0,arxiv.org/pdf/2505.13713,Astrophysics of Galaxies,,Astronomy & Astrophysics,,['cosmic rays – galaxies: magnetic fields – galaxies: fundamental parameters – galaxies: star formation – radio continuum: galaxies 1'],2025-05-21,Duplicate
Detection of Hydrocarbons in the Disk around an Actively-Accreting Planetary-Mass Object,"We present the 0.6--12-micron spectrum of Cha\,1107-7626, a 6-10 Jupiter-mass free-floating object in the $\sim$2\,Myr-old Chamaeleon-I star-forming region, from observations with the NIRSpec and MIRI instruments onboard the James Webb Space Telescope. We confirm that Cha\,1107-7626 is one of the lowest-mass objects known to harbor a dusty disk with infrared excess emission at wavelengths beyond 4 microns. Our NIRSpec data, and prior ground-based observations, provide strong evidence for ongoing accretion through Hydrogen recombination lines. In the mid-infrared spectrum, we detect unambiguously emission lines caused by methane (CH$_\mathrm{4}$) and ethylene (C$_\mathrm{2}$H$_\mathrm{4}$) in its circum-substellar disk. Our findings mean that Cha 1107-7626 is by far the lowest-mass object with hydrocarbons observed in its disk. The spectrum of the disk looks remarkably similar to that of ISO-ChaI 147, a very low mass star with a carbon-rich disk that is 10 to 20 times more massive than Cha\,1107-7626. The hydrocarbon lines can be accounted for with a model assuming gas temperatures of a few hundred Kelvin in the inner disk. The obvious similarities between the spectra of a low-mass star and a planetary-mass object indicate that the conditions in the inner disks can be similar across a wide range of central object masses.","['Laura Flagg', 'Aleks Scholz', 'V. Almendros-Abad', 'Ray Jayawardhana', 'Belinda Damian', 'Koraljka Muzic', 'Antonella Natta', 'Paola Pinilla', 'Leonardo Testi']",5.0,7.0,1.0,arxiv.org/pdf/2505.13714,Earth and Planetary Astrophysics,['Solar and Stellar Astrophysics'],,,[],2025-05-21,Duplicate
Orbital Phase-resolved Analysis of X-ray and Gamma-ray Observations of the High-Mass Gamma-ray Binary 4FGL J1405.1-6119,"We present the results of multi-wavelength observations of the High-Mass Gamma-Ray Binary 4FGL J1405.1-6119. A pair of joint XMM-Newton and NuSTAR observations taken in 2019 (sampling the gamma-ray maximum and X-ray maximum) characterize the emission of soft and hard X-rays. We find variability of the hydrogen column density along our line of sight, $N_{\rm H}$, and photon index, $\Gamma$, and find no evidence of pulsations in X-rays. We also refine a new best-fit orbital period to $P=13.7157\pm0.0014$ days, the first orbital phase-resolved analysis based on nearly 16 years of Fermi--LAT observations of 4FGL J1405.1-6119 and the evolution of the spectral shape as a function of orbital phase. Finally, the X-ray and $\gamma$-ray spectra for the phases sampled in the new X-ray observations can be interpreted in the framework of the intrabinary shock model, previously applied to High-Mass Gamma-Ray binaries such as LS 5039.","['Alexander Lange', 'Robin H.D. Corbet', 'Joel B. Coley', 'Guillaume Dubus', 'Jeremy Hare', 'Nazma Islam', 'Jonathan Barnes']",8.0,17.0,3.0,arxiv.org/pdf/2505.13716,High Energy Astrophysical Phenomena,,the Astrophysical Journal,,"['reducing scientific exposure to 74 ks and 51 ks', 'in arfgen as per the latest recommendation by the XMM-SAS team1', 'and generate science products', 'Compact Objects 1', 'High-Energy Astrophysics', 'High-Mass Gamma-ray Binaries', 'respectively', 'saacalc=2 and tentacle=Yes to account for the South Atlantic Anomaly and any space weather']",2025-05-21,Duplicate
Quantifying Chromosphere Response to Flare Energy Release Using AIA Observations in 1600~Å and 304~Å Passbands,"Imaging observations of the solar lower atmosphere by the Atmosphere Imaging Assembly (AIA) have been mostly used as the context, and their quantitative information has been much less explored. The chromosphere responds rapidly to energy release by magnetic reconnection during flares. Furthermore, a flare is a collection of multiple energy release events that can be identified in spatially resolved chromosphere observations. In this paper, we conduct a statistical and semi-quantitative study of the relative photometry in the UV 1600~Å and EUV 304~Å passbands for 18 flares observed by AIA. In each flare, we have identified thousands of flare ribbon pixels in the UV 1600~Å images, and measured their brightness (counts per second) and the rise and decay timescales, which are indicative of heating properties in flare loops. The analysis shows that bright flare pixels, characterized by peak brightness larger than ten times the quiescent brightness, exhibit sharp light curves with the half rise time below 2 min, followed by a two-phase decay with a rapid decay on timescales comparable to the rise time and then a more gradual decay. Flare ribbon pixels identified in both UV 1600 ~Å and EUV 304~Å images exhibit similar time profiles during the rise, and their peak brightness appear to be related by a power law. Our analysis shows that AIA observed flare brightness in UV 1600~Å relative to the quiescent brightness is a meaningful measurement of the flare chromosphere photometry, and AIA observations for over a decade thus provide a unique and extensive database for systematic and semi-quantitative study of flaring chromosphere, either in the context of the Sun as a star, or in spatially resolved manner that helps to probe the nature of flare energy release on elementary scales.","['Jiong Qiu', 'Rhiannon Fleming']",13.0,32.0,1.0,arxiv.org/pdf/2505.13728,Solar and Stellar Astrophysics,,,,"['USA SOLA: ms_sp', 'Bozeman', 'EUV', 'Montana State University', 'Corona', 'Magnetic Reconnection', '59717', 'Chromosphere', 'Solar Flares', 'UV 1Department of Physics', 'MT']",2025-05-21,Duplicate
XRISM Reveals a Remnant Torus in the Low-Luminosity AGN M81*,"Up to 40% of galaxies in the local universe host a low-luminosity active galactic nucleus (LLAGN), making it vital to understand this mode of black hole accretion. However, the presence or absence of Seyfert-like geometries - an accretion disk close to the black hole, an optical broad line region (BLR), and a molecular torus - remains uncertain owing to the low flux levels of sources within this class. Herein, we present an analysis of a XRISM/Resolve spectrum of M81*, the LLAGN in the heart of the nearby spiral galaxy M81. A weak, neutral Fe K emission line is detected and resolved into K$_{\alpha,1}$ and K$_{\alpha,2}$ components. It shows a negligible velocity shift, and weak broadening (FWHM$=460^{+260}_{-160}~{\rm km}~{\rm s}^{-1}$) that corresponds to an inner emission radius of ${\rm r} \geq 2.7\times 10^{4}~GM/c^{2}$ for likely inclinations. The Fe K$_{\alpha}$ line likely traces a torus. The upper limit on additional splitting of the Fe K$_{\alpha}$ line components translates to a limit on the local magnetic field of ${\rm B} \leq 3.5\times 10^{8}$ Gauss, assuming Zeeman splitting. The spectra also reveal ionized plasma(s) through He-like Fe XXV and H-like Fe XXVI emission lines. These can be fit equally well assuming photoionization and collisional excitation. The H-like Fe XXVI line is better described when a second component is included with a red-shift of ${\rm v} = 1600~{\rm km}~{\rm s}^{-1}$, but this addition is of marginal statistical significance. We discuss these results in the context of radiatively inefficient accretion flow models, magnetically arrested disks, and possible links to the Fermi bubbles in the Milky Way.","['Jon M. Miller', 'Ehud Behar', 'Hisamitsu Awaki', 'Ann Hornschemeier', 'Jesse Bluem', 'Luigi Gallo', 'Shogo B. Kobayashi', 'Richard Mushotzky', 'Masanori Ohno', 'Robert Petre', 'Kosuke Sato', 'Yuichi Terashima', 'Mihoko Yukita']",3.0,17.0,3.0,arxiv.org/pdf/2505.13730,High Energy Astrophysical Phenomena,['Astrophysics of Galaxies'],ApJL,,['X-rays: black holes — accretion – accretion disks 1'],2025-05-21,Duplicate
OGHReS: Star formation in the Outer Galaxy II ($\ell = 180^\circ$-$280^\circ$),"The Outer Galaxy High-Resolution Survey (OGHReS) covers 100 square degrees ($180^\circ < \ell < 280^\circ$) in the (2--1) transitions of three CO-isotopologues. We use the spectra to refine the velocities and physical properties to 6706 \higal\ clumps located in the OGHReS region. In a previous paper, we analysed 3584 clumps between $\ell = 250^\circ$ and $280^\circ$. Here, we cover a further 3122 clumps ($180^\circ < \ell < 250^\circ$) and determine reliable velocities for \withVLSR\ of these, finding good agreement with the previously assigned velocities ($\sim$80 percent within 5 \kms). We update velocities for 288 clumps and provide new values for an additional 411. Combining these with the previous results, we have velocities and physical properties for 6193 clumps (92.3 percent). The \allnonDetections\ non-detections are low surface density clumps or likely contamination by evolved stars and galaxies. Key findings: i) improved correlation between clumps and spiral arm loci, and the discovery of clumps beyond the outer arm supports the existence of a new spiral structure; ii) decreasing trend in the $L/M$-ratio consistent with less high-mass star formation in the outer Galaxy; iii) increase in the star formation fraction (SFF) in the outer Galaxy, suggesting that more clumps are forming stars despite their lower mass; iv) discrepancies in velocity assignments across different surveys that could affect $\sim$10000 clumps, especially in the fourth quadrant.","['J. S. Urquhart', 'C. Koenig', 'D. Colombo', 'A. Karska', 'A. Giannetti', 'T. J. T. Moore', 'A. Y. Yang', 'F. Wyrowski', 'Y. Sun', 'Z. Jiang', 'K. R. Neralwar', 'D. Eden', 'I. Grozdanova', 'S. Neupane', 'M. Figueira', 'E. Dann', 'S. Veena', 'W.-J. Kim', 'S. Leurini', 'J. Brand', 'M.-Y. Lee']",28.0,18.0,3.0,arxiv.org/pdf/2505.13756,Astrophysics of Galaxies,,,,['stars: formation – stars: protostars – ISM: molecules – Galaxy: structure – in- frared: stars ⋆The full version of Tables 1 and 2 are only available in electronic form at the CDS via anonymous ftp to cdsarc'],2025-05-21,Duplicate
Extensions of Brown Hamiltonian-I. A high-accuracy model for von Zeipel-Lidov-Kozai oscillations,"Triple systems with low hierarchical structure are common throughout the Universe, including examples such as high-altitude lunar satellites influenced by the Earth, planetary satellites perturbed by the Sun, and stellar binaries affected by a supermassive black hole. In these systems, nonlinear perturbations are significant, making classical double-averaged models (even those incorporating the Brown Hamiltonian correction) insufficient for accurately capturing long-term dynamics. To overcome this limitation, the current study develops a high-precision dynamical model that incorporates the nonlinear effects of the quadrupole-order potential arising from both the inner and outer bodies, referred to as the extended Brown Hamiltonian model. This framework specifically expresses the Hamiltonian function and the transformation between mean and osculating orbital elements in elegant, closed forms with respect to the eccentricities of the inner and outer orbits. Practical applications to Jupiter's irregular satellites show that the long-term evolutions predicted by the extended Brown Hamiltonian model align well with the results of direct N-body simulations. The developed Hamiltonian offers a fundamental dynamical model, which is particularly well suited for describing von Zeipel-Lidov-Kozai oscillations in low-hierarchy three-body systems.","['Hanlun Lei', 'Evgeni Grishin']",5.0,12.0,2.0,arxiv.org/pdf/2505.13780,Earth and Planetary Astrophysics,,MNRAS,,"['the eccentricity and inclination of the inner orbit undergo coupled evolution due to the long-term pertur- bation from a distant body', 'celestial mechanics – planets and satellites: dynamical evolution and stability – planetary systems 1 INTRODUCTION In hierarchical triple systems']",2025-05-21,Duplicate
Statistical Properties of Predicted Blended Eclipsing Binary False Positives in PLATO LOPS,"With the planned launch of the PLAnetary Transit and Oscillation of stars (PLATO) satellite mission in 2026, an understanding of the stellar properties and spatial distribution of astrophysical false positives (FPs) is essential to ensure the limited ground-based spectroscopy resources are used efficiently to target the most likely genuine planetary transit (PT) candidates. In our previous paper, Bray et al. (2023), we presented the expected blended eclipsing binary false positive (BEB) percentage in the proposed Southern PLATO field, which we referred to as SPF0. This was obtained from a detailed statistical analysis of a complete synthetic rendering of SPF0. In this follow-up paper, we present a more detailed analysis of the synthetic binary population creating these BEBs including the apparent radii of the planets mimicked, distances from Earth, orbital periods and binary component masses and evolutionarythis http URLexamine the properties of the BEBs from 400 new independent simulations where random orbital inclinations were assigned to all synthetic binaries in the entire SPF0 region. We consider BEBs created by all eclipses of non-compact remnant binaries. Finally we examine the BEBs most likely to be mistaken for planets in the habitable zone which we define as fully or partially eclipsing binaries with periods between 180 and 1,000 days satisfying our critical inclination angle check.","['J C Bray', 'U Kolb', 'S A Mills']",19.0,13.0,0.0,arxiv.org/pdf/2505.13793,Earth and Planetary Astrophysics,"['Instrumentation and Methods for Astrophysics', 'Solar and Stellar Astrophysics']",,,"['is currently well into the construction phase with the satellite tentatively scheduled for launch at the end of 2026', 'PLAnetary Transits and Oscillation of stars (PLATO)', 'keyword1 – keyword2 – keyword3 1 INTRODUCTION The European Space Agency (ESA) satellite mission']",2025-05-21,Duplicate
Galaxy And Mass Assembly: A new approach to quantifying dust in galaxies,"We introduce a new approach to quantifying dust in galaxies by combining information from the Balmer decrement (BD) and the dust mass ($M_d$). While there is no explicit correlation between these two properties, they jointly probe different aspects of the dust present in galaxies. We explore two new parameters that link BD with $M_d$ by using star formation rate sensitive luminosities at several wavelengths (ultraviolet, H$\alpha$, and far-infrared). This analysis shows that combining the BD and $M_d$ in these ways provides new metrics that are sensitive to the degree of optically thick dust affecting the short wavelength emission. We show how these new ''dust geometry'' parameters vary as a function of galaxy mass, star formation rate, and specific star formation rate. We demonstrate that they are sensitive probes of the dust geometry in galaxies, and that they support the ''maximal foreground screen'' model for dust in starburst galaxies.","['B. Farley', 'U. T. Ahmed', 'A. M. Hopkins', 'M. Cowley', 'A. Battisti', 'S. Casura', 'Y. Gordon', 'B. W. Holwerda', 'S. Phillipps', 'C. Robertson', 'T. Zafar']",17.0,19.0,3.0,arxiv.org/pdf/2505.13797,Astrophysics of Galaxies,,,,"['dust geometry', 'star-forming galaxies 1', 'dust obscuration']",2025-05-21,Duplicate
TransFit: An Efficient Framework for Transient Light-Curve Fitting with Time-Dependent Radiative Diffusion,"Modeling the light curves (LCs) of luminous astronomical transients, such as supernovae, is crucial for understanding their progenitor physics, particularly with the exponential growth of survey data. However, existing methods face limitations: efficient semi-analytical models (e.g., Arnett-like) employ significant physical simplifications (like time-invariant temperature profiles and simplified heating distributions), often compromising accuracy, especially for early-time LCs. Conversely, detailed numerical radiative transfer simulations, while accurate, are computationally prohibitive for large datasets. This paper introduces TransFit, a novel framework that numerically solves a generalized energy conservation equation, explicitly incorporating time-dependent radiative diffusion, continuous radioactive or central engine heating, and ejecta expansion dynamics. The model accurately captures the influence of key ejecta properties and diverse heating source characteristics on light curve morphology, including peak luminosity, rise time, and overall shape. Furthermore, TransFit provides self-consistent modeling of the transition from shock-cooling to $^{56}$Ni}-powered light curves. By combining physical realism with computational speed, TransFit provides a powerful tool for efficiently inverting LCs and extracting detailed physical insights from the vast datasets of current and future transient surveys.","['Liang-Duan Liu', 'Yu-Hao Zhang', 'Yun-Wei Yu', 'Ze-Xin Du', 'Jing-Yao Li', 'Guang-Lei Wu', 'Zi-Gao Dai']",12.0,24.0,3.0,arxiv.org/pdf/2505.13825,High Energy Astrophysical Phenomena,['Instrumentation and Methods for Astrophysics'],,,['Supernovae (1668)'],2025-05-21,Duplicate
Pulsar Cyclic Spectroscopy in the Partial-Deconvolution Regime: Benefits & Limitations,"We explore possible advantages of cyclic spectroscopy for observations of pulsars in instances where full cyclic deconvolution is not feasible. We compute cyclic merits and full-deconvolution regime boundaries for pulsars observed by NANOGrav and discuss which sources stand to benefit the most from using cyclic spectroscopy when observed with the Green Bank Telescope and DSA-2000 in a given frequency range. We compare data products, namely the wavefield, in both full-deconvolution and partial-deconvolution regimes to demonstrate what can be accomplished with incomplete phase retrieval. Additionally, we show how some phase retrieval can still be achieved in the partial-deconvolution regime and how this allows for additional information in scintillation-based data products, like the dynamic wavefield power, compared to what can be found in traditional dynamic spectra. An examination of dynamic wavefield phase as a function of observing frequency reveals more complete phase retrieval is achieved the closer one gets to the full deconvolution regime, agreeing with the expectations of cyclic merit. While we demonstrate that fragmentary recovery of the secondary wavefield can be accomplished in the partial-deconvolution regime, we advocate for a synergistic approach with phase retrieval methods like the $\theta-\theta$ transform, although we also provide discussion about shortcomings of this strategy. Finally, we use the combination of modest cyclic merit and lack of discernible results for PSR J1903$+$0327 to motivate the creation of an updated ""cyclic merit 2.0"", which relies on scintillation bandwidth instead of observing bandwidth.","['Jacob E. Turner', 'Timothy Dolch', 'Paul B. Demorest', 'Ryan S. Lynch', 'Daniel R. Stinebring', 'Cody Jessup', 'Nathaniel Jones', 'Christopher Scheithauer']",18.0,25.0,3.0,arxiv.org/pdf/2505.13832,High Energy Astrophysical Phenomena,,ApJ,,['methods: data analysis – methods: signal processing – stars: pulsars – ISM: general – ISM: structure 1'],2025-05-21,Duplicate
Oscillatory magnetic reconnection at a coronal bright point,"Coronal bright points are typical small-scale coronal brightenings that consist of a bundle of miniature coronal loops. Using the ultra-high-resolution coronal images from the Extreme Ultraviolet Image onboard Solar Obiter, we report the first observational evidence of oscillatory magnetic reconnection at a coronal bright point (CBP). The reconnection is characterised by two bursty phases defined by a reconnection reversal. In the first phase, a current sheet (C1) is found to form in front of an expanding loop of the bright point. Interestingly, C1 shorten to a null point during 10 minutes after reaching its maximum length (~2.4Mm). Less than 3 minutes later, a new current sheet (C2) was clearly seen to grow out from the null point, but along an orthogonal direction relative to C1. C2 reached a maximum length of ~4 Mm in ten minutes and then has become short and invisible in the next few minutes as the reconnection has declined. The magnetic reconnection is evidenced by the brightening, plasma flow and temperature increase at the ends of both C1 and C2. No significant magnetic cancellation or emergence but gradual convergence has occurred during a few hours before the reconnection underneath the CBP. The transition from C1 to C2 suggests the occurrence of coronal oscillatory reconnection with once reconnection reversal, whereby the inflow and outflow regions in the first phase become the outflow and inflow regions in the second phase, respectively. It is further found that the oscillatory reconnection could slightly modulate the change in brightness of the coronal bright point.","['Junchao Hong', 'Jiayan Yang', 'Yi Bi', 'Bo Yang']",7.0,15.0,0.0,arxiv.org/pdf/2505.13859,Solar and Stellar Astrophysics,,,,['Solar corona (1483) — Solar magnetic reconnection(1504) — coronal bright point 1'],2025-05-21,Duplicate
The dynamics of the parsec-scale jet in the neutrino blazar PKS 0735+178,"Recent studies of individual track-like TeV-PeV IceCube neutrino events suggest that strongly jetted AGNs, blazars, can be plausible sources of extragalactic high-energy neutrinos. Although the broadband emission and neutrinos from such blazars can be modeled by hadronic jets with inverse Compton processes, various models show degeneracies. One of the reasons is the lack of high-resolution observations pinpointing the location and physical conditions of neutrino-emitting plasma. Here, we present a VLBI study of PKS 0735+178 that was recently associated with a high energy neutrino event IceCube-211208A (IC211208) as well as alerts from other neutrino observatories. We analyzed publicly available VLBA 15 and 43 GHz data of 0735+178 during 2020-2024, resolving the mas-scale jet and tracing its time evolution in flux and structure, before and after IC211208. We find significant enhancements in the radio flux density, apparent brightness temperature, and synchrotron opacity at 15-43 GHz of the VLBI nuclear region after IC211208, strengthening the temporal correlation between 0735+178 and IC211208. Furthermore, we find that the source ejected a new VLBI component C2 from the VLBI core before IC211208. C2 traveled further downstream at ~4.2c apparent speed, close to the historical maximum speed for this object. C2 then passed a subluminally moving feature in the jet C1 located at ~0.13 mas (~0.77 pc) downstream the core at the time of IC211208. The time of this apparent passage is statistically coincident with the time of IC211208 within 1sigma uncertainty, suggesting the location of this apparent passage to be a probable spatial origin of IC211208. We discuss the physical implications of these findings.","['Yu-Sik Kim', 'Jae-Young Kim']",13.0,23.0,2.0,arxiv.org/pdf/2505.13876,High Energy Astrophysical Phenomena,['Astrophysics of Galaxies'],,,['galaxies: active – BL Lacertae objects: individual: PKS 0735 +178 – Quasars: individual: PKS 0735 +178 – neutrinos – radio continuum: galaxies – techniques: interferometric 1'],2025-05-21,Duplicate
Multi-dimensional Models of Mixed H/He Flames in X-ray Bursts,"We investigate the properties of mixed H/He flames in X-ray bursts using 2D hydrodynamic simulations. We find that as the initial hydrogen abundance of the atmosphere increases, the flame is less energetic and propagates slower. The simulation outcome, whether a flame forms and whether there's runaway burning at the base of the atmosphere, is very sensitive to the initial model and the nuclear reaction network used. We also see that at late times a secondary flame ignites, with the ignition mechanism dependent on the composition.","['Eric T. Johnson', 'Michael Zingale']",7.0,9.0,3.0,arxiv.org/pdf/2505.13879,High Energy Astrophysical Phenomena,,,,"['X-ray bursts', 'hydrodynamics 1', 'nucleosynthesis', 'flames']",2025-05-21,Duplicate
The Initial Mass Function of the Galactic Early-type Field Stars Based on the LAMOST Survey,"Research on the high-mass end of the initial mass function (IMF) has been limited due to a scarcity of samples. Recently, Large Sky Area Multi-Object Fiber Spectroscopic Telescope (LAMOST), as the most efficient spectroscopic telescope, has provided new opportunities for related research. In this study, based on approximately 70,000 main-sequence early-type stars from the LAMOST survey, we investigated the IMF of Galactic field stars at the high-mass end (1.5 < M/Msun < 7.1). First, we derived the slope of the present-day mass function (PDMF), finding after correcting for selection effect in the observed sample. We then accounted for the effects of stellar evolution and unresolved binaries to correct the PDMF back to the IMF, resulting in {\alpha}ini = 2.70 - 2.82. Notably, we corrected both stellar evolution and unresolved binary effects simultaneously by using binary-Star evolution code, which enhances the robustness of our results. Additionally, we investigated how different mass-ratio (q) distributions of binaries and different star formation histories of the Milky Way impact the IMF. Finally, we tested samples across different spatial scales and found that {\alpha}ini may exhibit a decreasing trend as the spatial scale increases, which could be attributed to variations in metallicity.","['Qida Li', 'Jianping Xiong', 'Zhenwei Li', 'Dan Qiu', 'Chao Liu', 'Zhanwen Han', 'Xuefei Chen']",9.0,9.0,4.0,arxiv.org/pdf/2505.13935,Astrophysics of Galaxies,,,,['Initial mass function (796 )'],2025-05-21,Duplicate
Accretion of AGN Stars under Influence of Disk Geometry,"Massive stars can form within or be captured by AGN disks, influencing both the thermal structure and metallicity of the disk environment. In a previous work, we investigated isotropic accretion onto massive stars from a gas-rich, high-entropy background. Here, we consider a more realistic scenario by incorporating the stratified geometry of the background disk in our 3D radiation hydrodynamic simulatons. We find that accretion remains relatively isotropic when the disk is hot enough and the scale height is thicker than the accretion flow's nominal supersonic critical radius $R{crit}$ (sub-thermal). However, when the disk becomes cold, the accretion flow becomes significantly anisotropic (super-thermal). Escaping stellar and accretion luminosity can drive super-Eddington outflows in the polar region, while rapid accretion is sustained along the midplane. Eventually, the effective cross-section is constrained by the Hill radius and the disk scale height rather than the critical radius when the disk is cold enough. For our setup (stellar mass $\sim 50 M\odot$ and background density $\rho\sim 10^{-10}$ g/cm$^3$) the accretion rates is capped below $\sim 0.02M\odot$/year and the effective accretion parameter $\alpha\sim 10^{-1}$ over disk temperature range $3 - 7 \times 10^4$ K. Spiral arms facilitate inward mass flux by driving outward angular momentum transport. Gap-opening effects may further reduce the long-term accretion rate, albeit to confirm which requires global simulations evolved over much longer viscous timescales.","['Yi-Xian Chen', 'Yan-Fei Jiang', 'Jeremy Goodman']",11.0,18.0,1.0,arxiv.org/pdf/2505.13951,High Energy Astrophysical Phenomena,['Solar and Stellar Astrophysics'],,,[],2025-05-21,Duplicate
Capture and Escape of Planetary Mean-motion Resonances in Turbulent Discs,"Mean-motion resonances (MMRs) form through convergent disc migration of planet pairs, which may be disrupted by dynamical instabilities after protoplanetary disc (PPD) dispersal. This scenario is supported by recent analysis of TESS data showing that neighboring planet pairs in younger planetary systems are closer to resonance. To study stability of MMRs during migration, we perform hydrodynamical simulations of migrating planet pairs in PPDs, comparing the effect of laminar viscosity and realistic turbulence. We find stable 3:2 resonance capture for terrestrial planet pairs migrating in a moderately massive PPD, insensitive to a range of laminar viscosity (alpha = 0.001 to 0.1). However, realistic turbulence enhances overstability by sustaining higher equilibrium eccentricities and a positive growth rate in libration amplitude, ultimately leading to resonance escape. The equilibrium eccentricity growth rates decrease as planets migrate into tighter and more stable 4:3 and 5:4 MMRs. Our results suggest that active disc turbulence broadens the parameter space for overstability, causing planet pairs to end up in closer-in orbital separations. Libration within MMR typically lead to deviation from exact period ratio |Delta| \sim 0.5%, which alone is insufficient to produce the typical dispersion of |Delta| \sim 1 to 3% in TESS data, suggesting that post migration dynamical processes are needed to further amplify the offset.","['Yi-Xian Chen', 'Yinhao Wu', 'Ya-Ping Li', 'Douglas N. C. Lin', 'Richard Alexander', 'Sergei Nayakshin', 'Fei Dai']",12.0,10.0,4.0,arxiv.org/pdf/2505.13952,Earth and Planetary Astrophysics,,,,"['planet-disc interactions – accetion discs – turbulence – planets and satellites: formation – exoplanets 1 INTRODUCTION Orbitalmigrationplaysacrucialroleinplanetformation', 'ultimately shapingthearchitectureofplanetarysystems']",2025-05-21,Duplicate
