original_index,arxiv_id,extracted_authors,extracted_affiliations,extracted_countries,first_author_country
28,2501.13015,"[""Jorge S\u00e1nchez Almeida"", ""Ignacio Trujillo"", ""Mireia Montes"", ""Angel R. Plastino""]","[""Instituto de Astrof\u00edsica de Canarias, La Laguna, Tenerife, E-38200, Spain; Departamento de Astrof\u00edsica, Universidad de La Laguna"", ""Instituto de Astrof\u00edsica de Canarias, La Laguna, Tenerife, E-38200, Spain; Departamento de Astrof\u00edsica, Universidad de La Laguna"", ""Institute of Space Sciences (ICE, CSIC), Campus UAB, Carrer de Can Magrans, s/n, 08193 Barcelona, Spain"", ""CeBio y Departamento de Ciencias B\u00e1sicas, Universidad Nacional del Noroeste de la Prov. de Buenos Aires, UNNOBA, CONICET, Roque Saenz Pe\u00f1a 456, Junin, Argentina""]","[""Spain; Spain"", ""Spain; Spain"", ""Spain"", ""Argentina""]",Spain
29,2501.12999,"[""E. J. Buis"", ""A. M. von Benda-Beckmann"", ""E. Doppenberg"", ""J. Dorant"", ""T. H. Jansen"", ""P. Toet"", ""P. Verhooren"", ""J. de Vreugd""]","[""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands; Nikhef, National Institute for Subatomic Physics, Amsterdam, The Netherlands"", ""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"", ""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"", ""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"", ""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"", ""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"", ""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"", ""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands""]","[""The Netherlands; The Netherlands"", ""The Netherlands"", ""The Netherlands"", ""The Netherlands"", ""The Netherlands"", ""The Netherlands"", ""The Netherlands"", ""The Netherlands""]",The Netherlands
30,2501.12990,"[""Konstantin Haubner"", ""Manami Sasaki"", ""Alison Mitchell"", ""Gabriele Ponti"", ""Gavin Rowell"", ""Sabrina Einecke"", ""Miroslav Filipovi\u0107"", ""Sanja Lazarevi\u0107"", ""Gerd P\u00fchlhofer"", ""Andrew Strong""]","[""Dr. Karl Remeis Observatory, Erlangen Centre for Astroparticle Physics, Friedrich-Alexander-Universit\u00e4t Erlangen-N\u00fcrnberg, Sternwartstra\u00dfe 7, 96049 Bamberg, Germany; INAF -- Arcetri Astrophysical Observatory, Largo Enrico Fermi 5, 50125 Firenze, Italy; Dipartimento di Fisica e Astronomia, Universit\u00e0 degli Studi di Firenze, via G. Sansone 1, 50019 Sesto Fiorentino, Firenze, Italy"", ""Dr. Karl Remeis Observatory, Erlangen Centre for Astroparticle Physics, Friedrich-Alexander-Universit\u00e4t Erlangen-N\u00fcrnberg, Sternwartstra\u00dfe 7, 96049 Bamberg, Germany"", ""Erlangen Centre for Astroparticle Physics, Friedrich-Alexander-Universit\u00e4t Erlangen-N\u00fcrnberg, Nikolaus-Fiebiger-Str. 2, 91058 Erlangen, Germany"", ""INAF -- Osservatorio Astronomico di Brera, Via E. Bianchi 46, 23807 Merate, Italy; Max-Planck-Institut f\u00fcr extraterrestrische Physik, Gie\u00dfenbachstra\u00dfe 1, 85748 Garching, Germany"", ""School of Physics, Chemistry and Earth Sciences, The University of Adelaide, Adelaide 5005, Australia"", ""School of Physics, Chemistry and Earth Sciences, The University of Adelaide, Adelaide 5005, Australia"", ""Western Sydney University, Locked Bag 1797, Penrith South DC, NSW 2751, Australia"", ""Western Sydney University, Locked Bag 1797, Penrith South DC, NSW 2751, Australia; CSIRO, Space and Astronomy, PO Box 76, Epping, NSW 1710, Australia; Astronomical Observatory, Volgina 7, 11060 Belgrade, Serbia"", ""Institut f\u00fcr Astronomie und Astrophysik, Universit\u00e4t T\u00fcbingen, Sand 1, 72076 T\u00fcbingen, Germany"", ""Max-Planck-Institut f\u00fcr extraterrestrische Physik, Gie\u00dfenbachstra\u00dfe 1, 85748 Garching, Germany""]","[""Germany; Italy; Italy"", ""Germany"", ""Germany"", ""Italy; Germany"", ""Australia"", ""Australia"", ""Australia"", ""Australia; Australia; Serbia"", ""Germany"", ""Germany""]",Germany; Italy
31,2501.12986,"[""James Sullivan"", ""Zolt\u00e1n Haiman"", ""Mihir Kulkarni"", ""Eli Visbal""]","[""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Institute of Science and Technology Austria (ISTA), Am Campus 1, Klosterneuburg 3400, Austria"", ""University of Toledo, Department of Physics and Astronomy and Ritter Astrophysical Research Center, 2801 W. Bancroft Street, Toledo, Ohio 43606; Institut f\u00fcr Astrophysik, Georg-August Universit\u00e4t G\u00f6ttingen, Friedrich-Hund-Platz 1, D-37077 G\u00f6ttingen, Germany"", ""University of Toledo, Department of Physics and Astronomy and Ritter Astrophysical Research Center, 2801 W. Bancroft Street, Toledo, Ohio 43606""]","[""USA"", ""USA; Austria"", ""USA; Germany"", ""USA""]",USA
32,2501.12977,"[""Peter K. G. Williams""]","[""Center for Astrophysics | Harvard & Smithsonian""]","[""USA""]",USA
33,2501.12970,[],[],[],
34,2501.12928,"[""Peter H. Sims"", ""Jacob Burba"", ""Jonathan C. Pober""]","["""", """", """"]","["""", """", """"]",
35,2501.12925,"[""Cesare Cozza"", ""Kousuke Nakano"", ""Saburo Howard"", ""Hao Xie"", ""Ravit Helled"", ""Guglielmo Mazzola""]","[""Department of Astrophysics, University of Z\u00fcrich, Winterthurerstrasse 190, 8057 Z\u00fcrich, Switzerland"", ""Center for Basic Research on Materials, National Institute for Materials Science (NIMS), 1-2-1 Sengen, Tsukuba, Ibaraki 305-0047, Japan; Center for Emergent Matter Science (CEMS), RIKEN, 2-1 Hirosawa, Wako, Saitama, 351-0198, Japan"", ""Department of Astrophysics, University of Z\u00fcrich, Winterthurerstrasse 190, 8057 Z\u00fcrich, Switzerland"", ""Department of Astrophysics, University of Z\u00fcrich, Winterthurerstrasse 190, 8057 Z\u00fcrich, Switzerland"", ""Department of Astrophysics, University of Z\u00fcrich, Winterthurerstrasse 190, 8057 Z\u00fcrich, Switzerland"", ""Department of Astrophysics, University of Z\u00fcrich, Winterthurerstrasse 190, 8057 Z\u00fcrich, Switzerland""]","[""Switzerland"", ""Japan"", ""Switzerland"", ""Switzerland"", ""Switzerland"", ""Switzerland""]",Switzerland
36,2501.12923,"[""V. Lattari"", ""R. Sfair"", ""P. B. Siqueira"", ""C. M. Sch\u00e4fer""]","[""S\u00e3o Paulo State University (UNESP), School of Engineering and Sciences, 12516-410, Guaratinguet\u00e1, Brazil"", ""S\u00e3o Paulo State University (UNESP), School of Engineering and Sciences, 12516-410, Guaratinguet\u00e1, Brazil; Institute of Astronomy and Astrophysics, University of T\u00fcbingen, Auf der Morgenstelle 10, 72076, T\u00fcbingen, Germany; LESIA, Observatoire de Paris, Universit\u00e9 PSL, CNRS, Sorbonne Universit\u00e9, 5 place Jules Janssen, 92190 Meudon, France"", ""S\u00e3o Paulo State University (UNESP), School of Engineering and Sciences, 12516-410, Guaratinguet\u00e1, Brazil"", ""Institute of Astronomy and Astrophysics, University of T\u00fcbingen, Auf der Morgenstelle 10, 72076, T\u00fcbingen, Germany""]","[""Brazil"", ""Brazil; Germany; France"", ""Brazil"", ""Germany""]",Brazil
37,2501.12922,[],[],[],
38,2501.12917,"[""G. Costa"", ""K. G. Shepherd"", ""A. Bressan"", ""F. Addari"", ""Y. Chen"", ""X. Fu"", ""G. Volpato"", ""C. T. Nguyen"", ""L. Girardi"", ""P. Marigo"", ""A. Mazzi"", ""G. Pastorelli"", ""M. Trabucchi"", ""D. Bossini"", ""S. Zaggia""]","[""Dipartimento di Fisica e Astronomia, Universit\u00e0 degli studi di Padova, Vicolo dell'Osservatorio 3, Padova, Italy; Univ Lyon, Univ Lyon1, ENS de Lyon, CNRS, Centre de Recherche Astrophysique de Lyon UMR5574, F-69230 Saint-Genis-Laval, France; INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""SISSA, via Bonomea 365, I--34136 Trieste, Italy; INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""SISSA, via Bonomea 365, I--34136 Trieste, Italy"", ""SISSA, via Bonomea 365, I--34136 Trieste, Italy"", ""Anhui University, Hefei 230601, China"", ""Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China"", ""Dipartimento di Fisica e Astronomia, Universit\u00e0 degli studi di Padova, Vicolo dell'Osservatorio 3, Padova, Italy; INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""INAF - Osservatorio Astronomico di Trieste, Via Giambattista Tiepolo 11, Trieste, Italy; SISSA, via Bonomea 365, I--34136 Trieste, Italy"", ""INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""Dipartimento di Fisica e Astronomia, Universit\u00e0 degli studi di Padova, Vicolo dell'Osservatorio 3, Padova, Italy"", ""Dipartimento di Fisica e Astronomia Augusto Righi, Universit\u00e0 degli Studi di Bologna, Via Gobetti 93/2, 40129 Bologna, Italy; Dipartimento di Fisica e Astronomia, Universit\u00e0 degli studi di Padova, Vicolo dell'Osservatorio 3, Padova, Italy"", ""Dipartimento di Fisica e Astronomia, Universit\u00e0 degli studi di Padova, Vicolo dell'Osservatorio 3, Padova, Italy; INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""Dipartimento di Fisica e Astronomia, Universit\u00e0 degli studi di Padova, Vicolo dell'Osservatorio 3, Padova, Italy; INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""Dipartimento di Fisica e Astronomia, Universit\u00e0 degli studi di Padova, Vicolo dell'Osservatorio 3, Padova, Italy; INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy""]","[""Italy; France; Italy"", ""Italy; Italy"", ""Italy"", ""Italy"", ""China"", ""China"", ""Italy; Italy"", ""Italy; Italy"", ""Italy"", ""Italy"", ""Italy; Italy"", ""Italy; Italy"", ""Italy; Italy"", ""Italy; Italy"", ""Italy""]",Italy; France; Italy
39,2501.12887,"[""A. ud-Doula"", ""J. Krti\u010dka"", ""B. Kub\u00e1tov\u00e1""]","[""Penn State Scranton, 120 Ridge View Drive, Dunmore, PA 18512, USA"", ""Department of Theoretical Physics and Astrophysics, Masaryk University, Kotl\u00e1\u0159sk\u00e1 2, CZ-611 37 Brno, Czech Republic"", ""Astronomical Institute of the Czech Academy of Sciences, Fri\u010dova 298, 251 65 Ond\u0159ejov, Czech Republic""]","[""USA"", ""Czech Republic"", ""Czech Republic""]",USA
40,2501.13102,"[""M. G. Dainotti"", ""B. De Simone"", ""A. Narendra"", ""A. Pollo""]","[""Division of Science,National Astronomical Observatory of Japan, 2 Chome-21-1 Osawa, Mitaka, Tokyo, 181-8588, Japan; The Graduate University for Advanced Studies, SOKENDAI, Shonankokusaimura, Hayama, Miura District, Kanagawa, 240-0115, Japan; Space Science Institutes , 4765 Walnut St Ste B, Boulder, 80301, CO, USA; Nevada Center for Astrophysics, University of Nevada,89154, 4505 Maryland Parkway, Las Vegas, 80301, NV, USA"", ""Dipartimento di Fisica \u00e2\u20ac\u0153E.R. Caianiello\u00e2\u20ac\ufffd, Universit\u00c3\u00a0 di Salerno, Via Giovanni Paolo II, 132, Fisciano, Salerno, 84084, Italy; INFN Gruppo Collegato di Salerno- Sezione di Napoli. c/o Dipartimento di Fisica \u00e2\u20ac\ufffdE.R. Caianiello\u00e2\u20ac\ufffd, Universit\u00c3\u00a0 di Salerno, Via Giovanni Paolo II, 132, Fisciano, Salerno, 84084, Italy"", ""Doctoral School of Exact and Natural Sciences, Jagiellonian University, Krakow, Poland; Astronomical Observatory of Jagiellonian University, Krakow, Poland"", ""Astronomical Observatory of Jagiellonian University, Krakow, Poland; National Center for Nuclear Physics (NCB), Warsaw""]","[""Japan; Japan; USA; USA"", ""Italy; Italy"", ""Poland; Poland"", ""Poland; Poland""]",Japan; USA
41,2501.12625,"[""Cheng-Rui Zhu"", ""Kai-Kai Duan""]","[""Department of Physics, Anhui Normal University, Wuhu, Anhui, 241000, China; Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China"", ""Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China""]","[""China; China"", ""China""]",China
42,2501.12614,"[""Kewen Zhang"", ""Tim Huege"", ""Ramesh Koirala"", ""Pengxiong Ma"", ""Mat\u00edas Tueros"", ""Xin Xu"", ""Chao Zhang"", ""Pengfei Zhang"", ""Yi Zhang""]","[""Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences; School of Astronomy and Space Science, University of Science and Technology of China"", ""Institute for Astroparticle Physics (IAP), Karlsruhe Institute of Technology; Astrophysical Institute, Vrije Universiteit Brussels"", ""School of Astronomy and Space Science, Nanjing University; Key laboratory of Modern Astronomy and Astrophysics, Nanjing University, Ministry of Education; Space Research Centre, Faculty of Technology, Nepal Academy of Science and Technology (NAST)"", ""Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences; School of Astronomy and Space Science, University of Science and Technology of China"", ""IFLP - CCT La Plata - CONICET; Depto. de F\u00edsica, Fac. de Cs. Ex., Universidad Nacional de La Plata"", ""School of Electronic Engineering, Xidian University"", ""School of Astronomy and Space Science, Nanjing University; Key laboratory of Modern Astronomy and Astrophysics, Nanjing University, Ministry of Education; Department of Astronomy, School of Physics, Peking University; Kavli institute for astronomy and astrophysics, Peking University"", ""School of Electronic Engineering, Xidian University"", ""Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences; School of Astronomy and Space Science, University of Science and Technology of China""]","[""China"", ""Germany; Belgium"", ""China; Nepal"", ""China"", ""Argentina"", ""China"", ""China"", ""China"", ""China""]",China
43,2501.12345,"[""Renu Malhotra"", ""Takashi Ito""]","[""The University of Arizona, 1629 E University Boulevard, Tucson, AZ 85718, USA"", ""National Astronomical Observatory, Osawa 2--21--1, Mitaka, Tokyo 181--8588, Japan""]","[""USA"", ""Japan""]",USA
44,2501.12342,"[""Hanna Parul"", ""Jeremy Bailin"", ""Sarah R. Loebman"", ""Andrew Wetzel"", ""Megan Barry"", ""Binod Bhattarai""]","[""Department of Physics and Astronomy, University of Alabama, Box 870324, Tuscaloosa, AL, 35487, USA; LIRA, Observatoire de Paris, Universit\u00e9 PSL, Sorbonne Universit\u00e9, Universit\u00e9 Paris Cit\u00e9, CY Cergy Paris Universit\u00e9, CNRS, 92190 Meudon, France"", ""Department of Physics and Astronomy, University of Alabama, Box 870324, Tuscaloosa, AL, 35487, USA"", ""Department of Physics, University of California, Merced, CA 95343, USA"", ""Department of Physics & Astronomy, University of California, Davis, CA 95616, USA"", ""Department of Physics & Astronomy, University of California, Davis, CA 95616, USA"", ""Department of Physics, University of California, Merced, CA 95343, USA""]","[""USA; France"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",USA; France
45,2501.12340,"[""N. Bizien"", ""C. Froment"", ""M. S. Madjarska"", ""T. Dudok de Wit"", ""M. Velli""]","[""LPC2E, OSUC, Univ Orleans, CNRS, CNES, F-45071 Orleans, France"", ""LPC2E, OSUC, Univ Orleans, CNRS, CNES, F-45071 Orleans, France"", ""Max Planck Institute for Solar System Research, Justus-von-Liebig-Weg 3, 37077, G\u00f6ttingen, Germany; Korea Astronomy and Space Science Institute, 34055, Daejeon, Republic of Korea; Space Research and Technology Institute, Bulgarian Academy of Sciences, Acad. G. Bonchev Str., Bl. 1, 1113, Sofia, Bulgaria"", ""LPC2E, OSUC, Univ Orleans, CNRS, CNES, F-45071 Orleans, France; International Space Science Institute, 3012, Bern, Switzerland"", ""Earth, Planetary & Space Sciences, University of California, Los Angeles, CA, USA""]","[""France"", ""France"", ""Germany; Republic of Korea; Bulgaria"", ""France; Switzerland"", ""USA""]",France
46,2501.12334,"[""Mennatalla Mahmoud Ellaqany"", ""Valeria Garcia-Lopez"", ""Emily S. Hatten"", ""Mridul Agarwal"", ""David A. Moffett""]","[""Department of Physics, Furman University, Greenville, South Carolina 29613, USA"", ""Department of Physics, Furman University, Greenville, South Carolina 29613, USA"", ""Department of Physics, Furman University, Greenville, South Carolina 29613, USA"", ""Department of Physics, Furman University, Greenville, South Carolina 29613, USA"", ""Department of Physics, Furman University, Greenville, South Carolina 29613, USA""]","[""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",USA
47,2501.12308,"[""Ewa L. \u0141okas""]","[""Nicolaus Copernicus Astronomical Center, Polish Academy of Sciences, Bartycka 18, 00-716 Warsaw, Poland""]","[""Poland""]",Poland
48,2501.12264,"[""YiCheng Dai"", ""Wei Liao""]","[""School of Physics, East China University of Science and Technology, 130 Meilong Road, Shanghai 200237, P. R. China"", ""School of Physics, East China University of Science and Technology, 130 Meilong Road, Shanghai 200237, P. R. China""]","[""China"", ""China""]",China
49,2501.12258,"[""Shaan D. Patel"", ""Billy Quarles"", ""Manfred Cuntz""]","[""Department of Physics, University of Texas at Arlington, Arlington, TX 76019, USA"", ""Department of Physics and Astronomy, East Texas A&M University, Commerce, TX 75428, USA"", ""Department of Physics, University of Texas at Arlington, Arlington, TX 76019, USA""]","[""USA"", ""USA"", ""USA""]",USA
50,2501.12242,"[""Peng-Bo Chen"", ""Tie-Jun Gao""]","[""School of physics, Xidian University, Xi'an 710071, China"", ""School of physics, Xidian University, Xi'an 710071, China""]","[""China"", ""China""]",China
52,2501.12230,"[""Suma Murthy"", ""Raffaella Morganti"", ""Tom Oosterloo"", ""Dipanjan Mukherjee"", ""Suude Bayram"", ""Pierre Guillard"", ""Alexander Y. Wagner"", ""Geoffrey Bicknell""]","[""Joint Institute for VLBI ERIC, Oude Hoogeveensedijk 4, 7991 PD Dwingeloo, The Netherlands."", ""ASTRON, The Netherlands Institute for Radio Astronomy, Oude Hoogeveensedijk 4, 7991 PD Dwingeloo, The Netherlands.; Kapteyn Astronomical Institute, University of Groningen, P.O. Box 800, 9700 AV Groningen, The Netherlands."", ""ASTRON, The Netherlands Institute for Radio Astronomy, Oude Hoogeveensedijk 4, 7991 PD Dwingeloo, The Netherlands.; Kapteyn Astronomical Institute, University of Groningen, P.O. Box 800, 9700 AV Groningen, The Netherlands."", ""Inter-University Centre for Astronomy and Astrophysics, Post Bag 4, Pune - 411007, India."", ""Astronomy and Space Sciences Department Faculty of Science, Erciyes University 38039, Kayseri, T\u00fcrkiye.; ASTRON, The Netherlands Institute for Radio Astronomy, Oude Hoogeveensedijk 4, 7991 PD Dwingeloo, The Netherlands."", ""Sorbonne Universit\u00e9, CNRS, UMR 7095, Institut d\u2019Astrophysique de Paris, 98 bis bd Arago, 75014 Paris, France.; Institut Universitaire de France, Minist\u00e8re de l\u2019Enseignement Sup\u00e9rieur et de la Recherche, 1 rue Descartes, 75231 Paris Cedex F-05, France."", ""Center for Computational Sciences, University of Tsukuba, 1-1-1 Tennodai, Tsukuba, Ibaraki, 3058577"", ""Australian National University, Research School of Astronomy and Astrophysics, Cotter Rd., Weston, ACT 2611, Australia""]","[""The Netherlands"", ""The Netherlands; The Netherlands"", ""The Netherlands; The Netherlands"", ""India"", ""T\u00fcrkiye; The Netherlands"", ""France; France"", ""Japan"", ""Australia""]",The Netherlands
53,2501.12223,"[""Joel H. Kastner"", ""David J. Wilner"", ""Diana Ryder"", ""Paula Moraga Baez"", ""Orsola De Marco"", ""Raghvendra Sahai"", ""Al Wootten"", ""Albert Zijlstra""]","[""Center for Imaging Science, Rochester Institute of Technology, Rochester NY 14623, USA; School of Physics and Astronomy, Rochester Institute of Technology; Laboratory for Multiwavelength Astrophysics, Rochester Institute of Technology"", ""Center for Astrophysics, Harvard & Smithsonian, 60 Garden Street, Cambridge, MA 02138-1516, USA"", ""School of Physics and Astronomy, Rochester Institute of Technology"", ""School of Physics and Astronomy, Rochester Institute of Technology"", ""School of Mathematical and Physical Sciences, Macquarie University, Sydney, New South Wales, Australia; Astronomy, Astrophysics and Astrophotonics Research Centre, Macquarie University, Sydney, New South Wales, Australia"", ""Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109, USA"", ""National Radio Astronomy Observatory, Charlottesville, VA 22903, USA"", ""Jodrell Bank Center for Astrophysics, The University of Manchester, Oxford Road, Manchester M13 9PL, UK""]","[""USA"", ""USA"", ""USA"", ""USA"", ""Australia"", ""USA"", ""USA"", ""UK""]",USA
54,2501.12207,"[""Gazinur A. Galazutdinov""]","[""Federal State Budget Scientific Institution Crimean Astrophysical Observatory of RAS, Nauchny 298409, Crimea; Special Astrophysical Observatory of Russian Academy of Sciences""]","[""Russia; Russia""]",Russia
55,2501.12190,"[""Tuomo Salmi"", ""Bas Dorsman"", ""Anna L. Watts"", ""Anna Bobrikova"", ""Alessandro Di Marco"", ""Vladislav Loktev"", ""Alessandro Papitto"", ""Maura Pilia"", ""Juri Poutanen"", ""John Rankin""]","[""Anton Pannekoek Institute for Astronomy, University of Amsterdam, Science Park 904, 1098XH Amsterdam, the Netherlands; Department of Physics, P.O. Box 64, FI-00014 University of Helsinki, Finland"", ""Anton Pannekoek Institute for Astronomy, University of Amsterdam, Science Park 904, 1098XH Amsterdam, the Netherlands"", ""Anton Pannekoek Institute for Astronomy, University of Amsterdam, Science Park 904, 1098XH Amsterdam, the Netherlands"", ""Department of Physics and Astronomy, FI-20014 University of Turku, Finland"", ""INAF Istituto di Astrofisica e Planetologia Spaziali, Via del Fosso del Cavaliere 100, 00133 Roma, Italy"", ""Department of Physics, P.O. Box 64, FI-00014 University of Helsinki, Finland; Department of Physics and Astronomy, FI-20014 University of Turku, Finland"", ""INAF Osservatorio Astronomico di Roma, Via Frascati 33, 00078 Monte Porzio Catone (RM), Italy"", ""INAF Osservatorio Astronomico di Cagliari, Via della Scienza 5, 09047 Selargius (CA), Italy"", ""Department of Physics and Astronomy, FI-20014 University of Turku, Finland; Space Research Institute, Russian Academy of Sciences, Profsoyuznaya 84/32, Moscow 117997, Russia"", ""INAF Istituto di Astrofisica e Planetologia Spaziali, Via del Fosso del Cavaliere 100, 00133 Roma, Italy; INAF Osservatorio Astronomico di Brera, Via E. Bianchi 46, 23807 Merate, Italy""]","[""Netherlands; Finland"", ""Netherlands"", ""Netherlands"", ""Finland"", ""Italy"", ""Finland; Finland"", ""Italy"", ""Italy"", ""Finland; Russia"", ""Italy; Italy""]",Netherlands; Finland
56,2501.12168,"[""G. F. Paraschos"", ""L. C. Debbrecht"", ""J. A. Kramer"", ""E. Traianou"", ""I. Liodakis"", ""T. Krichbaum"", ""J.-Y. Kim"", ""M. Janssen"", ""D. G. Nair"", ""T. Savolainen"", ""E. Ros"", ""U Bach"", ""J. A. Hodgson"", ""M. Lisakov"", ""N. R. MacDonald"", ""J. A. Zensus""]","[""Max-Planck-Institut f\u00fcr Radioastronomie, Auf dem H\u00fcgel 69, D-53121 Bonn, Germany"", ""Max-Planck-Institut f\u00fcr Radioastronomie, Auf dem H\u00fcgel 69, D-53121 Bonn, Germany"", ""Theoretical Division, Los Alamos National Laboratory, Los Alamos, NM 87545, USA; Max-Planck-Institut f\u00fcr Radioastronomie, Auf dem H\u00fcgel 69, D-53121 Bonn, Germany"", ""Instituto de Astrof\u00edsica de Andaluc\u00eda-CSIC, Glorieta de la Astronom\u00eda s/n, E-18008 Granada, Spain; Max-Planck-Institut f\u00fcr Radioastronomie, Auf dem H\u00fcgel 69, D-53121 Bonn, Germany"", ""NASA Marshall Space Flight Center, Huntsville, AL 35812, USA; Institute of Astrophysics, Foundation for Research and Technology, Hellas, Heraklion 7110, Greece"", ""Max-Planck-Institut f\u00fcr Radioastronomie, Auf dem H\u00fcgel 69, D-53121 Bonn, Germany"", ""Department of Physics, Ulsan National Institute of Science and Technology (UNIST), 50 UNIST-gil, Eonyang-eup, Ulju-gun, Ulsan 44919, Republic of Korea; Max-Planck-Institut f\u00fcr Radioastronomie, Auf dem H\u00fcgel 69, D-53121 Bonn, Germany"", ""Department of Astrophysics, Institute for Mathematics, Astrophysics and Particle Physics (IMAPP), Radboud University, PO Box 9010, 6500 GL Nijmegen, The Netherlands; Max-Planck-Institut f\u00fcr Radioastronomie, Auf dem H\u00fcgel 69, D-53121 Bonn, Germany"", ""Astronomy Department, Universidad de Concepci\u00f3n, Casilla 160-C, Concepci\u00f3n, Chile"", ""Aalto University Department of Electronics and Nanoengineering, PL 15500, 00076 Aalto, Finland; Aalto University Mets\u00e4hovi Radio Observatory, Mets\u00e4hovintie 114, 02540 Kylm\u00e4l\u00e4, Finland; Max-Planck-Institut f\u00fcr Radioastronomie, Auf dem H\u00fcgel 69, D-53121 Bonn, Germany"", ""Max-Planck-Institut f\u00fcr Radioastronomie, Auf dem H\u00fcgel 69, D-53121 Bonn, Germany"", ""Max-Planck-Institut f\u00fcr Radioastronomie, Auf dem H\u00fcgel 69, D-53121 Bonn, Germany"", ""Dept. of Physics & Astronomy, Sejong University, Guangjin-gu, Seoul 05006, Republic of Korea"", ""Max-Planck-Institut f\u00fcr Radioastronomie, Auf dem H\u00fcgel 69, D-53121 Bonn, Germany; Instituto de F\u00edsica, Pontificia Universidad Cat\u00f3lica de Valpara\u00edso, Casilla 4059, Valpara\u00edso, Chile"", ""Department of Physics and Astronomy, The University of Mississippi, University, Mississippi 38677, USA"", ""Max-Planck-Institut f\u00fcr Radioastronomie, Auf dem H\u00fcgel 69, D-53121 Bonn, Germany""]","[""Germany"", ""Germany"", ""USA; Germany"", ""Spain; Germany"", ""USA; Greece"", ""Germany"", ""South Korea; Germany"", ""Netherlands; Germany"", ""Chile"", ""Finland; Germany"", ""Germany"", ""Germany"", ""South Korea"", ""Germany; Chile"", ""USA"", ""Germany""]",Germany
57,2501.12143,"[""M. Rigoselli""]","[""INAF OA-Brera, via Brera, 28, Milano 20121, Italy; INAF IASF-Milano, via A. Corti, 15, Milano 20133, Italy""]","[""Italy; Italy""]",Italy
58,2501.12138,"[""Mark Gieles"", ""Paolo Padoan"", ""Corinne Charbonnel"", ""Jorick S. Vink"", ""Laura Ram\u00edrez-Galeano""]","[""ICREA, Pg. Llu\u00eds Companys 23, E08010 Barcelona, Spain; Institut de Ci\u00e8ncies del Cosmos (ICCUB), Universitat de Barcelona (UB), c. Mart\u00ed i Franqu\u00e8s, 1, 08028 Barcelona, Spain"", ""Institut de Ci\u00e8ncies del Cosmos (ICCUB), Universitat de Barcelona (UB), c. Mart\u00ed i Franqu\u00e8s, 1, 08028 Barcelona, Spain; Department of Physics and Astronomy, Dartmouth College, 6127 Wilder Laboratory, Hanover, 03755, NH, USA"", ""Department of Astronomy, University of Geneva, Chemin des Maillettes 51, CH-1290 Versoix, Switzerland; IRAP, Universit\u00e9 de Toulouse, CNRS, Observatoire Midi Pyr\u00e9n\u00e9es, 57 Avenue d\u2019Azereix, 65008 Tarbes, France"", ""Armagh Observatory, College Hill, Armagh, BT61 9DG, Northern Ireland, UK"", ""Department of Astronomy, University of Geneva, Chemin des Maillettes 51, CH-1290 Versoix, Switzerland""]","[""Spain; Spain"", ""Spain; USA"", ""Switzerland; France"", ""UK"", ""Switzerland""]",Spain
