Title,Author,Affiliations,Status
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Noah Vowell,\msu; \cfa,Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Joseph E. Rodriguez,\msu,Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,David W. Latham,\cfa,Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Samuel N. Quinn,\cfa,Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Jack Schulte,\msu,Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Jason D. Eastman,\cfa,Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Allyson Bieryla,\cfa,Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Khalid Barkaoui,"Astrobiology Research Unit, Universit\'e de Li\`ege, 19C All\'ee du 6 Ao\^ut, 4000 Li\`ege, Belgium; Department of Earth, Atmospheric and Planetary Science, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA 02139, USA; Instituto de Astrof\'isica de Canarias (IAC), Calle V\'ia L\'actea s/n, 38200, La Laguna, Tenerife, Spain",Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,David R. Ciardi,"NASA Exoplanet Science Institute-Caltech/IPAC, Pasadena, CA 91125 USA",Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Karen A.\ Collins,\cfa,Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Eric Girardin,"Grand Pra Observatory, 1984 Les Hauderes, Switzerland",Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Guillaume H\'ebrard,"Institut d'astrophysique de Paris, UMR7095 CNRS, Universit\'e Pierre \& Marie Curie, 98bis boulevard Arago, 75014 Paris, France; Observatoire de Haute-Provence, CNRS, Universit\'e d'Aix-Marseille, 04870 Saint-Michel-l'Observatoire, France",Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Elisabeth Heldridge,"The Thacher School, 5025 Thacher Rd., Ojai, CA 93023, USA",Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Marziye Jafariyazani,"SETI Institute, Mountain View, CA 94043 USA/NASA Ames Research Center, Moffett Field, CA 94035 USA",Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Brooke Kotten,"Department of Astronomy, University of Michigan, Ann Arbor, MI 48109, USA",Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Luigi Mancini,"Department of Physics, University of Rome ``Tor Vergata'', Via della Ricerca Scientifica 1, I-00133, Rome, Italy; Max Planck Institute for Astronomy, K\""{o; INAF -- Osservatorio Astrofisico di Torino, via Osservatorio 20, I-10025, Pino Torinese, Italy",Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Felipe Murgas,"Instituto de Astrof\'isica de Canarias (IAC), E-38205 La Laguna, Tenerife, Spain; Departamento de Astrof\'isica, Universidad de La Laguna (ULL), E-38206 La Laguna, Tenerife, Spain",Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Norio Narita,"Komaba Institute for Science, The University of Tokyo, 3-8-1 Komaba, Meguro, Tokyo 153-8902, Japan; Astrobiology Center, 2-21-1 Osawa, Mitaka, Tokyo 181 8588, Japan; Instituto de Astrof\'isica de Canarias (IAC), E-38205 La Laguna, Tenerife, Spain",Complete
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,D. J. Radford,N/A,Incomplete
"Chasing the Light: Shadowing, Collimation, and the Super-Eddington Growth of Infant Black Holes in JWST-Discovered AGNs",Piero Madau,"Department of Astronomy \& Astrophysics, University of California, 1156 High Street, Santa Cruz, CA 95064, USA; Dipartimento di Fisica ``G. Occhialini,"" Università degli Studi di Milano-Bicocca, Piazza della Scienza 3, I-20126 Milano, Italy",Complete
On the seismic modelling of subgiant stars: testing different grid interpolation methods,"M. Clara 1,2",N/A,Incomplete
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Qiu-Li Wang,"Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China; School of Astronomy and Space Science, University of Science and Technology of China, Hefei 230026, China",Complete
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Hao Zhou,"Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China",Complete
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Yun Wang,"Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China",Complete
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Jia Ren,"Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China",Complete
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Samaporn Tinyanont,"National Astronomical Research Institute of Thailand, 260 Moo 4, Donkaew, Maerim, Chiang Mai 50180, Thailand",Complete
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Dong Xu,"National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100049, China",Complete
Title,Author,Affiliations,Status
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Shao-Yu Fu,"National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100049, China",Complete
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Shuai-Qing Jiang,"National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100049, China; School of Astronomy and Space Science, University of Chinese Academy of Sciences, Beijing 100049, China",Complete
GRB 241030A: a prompt thermal X-ray emission component and diverse origin of the very early UVOT WHITE and U band emission,Xing Liu,"National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100049, China",Complete
Cepheids in spectroscopic binary systems -- current status and recent discoveries,"B.\,Pilecki0000-0003-3861-8124",N/A,Incomplete
Structures of various types of symmetry in the solar activity cycle,aff1,N/A,Incomplete
Structures of various types of symmetry in the solar activity cycle,e-mail.as.shibalova@physics.msu.ru,N/A,Incomplete
Structures of various types of symmetry in the solar activity cycle,"aff1,aff2",N/A,Incomplete
MUSE observations of V1425 Aql reveal an arc-shaped nova shell,Lientur Celed\'on1,N/A,Incomplete
"Approximating non-Gaussian Bayesian partitions with normalising flows: statistics, inference and application to cosmology","Tobias R\""o",N/A,Incomplete
"Approximating non-Gaussian Bayesian partitions with normalising flows: statistics, inference and application to cosmology","Adrian Schlosser\,0009-0009-7118-9705",N/A,Incomplete
"Approximating non-Gaussian Bayesian partitions with normalising flows: statistics, inference and application to cosmology","Bj\""o",$^{1; $^{2,Complete
Star-Forming Nuclear Clusters in Dwarf Galaxies Mimicking AGN Signatures in the Mid-Infrared,Megan R. Sturm,"Department of Physics, Montana State University, Bozeman, MT 59717, USA",Complete
Star-Forming Nuclear Clusters in Dwarf Galaxies Mimicking AGN Signatures in the Mid-Infrared,Bayli Hayes,"Department of Physics, Montana State University, Bozeman, MT 59717, USA",Complete
Star-Forming Nuclear Clusters in Dwarf Galaxies Mimicking AGN Signatures in the Mid-Infrared,Amy E. Reines,"Department of Physics, Montana State University, Bozeman, MT 59717, USA",Complete
25 years of XMM-Newton observations of the Sgr A complex: 3D distribution and internal structure of the clouds,"G. Stel, G. Ponti, F. Haardt",N/A,Incomplete
25 years of XMM-Newton observations of the Sgr A complex: 3D distribution and internal structure of the clouds,"Giovanni Stel1,2",N/A,Incomplete
Unveiling the origin of XMM-Newton soft proton flares: I. Design and validation of a response matrix for proton spectral analysis,V. Fioretti 1,N/A,Incomplete
Cosmic Large-Scale Structure Formation from Newtonian Particle Dynamics,Tristan Daus,"Institute for Theoretical Physics, Heidelberg University, Philosophenweg 12, 69120 Heidelberg",Complete
Cosmic Large-Scale Structure Formation from Newtonian Particle Dynamics,Elena Kozlikin,"Institute for Theoretical Physics, Heidelberg University, Philosophenweg 12, 69120 Heidelberg",Complete
On the robustness of exoplanet atmospheric detections: insights from extensive simulations,A. S\'anchez-L\'opez,N/A,Incomplete
On the robustness of exoplanet atmospheric detections: insights from extensive simulations,Ana P. Mill\'an,"Instituto de Astrof{\'i; Institute ``Carlos I'' for Theoretical and Computational Physics, and Electromagnetism and Matter Physics Department, University of Granada, E-18071 Granada, Spain",Complete
The Rapid ASKAP Continuum Survey (RACS) VI: The RACS-high 1655.5 MHz images and catalogue,S. W. Duchesne,"CSIRO Space and Astronomy, PO Box 1130, Bentley WA 6102, Australia",Complete
The Rapid ASKAP Continuum Survey (RACS) VI: The RACS-high 1655.5 MHz images and catalogue,K. Ross,"International Centre for Radio Astronomy Research, Curtin University, Bentley, WA 6102, Australia",Complete
The Rapid ASKAP Continuum Survey (RACS) VI: The RACS-high 1655.5 MHz images and catalogue,A. J. M. Thomson,"CSIRO Space and Astronomy, PO Box 1130, Bentley WA 6102, Australia",Complete
The Rapid ASKAP Continuum Survey (RACS) VI: The RACS-high 1655.5 MHz images and catalogue,E. Lenc,"CSIRO Space and Astronomy, PO Box 76, Epping, NSW, 1710, Australia",Complete
The Rapid ASKAP Continuum Survey (RACS) VI: The RACS-high 1655.5 MHz images and catalogue,Tara Murphy,"Sydney Institute for Astronomy, School of Physics, University of Sydney, NSW 2006, Australia",Complete
The Rapid ASKAP Continuum Survey (RACS) VI: The RACS-high 1655.5 MHz images and catalogue,T. J. Galvin,"CSIRO Space and Astronomy, PO Box 1130, Bentley WA 6102, Australia",Complete
The Rapid ASKAP Continuum Survey (RACS) VI: The RACS-high 1655.5 MHz images and catalogue,A. W. Hotan,"CSIRO Space and Astronomy, PO Box 1130, Bentley WA 6102, Australia",Complete
The Rapid ASKAP Continuum Survey (RACS) VI: The RACS-high 1655.5 MHz images and catalogue,V. A. Moss,"CSIRO Space and Astronomy, PO Box 76, Epping, NSW, 1710, Australia",Complete
The Rapid ASKAP Continuum Survey (RACS) VI: The RACS-high 1655.5 MHz images and catalogue,Matthew T. Whiting,"CSIRO Space and Astronomy, PO Box 76, Epping, NSW, 1710, Australia",Complete
Gravitational Wave Decoupling in Retrograde Circumbinary Disks,David O'Neill,"Niels Bohr International Academy, Niels Bohr Institute, Blegdamsvej 17, DK-2100 Copenhagen Ø, Denmark",Complete
Gravitational Wave Decoupling in Retrograde Circumbinary Disks,Christopher Tiede,N/A,Incomplete
Exploring the evolution of a dwarf spheroidal galaxy with SPH simulations: II. AGN feedback,Roberto Hazenfratz,"Núcleo de Astrofísica, Universidade Cidade de São Paulo \\ R. Galvão Bueno 868, Liberdade, 01506-000\\ São Paulo, Brazil",Complete
Exploring the evolution of a dwarf spheroidal galaxy with SPH simulations: II. AGN feedback,Paramita Barai,"Istituto Nazionale di Astrofisica (INAF) \\ Osservatorio Astronomico di Trieste (OATs) \\ Trieste, Italy",Complete
Exploring the evolution of a dwarf spheroidal galaxy with SPH simulations: II. AGN feedback,Gustavo A. Lanfranchi,"Núcleo de Astrofísica, Universidade Cidade de São Paulo \\ R. Galvão Bueno 868, Liberdade, 01506-000\\ São Paulo, Brazil",Complete
Exploring the evolution of a dwarf spheroidal galaxy with SPH simulations: II. AGN feedback,Anderson Caproni,"Núcleo de Astrofísica, Universidade Cidade de São Paulo \\ R. Galvão Bueno 868, Liberdade, 01506-000\\ São Paulo, Brazil",Complete
The centimeter emission from planet-forming disks in Taurus,A. GarufiIRA,N/A,Incomplete
Classification of HI Galaxy Profiles Using Unsupervised Learning and Convolutional Neural Networks: A Comparative Analysis and Methodological Cases of Studies,"Sample Author1,^1 Sample Author2,^2 and Sample Author3^2","$^1$Institution Name, Institution City, State/Province, Country; \email{AuthorEmail@email.edu; $^2$Institution Name, Institution City, State/Province, Country",Complete
Nonlinear analysis of gravitational instability in a 3D gaseous disc,JOSHUA J. BROWN,N/A,Incomplete
Tracing the galaxy-halo connection with galaxy clustering in COSMOS-Web from z = 0.1 to z ~ 12,L. PaquereauIAP,N/A,Incomplete
Dwarf Galaxy Integral-field Survey (DGIS): survey overview and the result of global mass-metallicity relation,Xin Li,"School of Astronomy and Space Science, Nanjing University, Nanjing, Jiangsu 210093, China; Key Laboratory of Modern Astronomy and Astrophysics (Nanjing University), Ministry of Education, Nanjing, Jiangsu 210093, China",Complete
Dwarf Galaxy Integral-field Survey (DGIS): survey overview and the result of global mass-metallicity relation,Yong Shi,"School of Astronomy and Space Science, Nanjing University, Nanjing, Jiangsu 210093, China; Key Laboratory of Modern Astronomy and Astrophysics (Nanjing University), Ministry of Education, Nanjing, Jiangsu 210093, China",Complete
Dwarf Galaxy Integral-field Survey (DGIS): survey overview and the result of global mass-metallicity relation,Fuyan Bian,"European Southern Observatory, Alonso de Cordova 3107, Casilla 19001, Vitacura, Santiago 19, Chile",Complete
Dwarf Galaxy Integral-field Survey (DGIS): survey overview and the result of global mass-metallicity relation,Xiaoling Yu,"College of Physics and Electronic Engineering, Qujing Normal University, Qujing, Yunnan 655011, China",Complete
Dwarf Galaxy Integral-field Survey (DGIS): survey overview and the result of global mass-metallicity relation,Zhiyuan Zheng,"School of Astronomy and Space Science, Nanjing University, Nanjing, Jiangsu 210093, China; Key Laboratory of Modern Astronomy and Astrophysics (Nanjing University), Ministry of Education, Nanjing, Jiangsu 210093, China",Complete
Dwarf Galaxy Integral-field Survey (DGIS): survey overview and the result of global mass-metallicity relation,Songlin Li,"Research School of Astronomy and Astrophysics, Australian National University, Canberra, ACT 2611, Australia",Complete
Dwarf Galaxy Integral-field Survey (DGIS): survey overview and the result of global mass-metallicity relation,Yanmei Chen,"School of Astronomy and Space Science, Nanjing University, Nanjing, Jiangsu 210093, China; Key Laboratory of Modern Astronomy and Astrophysics (Nanjing University), Ministry of Education, Nanjing, Jiangsu 210093, China",Complete
Dwarf Galaxy Integral-field Survey (DGIS): survey overview and the result of global mass-metallicity relation,Qiusheng Gu,"School of Astronomy and Space Science, Nanjing University, Nanjing, Jiangsu 210093, China; Key Laboratory of Modern Astronomy and Astrophysics (Nanjing University), Ministry of Education, Nanjing, Jiangsu 210093, China",Complete
Dwarf Galaxy Integral-field Survey (DGIS): survey overview and the result of global mass-metallicity relation,Junfeng Wang,N/A,Incomplete
Comparison of Herschel and ArT\'eMiS observations of massive filaments,E. Mannfors 1,N/A,Incomplete
Accretion disc winds imprint distinct signatures in the optical variability spectrum of black hole transients,Federico M. Vincentelli i1,N/A,Incomplete
The JCMT Gould Belt Survey: First results from the Corona Australis molecular cloud and evidence of variable dust emissivity indices in the Coronet region,K. Pattle^1,N/A,Incomplete
Dissipation and particle acceleration in astrophysical jets with velocity and magnetic shear: Interaction of Kelvin-Helmholtz and Drift-Kink Instabilities,"Tsun Hin Navin Tsung^1,3",N/A,Incomplete
Dissipation and particle acceleration in astrophysical jets with velocity and magnetic shear: Interaction of Kelvin-Helmholtz and Drift-Kink Instabilities,Gregory R. Werner^1,N/A,Incomplete
Dissipation and particle acceleration in astrophysical jets with velocity and magnetic shear: Interaction of Kelvin-Helmholtz and Drift-Kink Instabilities,"Dmitri A. Uzdensky^1,2",N/A,Incomplete
Dissipation and particle acceleration in astrophysical jets with velocity and magnetic shear: Interaction of Kelvin-Helmholtz and Drift-Kink Instabilities,"Mitchell C. Begelman^3,4",$^{1; $^{2; $^{3; $^{4,Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Takahiro Morishita,"IPAC, California Institute of Technology, MC 314-6, 1200 E. California Boulevard, Pasadena, CA 91125, USA",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Massimo Stiavelli,"Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA; The William H. Miller III, Dept. of Physics \& Astronomy, Johns Hopkins University, Baltimore, MD 21218, USA; Dept. of Astronomy, University of Maryland, College Park, MD 20742, USA",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Eros Vanzella,"INAF -- OAS, Osservatorio di Astrofisica e Scienza dello Spazio di Bologna, via Gobetti 93/3, I-40129 Bologna, Italy",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Pietro Bergamini,"Dipartimento di Fisica, Università degli Studi di Milano, Via Celoria 16, I-20133 Milano, Italy; INAF -- OAS, Osservatorio di Astrofisica e Scienza dello Spazio di Bologna, via Gobetti 93/3, I-40129 Bologna, Italy",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Kristan Boyett,"Department of Physics, University of Oxford, Denys Wilkinson Building, Keble Road, Oxford OX1 3RH, UK",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Marco Chiaberge,"Space Telescope Science Institute for the European Space Agency (ESA), ESA Office, 3700 San Martin Drive, Baltimore, MD 21218, USA; The William H.
Title,Author,Affiliations,Status
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Marco Chiaberge,"The William H. Miller III, Dept. of Physics & Astronomy, Johns Hopkins University, Baltimore, MD 21218, USA",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Dan Coe,"Space Telescope Science Institute for the European Space Agency (ESA), ESA Office, 3700 San Martin Drive, Baltimore, MD 21218, USA; Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA; The William H. Miller III, Dept. of Physics & Astronomy, Johns Hopkins University, Baltimore, MD 21218, USA",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Mirko Curti,"European Southern Observatory, Karl-Schwarzschild-Str. 2, 85748 Garching, Germany; Kavli Institute for Cosmology, University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Sanyum Gupta,"School of Physics, University of Melbourne, Parkville, VIC 3010, Australia; ARC Centre of Excellence for All Sky Astrophysics in 3 Dimensions (ASTRO 3D), Australia",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Nimish Hathi,"Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Gourav Khullar,"Department of Physics and Astronomy and PITT PACC, University of Pittsburgh, Pittsburgh, PA 15260, USA",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Guillaume Mahler,"Centre for Extragalactic Astronomy, Department of Physics, Durham University, South Road, Durham DH1 3LE, UK; Institute for Computational Cosmology, Durham University, South Road, Durham DH1 3LE, UK",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Nir Mandelker,"Racah Institute of Physics, The Hebrew University, Jerusalem 91904, Israel",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Michele Moresco,"Dipartimento di Fisica e Astronomia ``Augusto Righi'', Università di Bologna, via Gobetti 93/2, I-40129 Bologna, Italy; INAF -- OAS, Osservatorio di Astrofisica e Scienza dello Spazio di Bologna, via Gobetti 93/3, I-40129 Bologna, Italy",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Nor Pirzkal,"Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Swara Ravindranath,"Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Alba Vidal-Garcia,"Department of Physics and Astronomy, University of the Western Cape, Bellville 7535, South Africa; Cosmic Dawn Center (DAWN), Denmark; Niels Bohr Institute, University of Copenhagen, Jagtvej 128, DK-2200 Copenhagen N, Denmark",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Benedetta Vulcani,"INAF -- Osservatorio Astronomico di Padova, vicolo dell'Osservatorio 5, I-35122 Padova, Italy",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Christopher J. Willmer,"Steward Observatory, University of Arizona, 933 N. Cherry Avenue, Tucson, AZ 85721, USA",Complete
Metallicity Scatter Originating from Sub-kiloparsec Starbursting Clumps in the Core of a Protocluster at z=7.88,Adi Zitrin,"Physics Department, Ben-Gurion University of the Negev, P.O. Box 653, Be'er-Sheva 8410501, Israel",Complete
Constraints on the galactic-scale magnetic field from the radio continuum and polarization in the edge-on spiral galaxy NGC 4666,S. Stein 1,N/A,Incomplete
Radio Continuum emission of LSBGs,"T. S. Beltr\~ao,^1",N/A,Incomplete
"Constraints on gas conditions in the star-forming complex G305.2+0.2: A study of multiple radio recombination lines at 1.4, 4.8, and 8.5 GHz",Panigrahy Sandhyarani 0009-0007-6357-6874,"\small Department of Physics, Indian Institute of Science Education and Research Tirupati, Yerpedu, Tirupati - 517619, Andhra Pradesh, India \url{sandhyaranipanigrahy@students.iisertirupati.ac.in, eswaraiahc@labs.iisertirupati.ac.in",Complete
"Constraints on gas conditions in the star-forming complex G305.2+0.2: A study of multiple radio recombination lines at 1.4, 4.8, and 8.5 GHz",Chakali Eswaraiah 0000-0003-4761-6139,N/A,Incomplete
"Constraints on gas conditions in the star-forming complex G305.2+0.2: A study of multiple radio recombination lines at 1.4, 4.8, and 8.5 GHz",K. R. Srivani,N/A,Incomplete
"Constraints on gas conditions in the star-forming complex G305.2+0.2: A study of multiple radio recombination lines at 1.4, 4.8, and 8.5 GHz",Anish Roshi 0000-0002-8616-2911,"\small Arecibo Observatory, National Astronomy and Ionosphere Center, HC3 Box 53995, Arecibo, PR 00612, USA",Complete
"Constraints on gas conditions in the star-forming complex G305.2+0.2: A study of multiple radio recombination lines at 1.4, 4.8, and 8.5 GHz",Prasanta Nayak 0000-0001-9258-212X,"\small Department of Astronomy and Astrophysics, Tata Institute of Fundamental Research, Mumbai 400005, India",Complete
"Constraints on gas conditions in the star-forming complex G305.2+0.2: A study of multiple radio recombination lines at 1.4, 4.8, and 8.5 GHz",N. G. Kantharia 0000-0003-0245-0219,"\small National Centre for Radio Astrophysics, Tata Institute of Fundamental Research, Post Bag 3, Ganeshkhind, Pune 411007, India",Complete
"Constraints on gas conditions in the star-forming complex G305.2+0.2: A study of multiple radio recombination lines at 1.4, 4.8, and 8.5 GHz",Y. D. Mayya 0000-0002-4677-0516,"\small Instituto Nacional de Astrof\'isica, Optica y Electr\'onica, Luis Enrique Erro 1, Tonantzintla 72840, Puebla, Mexico",Complete
"Constraints on gas conditions in the star-forming complex G305.2+0.2: A study of multiple radio recombination lines at 1.4, 4.8, and 8.5 GHz",D. K. Ojha 0000-0001-9312-3816,"\small Department of Astronomy and Astrophysics, Tata Institute of Fundamental Research, Mumbai 400005, India",Complete
"Constraints on gas conditions in the star-forming complex G305.2+0.2: A study of multiple radio recombination lines at 1.4, 4.8, and 8.5 GHz",A. Subramaniam 0000-0002-3647-3407,"\small Indian Institute of Astrophysics, Koramangala II Block, Bengaluru 560034, India",Complete
X-ray properties of the heavily obscured local galaxy Markarian 3,A. G. Markowitz,"N. Copernicus Astronomical Center, Polish Academy of Sciences, ul. Bartycka 18, 00-716 Warszawa, Poland",Complete
X-ray properties of the heavily obscured local galaxy Markarian 3,M. Guainazzi,"European Space Agency (ESA), European Space Research and Technology Centre (ESTEC), Keperlaan 1, 2201 AZ Noordwijk, The Netherlands",Complete
X-ray properties of the heavily obscured local galaxy Markarian 3,E. S. Walker,"Department of Physics and Astronomy, Clemson University, Kinard Lab of Physics, Clemson, SC 29634-0978, USA",Complete
The physical characteristics and origin of the multiple stellar populations in the globular cluster NGC~2808,"P. B. Stetson^1",N/A,Incomplete
Investigating the nature of intermediate-mass black holes in ULX systems: The case of Holmberg II X-1,S. Allak1,N/A,Incomplete
Characterization of the dust distribution and properties in the nearby galaxy NGC~4449,N. J. Draskovic^1,N/A,Incomplete
The High Energy Stereoscopic System (H.E.S.S.): Status and recent results,H.E.S.S. Collaboration,N/A,Incomplete
Modeling the CO and dust emission in the star-forming region RCW 120,A. Zavagno^1,N/A,Incomplete
Evolution of the molecular gas content in galaxies over the last 10 billion years,F. Combes,"L'Observatoire de Paris, LERMA, College de France, CNRS, PSL Univ., Sorbonne Univ., Paris, France",Complete
Direct collapse black hole formation in the early universe: The role of Lyman-Werner radiation and metal enrichment,M. Latif^1,N/A,Incomplete
Multiwavelength observations of the gamma-ray burst GRB 221009A: Probing the environment and the jet properties,A. J. van der Horst,"Department of Physics, George Washington University, Washington, DC 20052, USA",Complete
High-resolution spectroscopy of the young star V4046 Sgr with the Giant Magellan Telescope,R. S. McGehee^1,N/A,Incomplete
"Spatially resolved star formation history of the Andromeda galaxy (M31) using the PHAT survey",D. A. Weisz^1,N/A,Incomplete
Morphology and dynamics of the molecular gas in the Milky Way's nuclear star cluster,P. Sch\"odel,"Instituto de Astrofisica de Andalucia (CSIC), Glorieta de la Astronomia s/n, 18008 Granada, Spain",Complete
Title,Author,Affiliations,Status
Impact of the returning radiation on X-ray reflection spectroscopy measurements: the case of Galactic black holes,Zuobin Zhang,"Center for Astronomy and Astrophysics, Center for Field Theory and Particle Physics, and Department of Physics,\\ Fudan University, Shanghai 200438, China",Complete
Observational signatures of mixing-induced cooling in the Kelvin-Helmholtz instability,"B. Snow,^1",N/A,Incomplete
Evidence for Jet/Outflow Shocks Heating the Environment Around the Class I Protostellar Source Elias 29: FAUST XXI,Yoko Oya,"Center for Gravitational Physics, Yukawa Institute for Theoretical Physics, Kyoto University, Oiwake-cho, Kitashirakawa, Sakyo-ku, Kyoto-shi, Kyoto-fu 606-8502, Japan",Complete
Evidence for Jet/Outflow Shocks Heating the Environment Around the Class I Protostellar Source Elias 29: FAUST XXI,Eri Saiga,"Department of Physics, The University of Tokyo, 7-3-1, Hongo, Bunkyo-ku, Tokyo 113-0033, Japan",Complete
Evidence for Jet/Outflow Shocks Heating the Environment Around the Class I Protostellar Source Elias 29: FAUST XXI,Anna Miotello,"European Southern Observatory, Karl-Schwarzschild Str. 2, 85748 Garching bei M\""{u",Complete
Evidence for Jet/Outflow Shocks Heating the Environment Around the Class I Protostellar Source Elias 29: FAUST XXI,Maria Koutoulaki,"School of Physics \& Astronomy, University of Leeds, Woodhouse Lane, LS2 9JT Leeds, UK",Complete
Evidence for Jet/Outflow Shocks Heating the Environment Around the Class I Protostellar Source Elias 29: FAUST XXI,Doug Johnstone,"NRC Herzberg Astronomy and Astrophysics, 5071 West Saanich Road, Victoria, BC, V9E 2E7, Canada; Department of Physics and Astronomy, University of Victoria, Victoria, BC, V8P 5C2, Canada",Complete
Evidence for Jet/Outflow Shocks Heating the Environment Around the Class I Protostellar Source Elias 29: FAUST XXI,Cecilia Ceccarelli,"Universite Grenoble Alpes, CNRS, IPAG, 38000 Grenoble, France",Complete
Evidence for Jet/Outflow Shocks Heating the Environment Around the Class I Protostellar Source Elias 29: FAUST XXI,Claire J. Chandler,"National Radio Astronomy Observatory, PO Box O, Socorro, NM 87801, USA",Complete
