title,abs_journal,status
Multidisciplinary Science in the Multimessenger Era,arXiv e-prints,success
The Last Meridian Circles of Pulkovo Observatory,Journal of Astronomical History and Heritage,success
Cosmological Inference with Cosmic Voids and Neural Network Emulators,arXiv e-prints,success
Neutrino Mass Constraints from kSZ Tomography,arXiv e-prints,success
Press-Schechter Formalism and The PBH Mass Distributions,arXiv e-prints,success
CMB-S4: Foreground-Cleaning Pipeline Comparison for Measuring Primordial Gravitational Waves,The Astrophysical Journal,success
Magnetic Reconnection in a Compact Magnetic Dome: Peculiar Emissions and High-velocity Plasma Flows,The Astrophysical Journal,success
Observational and Theoretical Constraints on First-Order Phase Transitions in Neutron Stars,arXiv e-prints,success
Prediction of lithium isotope fluxes using data-driven production cross sections,Physical Review D,success
"The Equation of State of Neutron Stars: Theoretical Models, Observational Constraints, and Future Perspectives",arXiv e-prints,success
Redefining $Q$ for multi-component discs of stars and gas,arXiv e-prints,success
Dynamic spectral tailoring of a 10 GHz laser frequency comb for enhanced calibration of astronomical spectrographs,Optics Express,success
Deep Generative model that uses physical quantities to generate and retrieve solar magnetic active regions,arXiv e-prints,success
The Type Ia Supernova and AGB-Regulated Interstellar Medium of Massive Galaxies,The Astrophysical Journal,success
The DESI 2024 hint for dynamical dark energy is biased by low-redshift supernovae,"Science China Physics, Mechanics, and Astronomy",success
Classification of Solar Radio Spectrum Based on Swin Transformer,Universe,success
Self-Supervised Learning for Solar Radio Spectrum Classification,Universe,success
Candidate RR Lyrae Associated with the Ultrafaint Dwarf Galaxy Aquarius III,The Astronomical Journal,success
Unveiling the emission properties of three long-period pulsars using FAST,The Astrophysical Journal Supplement Series,success
Ruling out AGNs as the dominant source of cosmic reionization with JWST,Nature Astronomy,success
The relationship between galaxy size and halo properties: Insights from the IllustrisTNG simulations and differential clustering,arXiv e-prints,success
Characterization of Starlink Direct-to-Cell Satellites In Brightness Mitigation Mode,arXiv e-prints,success
Dependence of Multi-band Absolute Magnitudes and Color Indexes of the Tip of Red Giant Branch Stars on Metallicity in the Galactic Globular Clusters,The Astrophysical Journal,success
Diffusion-based mass map reconstruction from weak lensing data,Physical Review D,success
Hyperluminous Supersoft X-ray Sources in the Chandra Catalog,The Astrophysical Journal,success
Million Points of Light (MPoL): a PyTorch library for radio interferometric imaging and inference,arXiv e-prints,success
Propagation Delays of Ultra-High-Energy Cosmic Ray from Active Galactic Nuclei,Astroparticle Physics,success
Caught in the Act of Quenching: A Population of Post-Starburst Ultra-Diffuse Galaxies,The Open Journal of Astrophysics,success
Conservative limits on primordial black holes from the LIGO-Virgo-KAGRA observations,arXiv e-prints,success
Magnetohydrodynamic Simulation of a Coronal Mass Ejection Observed During the Near-radial Alignment of Solar Orbiter and Earth,The Astrophysical Journal,success
Bayesian Deep-stacking for High-energy Neutrino Searches,Journal of Cosmology and Astroparticle Physics,success
MauveSim: the instrument simulator software for the Mauve mission,RAS Techniques and Instruments,success
The Membership and Age of the Planet-hosting Young Star IRAS 04125+2902,The Astronomical Journal,success
The cold neutral medium in filaments at high Galactic latitudes,Astronomy and Astrophysics,success
Deciphering the Multi-Wavelength Flares of the Most Distant Very High-Energy (>100 GeV) Gamma-ray Emitting Blazar,Journal of High Energy Astrophysics,success
Secondary spins of extreme mass ratio inspirals: Measurement precision and astrophysical applications,Physical Review D,success
Modeling Cosmic Rays at AGN Jet-Driven Shock Fronts,Monthly Notices of the Royal Astronomical Society,success
K-dwarf Radius Inflation and a 10-Gyr Spin-down Clock Unveiled through Asteroseismology of HD~219134 from the Keck Planet Finder,The Astrophysical Journal,success
Revisiting turbulent properties of solar convection with 3D radiative hydrodynamic modeling,arXiv e-prints,success
GWSkyNet-Multi II: an updated deep learning model for rapid classification of gravitational-wave events,The Astrophysical Journal,success
Reheating chiral dynamos with spin-0 and massive spin-1 torsions via chiral asymmetry,arXiv e-prints,success
Sun-as-a-star analysis of simulated solar flares,Astronomy and Astrophysics,success
The Influence of Stellar Chromospheres and Coronae on Exoplanet Transmission Spectroscopy,The Astrophysical Journal,success
From Streaming Instability to the Onset of Pebble Accretion I. Investigating the Growth Modes in Planetesimal Rings,Astronomy and Astrophysics,success
The structure of $\kappa$ Cygnid and August Draconid meteoroid streams,Astronomy and Astrophysics,success
A search for extremely-high-energy neutrinos and first constraints on the ultra-high-energy cosmic-ray proton fraction with IceCube,Physical Review Letters,success
"Amplifying Resonant Repulsion with Inflated Young Planets, Overlooked Inner Planets, and Non-zero Initial $\Delta$",The Astrophysical Journal,success
Cosmic Shear Nulling as a geometrical cosmological probe: methodology and sensitivity to cosmological parameters and systematics,arXiv e-prints,success
Occultation constraints on solar system formation models,Philosophical Transactions of the Royal Society of London Series A,success
Mixing neutron star material into the jets in the common envelope jets supernova r-process scenario,The Open Journal of Astrophysics,success
Novel geometrical test of cosmological expansion from photometric data,arXiv e-prints,success
On likelihood-based analysis of the gravitationally (de)lensed CMB,arXiv e-prints,success
Modelling a Transiting Circumbinary Disc in the HD98800 System,Monthly Notices of the Royal Astronomical Society,success
Tuning the cosmic instrument: robust cosmology through combined probes,Journal of Cosmology and Astroparticle Physics,success
A Poisson Process AutoDecoder for X-ray Sources,The Astrophysical Journal,success
Deep Constraints on [CII]158$\mu$m in JADES-GS-z14-0: Further Evidence for a Galaxy with Low Gas Content at z=14.2,arXiv e-prints,success
Towards a robust model-independent test of the DAMA/LIBRA dark matter signal: ANAIS-112 results with six years of data,Physical Review Letters,success
ADF22-WEB: ALMA and JWST (sub)kpc-scale views of dusty star-forming galaxies in a $z\approx$3 proto-cluster,arXiv e-prints,success
Impact of phase signal formulations on tilt-to-length coupling noise in the LISA test mass interferometer,Classical and Quantum Gravity,success
Tracking the Chemical Evolution of Hydrocarbons Through Carbon Grain Supply in Protoplanetary Disks,The Astrophysical Journal,success
Clustered unified dark sector cosmology: Background evolution and linear perturbations in light of observations,Physical Review D,success
Ideas and Requirements for the Global Cosmic-Ray Observatory (GCOS),arXiv e-prints,success
"Intrinsic galaxy alignments in the KiDS-1000 bright sample: dependence on colour, luminosity, morphology and galaxy scale",Astronomy and Astrophysics,success
The orbital parameters of the binary BLAP HD133729 : advantages of the frequency modulation method,arXiv e-prints,success
ALMA-IMF XVII - Census and lifetime of high-mass prestellar cores in 14 massive protoclusters,Astronomy and Astrophysics,success
Non-Perturbative Hamiltonian and Higher Loop Corrections in USR Inflation,arXiv e-prints,success
Photometric Objects Around Cosmic Webs (PAC) Delineated in a Spectroscopic Survey. VIII. Revisiting the Lensing is Low Effect,arXiv e-prints,success
Predicting the detectability of sulphur-bearing molecules in the solid phase with simulated spectra of JWST instruments,Astronomy and Astrophysics,success
Low-Acceleration Gravitational Anomaly from Bayesian 3D Modeling of Wide Binary Orbits: Methodology and Results with Gaia DR3,The Astrophysical Journal,success
Single-Pulse Morphology of PSR J1935+1616 (B1933+16) Based on archival data from FAST,The Astrophysical Journal,success
A jet-driven bipolar outflow in NGC 1125,Monthly Notices of the Royal Astronomical Society,success
First Doppler image and starspot-corrected orbit for $λ$ Andromedae: A multifaceted activity analysis,Astronomy and Astrophysics,success
Cosmological information content of Betti curves and $k$-nearest neighbor distributions,arXiv e-prints,success
Tracing high-z Galaxies in X-rays with JWST and Chandra,The Astrophysical Journal,success
Projecting Unequal Time Fields and Correlators of Large Scale Structure,Physical Review D,success
The Pristine survey: XXVIII. The extremely metal-poor stream C-19 stretches over more than 100 degrees,Astronomy and Astrophysics,success
Accounting for motion of supernova host galaxy in statistical inference from SNIa data,arXiv e-prints,success
Measurements of the Thermal Sunyaev-Zel'dovich Effect with ACT and DESI Luminous Red Galaxies,Physical Review D,success
Modeling spatially-resolved galactic H$α$ emission for galaxy clustering,The Astrophysical Journal,success
AstroSat UVIT Survey of M31: New Compact Source Catalog,The Astrophysical Journal Supplement Series,success
The spectral shapes of Galactic gamma-ray source,arXiv e-prints,success
Black Hole Spin-down in Collapsars in 3D Neutrino Transport GRMHD Simulations,arXiv e-prints,success
Flip-flop QPO changes during state transitions: a case study of GX339-4 and theoretical discussion,arXiv e-prints,success
PSR J0952-0607: Probing the Stiffest Equations of State and r-Mode Suppression Mechanisms,arXiv e-prints,success
Pulsar scattering as a probe for structures in the interstellar medium,The Astrophysical Journal,success
PSR J1231-1411 revisited: Pulse Profile Analysis of X-ray Observation,The Astrophysical Journal,success
DESI dark secrets,arXiv e-prints,success
Semi-analytic modelling of Pop. III star formation and metallicity evolution - II. Impact on 21cm power spectrum,Monthly Notices of the Royal Astronomical Society,success
"The Multi-wavelength Extinction Law and its Variation in the Coalsack Molecular Cloud Based on the Gaia, APASS, SMSS, 2MASS, GLIMPSE, and WISE Surveys",The Astrophysical Journal,success
Searching for axion dark matter gegenschein of the Vela supernova remnant with FAST,The Astrophysical Journal,success
Morphological Demographics of Galaxies at $z\sim 10-16$: Log-Normal Size Distribution and Exponential Profiles Consistent with the Disk Formation Scenario,The Astrophysical Journal,success
"The Impact of $^{12}$C($α, γ$)$^{16}$O Reaction on the Presupernova Evolution and Explodability of Massive Stars",arXiv e-prints,success
"The Impact of Bars, Spirals and Bulge-Size on Gas-Phase Metallicity Gradients in MaNGA Galaxies",The Astrophysical Journal,success
Exploring the stellar streams and satellites around the giant low surface brightness galaxy Malin 1,arXiv e-prints,success
Spinning spectral sirens: Robust cosmological measurement using mass-spin correlations in the binary black hole population,The Astrophysical Journal,success
FEASTS Combined with Interferometry. III. The Low-column-density HI Around M51 and Possibility of Turbulent-mixing Gas Accretion,The Astrophysical Journal,success
Velocity Structure and Molecular Formation in Polaris Molecular Cloud,The Astrophysical Journal,success
CSST Large Scale Structure Analysis Pipeline: III. Emission-line Redshift Measurement for Slitless Spectra,Monthly Notices of the Royal Astronomical Society,success
New Red Supergiant Stars in the other side of our Galaxy,Monthly Notices of the Royal Astronomical Society,success
The nature of gravitational wave events with host environment escape velocities,The Astrophysical Journal,success
The blazar PKS 0605-085 as the origin of the KM3-230213A ultra high energy neutrino event,arXiv e-prints,success
Single-Impulse Reachable Set in Arbitrary Dynamics Using Polynomials,Journal of Guidance Control Dynamics,success
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO Outrigger,The Astrophysical Journal Supplement Series,success
A Possible Four-Month Periodicity in the Activity of FRB 20240902A,The Astrophysical Journal,success
CSST Cosmological Emulator I: Matter Power Spectrum Emulation with one percent accuracy,"Science China Physics, Mechanics, and Astronomy",success
Solar System Elemental Abundances from the Solar Photosphere and CI-Chondrites,Space Science Reviews,success
Euclid: Finding strong gravitational lenses in the Early Release Observations using convolutional neural networks,Astronomy and Astrophysics,success
ExoMiner++ on TESS with Transfer Learning from Kepler: Transit Classification and Vetting Catalog for 2-min Data,The Astronomical Journal,success
Long-rising Type II supernovae resembling supernova 1987A - II. A new analytical model to describe these events,Monthly Notices of the Royal Astronomical Society,success
Uncertainty Quantification for the Relativistic Inverse Stellar Structure Problem,Physical Review D,success
No evidence for dynamical dark energy from DESI and SN data: a symbolic regression analysis,arXiv e-prints,success
Hamiltonians to all Orders in Perturbation Theory and Higher Loop Corrections in Single Field Inflation with PBHs Formation,arXiv e-prints,success
MICONIC: JWST Unveils Shocked Hot Core Chemistry in the Western Nucleus of Arp 220,Astronomy and Astrophysics,success
Cryoscope: A Cryogenic Infrared Survey Telescope,Publications of the Astronomical Society of the Pacific,success
J-PLUS: Spectroscopic validation of H$\alpha$ emission line maps in spatially resolved galaxies,Astronomy and Astrophysics,success
Resonances of compressible stars in precessing orbits around a spinning black hole,Physical Review D,success
Gaia~19cwm - a dwarf nova of WZ Sge type,Astronomy Letters,success
GEMS JWST: Transmission spectroscopy of TOI-5205b reveals significant stellar contamination and a metal-poor atmosphere,arXiv e-prints,success
Expansion-history preferences of DESI and external data,Physical Review D,success
SIP-IFVM: A time-evolving coronal model with an extended magnetic field decomposition strategy,The Astrophysical Journal Supplement Series,success
Gravitational Wave Memory from Accelerating Relativistic Jets in Multiple Thick Shell Scenarios,Physical Review D,success
Reconstructing the shape of the non-linear matter power spectrum using CMB lensing and cosmic shear,Physical Review D,success
The New Science of Unidentified Aerospace-Undersea Phenomena (UAP),Progress in Aerospace Sciences,success
Evolving dark energy models: Current and forecast constraints,Physical Review D,success
"The Gaia parallax discrepancy for the cluster Pismis 19, and separating $δ$ Scutis from Cepheids",The Astrophysical Journal,success
Emergence of a neutrino flux above 5 PeV and implications for ultrahigh energy cosmic rays,arXiv e-prints,success
Piecemeal method revisited,arXiv e-prints,success
PAH carbon accretion and return to the diffuse interstellar medium,Astronomy and Astrophysics,success
The EDIBLES survey. X. The 6196 {\AA} diffuse interstellar band: Identification of side DIBs as indication for a small carrier molecule,Astronomy and Astrophysics,success
A decade of sub-arcsecond imaging with the International LOFAR Telescope,Astrophysics and Space Science,success
Relativistic Gas Accretion onto Supermassive Black Hole Binaries from Inspiral through Merger,Physical Review D,success
Photometric metallicities of 0.8 million KiDS stars,Research in Astronomy and Astrophysics,success
The Extraordinary Maser Flaring Event in the Massive Protostellar System NGC6334I: Multi-epoch milliarcsecond resolution investigation of the 6.7-GHz Methanol Masers,Monthly Notices of the Royal Astronomical Society,success
Estimate the Mass Escaping Rates of Radius-valley-spanning Planets in TOI-431 System via XUV Evaporation,The Astrophysical Journal,success
The Interaction of a Supernova Remnant with background interstellar turbulence,The Astrophysical Journal Supplement Series,success
Secondary ionisation in hot atmospheres and interactions between planetary and stellar winds,Astronomy and Astrophysics,success
Impact of accretor size on the morphology of supersonic Bondi-Hoyle-Lyttleton accretion flows,Astronomy and Astrophysics,success
Likelihood-free Model Selection in Cosmic Reionization with Three-dimensional Tomographic 21 cm Lightcone Images,arXiv e-prints,success
Metis Observations of Alfvénic Outflows Driven by Interchange Reconnection in a Pseudostreamer,The Astrophysical Journal,success
The ultra-high-energy event KM3-230213A within the global neutrino landscape,Physical Review X,success
Constraining Axion Dark Matter with Galactic-Centre Resonant Dynamics,arXiv e-prints,success
Early Galaxies from Rare Inflationary Processes and JWST Observations,Physical Review D,success
Fast Radio Bursts as cosmological proxies: estimating the Hubble constant,arXiv e-prints,success
On the potential cosmogenic origin of the ultra-high-energy event KM3-230213A,The Astrophysical Journal,success
Characterising Candidate Blazar Counterparts of the Ultra-High-Energy Event KM3-230213A,arXiv e-prints,success
Discovering Numerous Interstellar Objects with A Dedicated Space Telescope,arXiv e-prints,success
Analysis of the weak lensing mass-richness relation of redMaPPer clusters in the LSST DESC DC2 simulations,Astronomy and Astrophysics,success
On the Potential Galactic Origin of the Ultra-High-Energy Event KM3-230213A,arXiv e-prints,success
In-depth characterization of the Kepler-10 three-planet system with HARPS-N RVs and Kepler TTVs,Astronomy and Astrophysics,success
"The Expanding 3-Kiloparsec Arms are neither Expanding nor Spiral Arms, but X1 Orbits driven by the Galactic Bar",The Astrophysical Journal,success
Measuring the Distances to Asteroids from One Observatory in One Night with Upcoming All-Sky Telescopes,arXiv e-prints,success
In Search of the First Stars: An Ultra-Compact and Very Low Metallicity Lyman-$α$ Emitter Deep Within the Epoch of Reionization,The Astrophysical Journal,success
Planck PR4 (NPIPE) map-space cosmic birefringence,Journal of Cosmology and Astroparticle Physics,success
Markarian 501 reincarnates with vigor as a temporary EHBL during VHE flaring in July 2014,arXiv e-prints,success
Gamma-ray emission from decays of boosted nuclei in proto-magnetar jets,Physical Review D,success
On the spatial distribution of luminous blue variables in the M33 galaxy,Research in Astronomy and Astrophysics,success
DEMNUni: the Sunyaev-Zel'dovich effect in the presence of massive neutrinos and dynamical dark energy,arXiv e-prints,success
"JWST's little red dots: an emerging population of young, low-mass AGN cocooned in dense ionized gas",arXiv e-prints,success
"A ""Black Hole Star"" Reveals the Remarkable Gas-Enshrouded Hearts of the Little Red Dots",arXiv e-prints,success
AREPO-IDORT: Implicit Discrete Ordinates Radiation Transport for Radiation Magnetohydrodynamics on an Unstructured Moving Mesh,arXiv e-prints,success
A low-redshift preference for an interacting dark energy model,Journal of Cosmology and Astroparticle Physics,success
Thermodynamics of sign-switching dark energy models,arXiv e-prints,success
Ignition of weak interactions and r-process outflows in super-collapsar accretion disks,arXiv e-prints,success
The Role of Planetary-Scale Waves on the Stratospheric Superrotation in Titan's Atmosphere,Icarus,success
The S-PLUS Fornax Project (S+FP): Mapping globular clusters systems within 5 virial radii around NGC 1399,The Astronomical Journal,success
Light in the dark forest -- I. An efficient optimal estimator for 3D Lyman-alpha forest power spectrum,Journal of Cosmology and Astroparticle Physics,success
Slitless Areal Pure-Parallel HIgh-Redshift Emission Survey (SAPPHIRES): Early Data Release of Deep JWST/NIRCam Images and Spectra in MACS J0416 Parallel Field,arXiv e-prints,success
Effects of Dark Matter Self Interactions on Sagittarius and Its Stream,The Astrophysical Journal,success
A Fresh Look at Neutrino Self-Interactions With the Lyman-$α$ Forest: Constraints from EFT and PRIYA,Physical Review D,success
The OGLE Collection of Variable Stars. Over 75 000 Eclipsing and Ellipsoidal Binary Systems in the Magellanic Clouds,Acta Astronomica,success
SAPPHIRES: A Galaxy Over-Density in the Heart of Cosmic Reionization at $z=8.47$,arXiv e-prints,success
Neutrino emission and corona heating induced by high-energy proton interactions in Seyfert galaxies,Physical Review D,success
"Analyzing the Morphology of Late-phase Stellar Flares From G-, K-, and M-type Stars",The Astrophysical Journal,success
Extending evolution mapping to massive neutrinos with COMET,Physical Review D,success
Distributions and Physical Properties of Molecular Clouds in the G24 Region of the Milky Way,The Astronomical Journal,success
Testing f (R) gravity models with DESI-BAO and other cosmological data,arXiv e-prints,success
Hide and seek with a Neutron Star. Hint of Neutron Star activity in SN 2015ap light curve,Monthly Notices of the Royal Astronomical Society,success
Compression fronts from fast radio bursts,arXiv e-prints,success
Evolution of Shock Structures and QPOs After Halting BHL Accretion onto Kerr Black Hole,arXiv e-prints,success
"Strong LensIng and Cluster Evolution (SLICE) with JWST: Early Results, Lens Models, and High-Redshift Detections",arXiv e-prints,success
A stellar dynamical mass measure of an inactive black hole in the distant universe,arXiv e-prints,success
$^{56}$Ni production in long-lived binary neutron star merger remnants,arXiv e-prints,success
Every Nearby Energetic Pulsar Is Surrounded by a Region of Inhibited Diffusion,arXiv e-prints,success
Comparison of dynamical dark energy with ΛCDM in light of DESI DR2,Monthly Notices of the Royal Astronomical Society,success
Embers of Active Galactic Nuclei: Tidal Disruption Events and Quasi-periodic Eruptions,The Astrophysical Journal,success
Radio Spectral Energy Distribution of Low-$z$ Metal Poor Extreme Starburst Galaxies: Novel insights on the escape of ionizing photons,arXiv e-prints,success
Linear Analysis and Simulations of the Cosmic-Ray Streaming Instability: the Importance of Oblique Waves,Physical Review D,success
Local patch analysis of ACT DR6 convergence map using morphological statistics,arXiv e-prints,success
GRB timing: decoding the hidden slow jets in GRB 060729,The Astrophysical Journal,success
Spreading and multi-wavelength emissions of an ultra-narrow relativistic jet from GRB 221009A,arXiv e-prints,success
Why the DESI Results Should Not Be A Surprise,arXiv e-prints,success
HST Grism Observations of a z~1.8 Cluster Candidate from the Clusters Occupied by Bent Radio AGN (COBRA) Survey,The Astrophysical Journal,success
Gravitational Wave Signatures of Preheating in Higgs--$R^2$ Inflation,Physical Review D,success
Probing the Internal Structure of Neutron Stars: A Comparative Analysis of Three Different Classes of Equations of State,The Astrophysical Journal,success
Insight-HXMT observations of the 2023 outburst in Aql X-1,Research in Astronomy and Astrophysics,success
A multi-messenger hierarchical triple merger gravitational-wave event pair GW190514-GW190521 inside AGN J124942.3 + 344929,Physical Review D,success
Catalog-based detection of unrecognized blends in deep optical ground based catalogs,arXiv e-prints,success
Prompt Stellar and Binary Black Hole Mergers from Chemically Homogeneous Evolution in Triples,Astronomy and Astrophysics,success
Chronology of our Galaxy from Gaia CMD-fitting (ChronoGal): the early formation of the Milky Way disk and the impact of Gaia-Sausage-Enceladus,arXiv e-prints,success
The SPT-Deep Cluster Catalog: Sunyaev-Zel'dovich Selected Clusters from Combined SPT-3G and SPTpol Measurements over 100 Square Degrees,arXiv e-prints,success
On the origin of radio polarization in pulsar polar caps,arXiv e-prints,success
Stream Automatic Detection with Convolutional Neural Network (SAD-CNN),Astronomy and Astrophysics,success
Exploring the secondary peaks of autocorrelation in black hole flare movies,Physical Review D,success
Tidal Amplitudes in the Magellanic Cloud Population of Heartbeat Stars,arXiv e-prints,success
Observations of complex organic molecules in the gas phase of the interstellar medium,arXiv e-prints,success
Bright Sungrazing Comets in a Great Historical Controversy and Prospects for Their Appearance in the Near Future,arXiv e-prints,success
Spectroscopy of Supernova Remnants and Candidates in M31,The Astrophysical Journal,success
Anisotropic Turbulent Flows Observed in Above the Loop-top Regions During Solar Flares,The Astrophysical Journal,success
What's the matter with $Σm_ν$?,Physical Review D,success
Origin of holes and rings in the Green Monster of Cassiopeia A: Insights from 3D magnetohydrodynamic simulations,Astronomy and Astrophysics,success
Revisiting physical properties of mock globular cluster tidal tails,The Astrophysical Journal,success
Sombrero Galaxy as an Accelerator of Ultrahigh Energy Cosmic Ray Nuclei,arXiv e-prints,success
Contribution to the Radio Light Curves of a Core-Collapse Supernova due to the Off-axis Gamma-Ray Burst Afterglow,arXiv e-prints,success
GD-1 and the Milky Way Starless Subhalos,The Astrophysical Journal,success
Reconstructing the dark energy density in light of DESI BAO observations,Physical Review D,success
Constraining the parameters of heavy dark matter and memory-burdened primordial black holes with DAMPE electron measurements,Journal of High Energy Astrophysics,success
OLÉ -- Online Learning Emulation in Cosmology,Journal of Cosmology and Astroparticle Physics,success
The Lyman alpha Sky as Observed by New Horizons,The Astronomical Journal,success
Decoding FRB energetics and frequency features hidden by observational incompleteness,arXiv e-prints,success
Stringent Constraints on Self-Interacting Dark Matter Using Milky-Way Satellite Galaxies Kinematics,arXiv e-prints,success
Search for dark matter subhalos among unassociated Fermi-LAT sources in presence of dataset shift,arXiv e-prints,success
Euclid Quick Data Release (Q1) -- First Euclid statistical study of galaxy mergers and their connection to active galactic nuclei,arXiv e-prints,success
Euclid Quick Data Release (Q1): The evolution of the passive-density and morphology-density relations between z=0.25 and z=1,arXiv e-prints,success
Euclid Quick Data Release (Q1) Exploring galaxy properties with a multi-modal foundation model,arXiv e-prints,success
"Euclid Quick Data Release (Q1), A first look at the fraction of bars in massive galaxies at $z<1$",arXiv e-prints,success
Euclid Quick Data Release (Q1): First visual morphology catalogue,arXiv e-prints,success
Euclid Quick Data Release (Q1) - Characteristics and limitations of the spectroscopic measurements,arXiv e-prints,success
Euclid Quick Data Release (Q1): From spectrograms to spectra: the SIR spectroscopic Processing Function,arXiv e-prints,success
Euclid Quick Data Release (Q1). Photometric redshifts and physical properties of galaxies through the PHZ processing function,arXiv e-prints,success
Euclid Quick Data Release (Q1): From images to multiwavelength catalogues: the Euclid MERge Processing Function,arXiv e-prints,success
Euclid Quick Data Release (Q1). NIR processing and data products,arXiv e-prints,success
Euclid Quick Data Release (Q1) - Data release overview,arXiv e-prints,success
Euclid Quick Data Release (Q1). First Euclid statistical study of the active galactic nuclei contribution fraction,arXiv e-prints,success
Primordial correlators from multi-point propagators,Journal of Cosmology and Astroparticle Physics,success
Euclid Quick Data Release (Q1) First study of red quasars selection,arXiv e-prints,success
"Limits on the Ejecta Mass During the Search for Kilonovae Associated with Neutron Star-Black Hole Mergers: A case study of S230518h, GW230529, S230627c and the Low-Significance Candidate S240422ed",Physical Review D,success
Orbital eccentricity in a neutron star - black hole binary,arXiv e-prints,success
Euclid: Quick Data Release (Q1) -- A census of dwarf galaxies across a range of distances and environments,arXiv e-prints,success
Euclid: Quick Data Release (Q1) - Photometric studies of known transients,arXiv e-prints,success
Euclid Quick Data Release (Q1). Galaxy shapes and alignments in the cosmic web,arXiv e-prints,success
Euclid Quick Data Release (Q1). The role of cosmic connectivity in shaping galaxy clusters,arXiv e-prints,success
Combined Euclid and Spitzer galaxy density catalogues at $z$>1.3 and detection of significant Euclid passive galaxy overdensities in Spitzer overdense regions,arXiv e-prints,success
Euclid Quick Data Release (Q1). The first catalogue of strong-lensing galaxy clusters,arXiv e-prints,success
Euclid Quick Data Release (Q1). LEMON - Lens Modelling with Neural networks. Automated and fast modelling of Euclid gravitational lenses with a singular isothermal ellipsoid mass profile,arXiv e-prints,success
Euclid Quick Data Release (Q1). The Strong Lensing Discovery Engine E - Ensemble classification of strong gravitational lenses: lessons for Data Release 1,arXiv e-prints,success
Euclid Quick Data Release (Q1). The Strong Lensing Discovery Engine D - Double-source-plane lens candidates,arXiv e-prints,success
Euclid Quick Data Release (Q1). The Strong Lensing Discovery Engine C - Finding lenses with machine learning,arXiv e-prints,success
Euclid Quick Data Release (Q1) The Strong Lensing Discovery Engine B -- Early strong lens candidates from visual inspection of high velocity dispersion galaxies,arXiv e-prints,success
Euclid Quick Data Release (Q1): The Strong Lensing Discovery Engine A -- System overview and lens catalogue,arXiv e-prints,success
"Euclid Quick Data Release (Q1). An investigation of optically faint, red objects in the Euclid Deep Fields",arXiv e-prints,success
Euclid Quick Data Release (Q1). The active galaxies of Euclid,arXiv e-prints,success
Planck isocurvature constraint on primordial black holes lighter than a kiloton,arXiv e-prints,success
Construction of the Damped Ly$α$ Absorber Catalog for DESI DR2 Ly$α$ BAO,Physical Review D,success
The galaxy-environment connection revealed by constrained simulations,arXiv e-prints,success
On the Origin of the Very-High-Energy Diffuse $γ$-Ray Emission: The Case for Galactic Source Cocoons,Astronomy and Astrophysics,success
Superconductivity in Magnetars: Exploring Type-I and Type-II States in Toroidal Magnetic Fields,Physical Review D,success
Validation of the DESI DR2 Ly$α$ BAO analysis using synthetic datasets,arXiv e-prints,success
Validation of the DESI DR2 Measurements of Baryon Acoustic Oscillations from Galaxies and Quasars,Physical Review D,success
Analyses of anomalous lensing events detected from the UKIRT microlensing survey,Astronomy and Astrophysics,success
Data Release 1 of the Dark Energy Spectroscopic Instrument,arXiv e-prints,success
Extended Dark Energy analysis using DESI DR2 BAO measurements,Physical Review D,success
"Adding further pieces to the synchronization puzzle: QBO, bimodality, and phase jumps",Solar Physics,success
Asteroseismology of Long-Period Variables with OGLE-IV data: Using Global Seismic Parameters as Luminosity Indicators,The Astrophysical Journal,success
Resolved Stellar and Nebular Kinematics of a Star-forming Galaxy at $z\sim2$,The Astrophysical Journal,success
Hints of an Anomalous Lens Population towards the Galactic Bulge,arXiv e-prints,success
Supermassive black holes stripping a subgiant star down to its helium core: a new type of multi-messenger source for LISA,The Astrophysical Journal,success
Double-peaked Ca II traces a relativistic BLR disk in NGC 4593,Astronomy and Astrophysics,success
Formation and Evolution of Compact Binaries Containing Intermediate Mass Black Holes in Dense Star Clusters`,The Astrophysical Journal,success
Clouds and Hazes in GJ 1214b's Metal-Rich Atmosphere,The Astronomical Journal,success
Euclid Quick Data Release (Q1) Ultracool dwarfs in the Euclid Deep Field North,arXiv e-prints,success
"To CPL, or not to CPL? What we have not learned about the dark energy equation of state",arXiv e-prints,success
Euclid Quick Data Release (Q1): A photometric search for ultracool dwarfs in the Euclid Deep Fields,arXiv e-prints,success
A novel approach of optimizing the image cleaning performance of Imaging Atmospheric Cherenkov Telescopes: Application to a time-based cleaning for H.E.S.S,Astronomy and Astrophysics,success
A Mysteriously Tight H$α$-[O III] Correlation and Non-Case B Balmer Decrements Revealed by the Spectra from the James Webb Space Telescope NIRSpec Instrument,arXiv e-prints,success
Constraints on AvERA Cosmologies from Cosmic Chronometers and Type Ia Supernovae,Astronomy and Astrophysics,success
The Jiutian simulations for the CSST extra-galactic surveys,"Science China Physics, Mechanics, and Astronomy",success
Euclid Quick Data Release (Q1). The Euclid view on Planck galaxy protocluster candidates: towards a probe of the highest sites of star formation at cosmic noon,arXiv e-prints,success
Gravitational-wave kicks impact spins of black holes from hierarchical mergers,The Astrophysical Journal,success
AliCPT Sensitivity to Cosmic Reheating,arXiv e-prints,success
Visible Emission Line Coronagraph (VELC) onboard ADITYA-L1,Solar Physics,success
