title,abstract,authors,figures,pages,tables,pdf_link,primary_subject,secondary_subjects,submitted_journal,published_journal,keywords,date,comments,journals,num_checks,affiliations,total_citations,non_self_citations,journal_flag
A Spectrum of Cosmological Rips and Their Observational Signatures,"We present a unified dark energy framework capable of generating a continuous spectrum of cosmological ``rip'' scenarios -- including the Big Rip, Grand Rip, Mild Rip, Little Rip, Little Sibling of the Big Rip, and the newly found Dollhouse Rip -- while ensuring a physically consistent evolution across cosmic history. Building on earlier phenomenological proposals, we introduce a barotropic equation-of-state parameter with a sigmoid-like correction to guarantee a strictly positive dark energy density and to avoid early-time pathologies commonly present in previous models. Using this formulation, closed-form analytic expressions for the energy density can be obtained. This, in turn, enables a systematic classification of future singularities based on the signs and magnitudes of two key parameters of the model. We test these scenarios with state-of-the-art cosmological probes, including DESI DR2 BAO, cosmic chronometers, CMB compressed likelihoods, and the Pantheon+ supernovae sample. According to our Bayesian analysis, all rip scenarios yield best-fit parameters compatible with $\Lambda$CDM at the $1\sigma$ level, with Bayes factors weakly favoring $\Lambda$CDM. The mild, logarithmic evolution of the proposed dark energy density prevents current observations from distinguishing among the different future fates. We conclude that, for rip cosmologies to gain observational support over $\Lambda$CDM, they must display more accentuated late-time dynamical features -- such as perhaps rapid transitions or a phantom-divide crossing -- within the redshift range probed by present surveys.","['Mikel Artola', 'Ruth Lazkoz', 'Vincenzo Salzano']",1.0,12.0,0.0,arxiv.org/pdf/2512.20383,Cosmology and Nongalactic Astrophysics,['General Relativity and Quantum Cosmology'],,,[],2025-12-24,"V1: 12 pages, 1 figure",,0,"[None, None, None]",1,1,0
From Cosmology to Cosmonomy,"For most of its history, cosmology was a qualitatively constrained discourse on the universe, shaped by limited observational access and the absence of global dynamical laws. This situation has changed decisively in recent decades. Modern cosmology is now driven by an unprecedented flow of high-precision data from a wide range of independent probes, including the cosmic microwave background, large-scale structure, supernovae, baryon acoustic oscillations, gravitational lensing, cosmic chronometers, redshift-space distortions, gravitational-wave standard sirens, and emerging 21-cm observations, among others. This observational wealth is matched by a concrete theoretical and mathematical framework, based on general relativity, which provides the dynamical equations governing the evolution of spacetime and matter at cosmic scales. Combined with explicit background and perturbative equations, this framework enables quantitative, predictive, and falsifiable descriptions of cosmic evolution. Thus, cosmology operates today as a nomological natural science of the observable universe, characterized by general laws, predictive power, and systematic empirical testing. We argue that this epistemic transformation motivates a corresponding conceptual shift, directly analogous to the historical transition from astrology to astronomy. In this sense, the transition from cosmology to \emph{cosmonomy} should begin to be discussed among cosmologists, or, more precisely, among cosmonomers.",['Emmanuel N. Saridakis'],0.0,9.0,0.0,arxiv.org/pdf/2512.20416,Cosmology and Nongalactic Astrophysics,"['General Relativity and Quantum Cosmology', 'History and Philosophy of Physics']",,,[],2025-12-24,"Conceptual and epistemological analysis of modern precision cosmology as a data-driven, law-based science (termed ""cosmonomy''), addressed to the cosmology community and historians/philosophers of science",,0,[None],0,0,0
The Indian Pulsar Timing Array Data Release 2: II. Customised Single-Pulsar Noise Analysis and Noise Budget,"We present the results of customised single-pulsar noise analysis of 27 millisecond pulsars from the second data release of the Indian Pulsar Timing Array (InPTA-DR2). We model various stochastic noise sources present in the dataset using stationary Gaussian processes and estimate the noise budget of the InPTA-DR2 using Bayesian inference, involving model selection, Fourier harmonics selection, and parameter estimation for each pulsar. We check the efficacy of our noise characterisation by performing the Anderson-Darling test for Gaussianity on the noise-subtracted residuals. We find that all 11 pulsars with time baseline $\lesssim2.5\,\text{yr}$ show Gaussian residuals and do not have evidence for any red noise process in the optimal model, except for PSR J1944$+$0907, which shows presence of DM noise. PSRs J0437$-$4715, J1909$-$3744 and J1939$+$2134 show preference for the most complicated noise model, having achromatic and chromatic red noise processes. Only 4 out of 15 pulsars with time baseline $\gtrsim2.5\,\text{yr}$ show significant non-Gaussianity in noise-subtracted residuals. We suspect that this may require more advanced methods to model noise processes properly. A comparative study of six pulsars with data removed near solar conjunctions showed deviations from the parameter estimates obtained with the original dataset, indicating potential bias in red noise processes due to unmodeled solar-wind effects. The results presented in this work remain broadly consistent with the InPTA-DR1 noise budget, with better constraints obtained on noise processes for several pulsars and support for achromatic red noise in PSR J1012$+$5307 due to the extended time baseline.","['K. Nobleson', 'Churchil Dwivedi', 'Shantanu Desai', 'Bhal Chandra Joshi', 'Himanshu Grover', 'Debabrata Deb', 'Vaishnavi Vyasraj', 'Kunjal Vara', 'Hemanga Tahbildar', 'Abhimanyu Susobhanan', 'Mayuresh Surnis', 'Aman Srivastava', 'Shubhit Sardana', 'Keitaro Takahashi', 'Amarnath', 'P. Arumugam', 'Manjari Bagchi', 'Neelam Dhanda Batra', 'Manoneeta Chakraborty', 'Shaswata Chowdhury', 'Shebin Jose Jacob', 'Jibin Jose', 'Shubham Kala', 'Ryo Kato', 'M. A. Krishnakumar', 'Kuldeep Meena', 'Avinash Kumar Paladi', 'Arul Pandian', 'Kaustubh Rai', 'Prerna Rana', 'Manpreet Singh', 'Jaikhomba Singha', 'Adya Shukla', 'Pratik Tarafdar', 'Prabu Thiagraj', 'Zenia Zuraiq']",8.0,21.0,5.0,arxiv.org/pdf/2512.20455,High Energy Astrophysical Phenomena,,,,"['Gravitational Waves', 'Pulsar Timing ArraysarXiv:2512', 'Pulsars', 'Neutron Stars']",2025-12-24,"21 pages,Submitted for review",,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0,0,0
Machine Learning vs. SED-Fitting: A Comparative Analysis of Accuracy in Stellar Mass Estimation,"Traditional spectral energy distribution (SED)-fitting methods for stellar mass estimation face persistent challenges including systematic biases and computational constraints. We present a controlled comparison of machine learning (ML) and SED-fitting methods, assessing their accuracy, robustness, and computational efficiency. Using a sample of COSMOS-like galaxies from the Horizon-AGN simulation as a benchmark with known true masses, we evaluate the Parametric t-SNE (Pt-SNE) algorithm -- trained on noise-injected BC03 models -- against the established SED-fitting code LePhare. Our results demonstrate that Pt-SNE achieves superior accuracy, with a root-mean-square error (sigma_F) of 0.169 dex compared to LePhare's 0.306 dex. Crucially, Pt-SNE exhibits significantly lower bias (0.029 dex) compared to LePhare (0.286 dex). Pt-SNE also shows greater robustness across all stellar mass ranges, particularly for low-mass galaxies (10^9 to 10^10 solar masses), where it reduces errors by 47-53 %. Even when restricted to only six optical bands, Pt-SNE outperforms LePhare using all 26 available photometric bands, underscoring its superior informational efficiency. Computationally, Pt-SNE processes large datasets approximately 3.2 x 10^3 times faster than LePhare. These findings highlight the fundamental advantages of ML methods for stellar mass estimation, demonstrating their potential to deliver more accurate, stable, and scalable measurements for large-scale galaxy surveys.","['Vahid Asadi', 'Akram Hasani Zonoozi', 'Hosein Haghi']",9.0,6.0,2.0,arxiv.org/pdf/2512.20544,Astrophysics of Galaxies,,,,['Stellar mass estimation — Machine learning — SED-fitting — Pt-SNE — LePhare 1'],2025-12-24,"6 pages, 9 figures, 2 tables, Accepted for Publication in ApJ",,0,"[None, None, None]",0,0,1
Revisiting the near infrared Calcium triplet as metallicity indicator,"The near-infrared Calcium II Triplet (CaT), around 850nm, is a key metallicity indicator for red giant stars. We present a revised [Fe/H] calibration as a function of CaT line strengths and four luminosity indicators, including the $Gaia$ $G$-band, together with the classical $V$, $I$, and $K_s$ bandpasses. For this purpose, we used a sample of 366 red giant stars belonging to 25 globular and open clusters, complemented by 52 extremely metal-poor field giant stars. The CaT line strengths are determined by fitting Gaussian-Lorentzian combination profiles using the Python lmfit package, which utilises the algorithms implemented therein. The derived calibration is valid for a wide metallicity range, $-4$\,dex$ \lesssim \mathrm{[Fe/H]} \lesssim +0.15$, and for ages older than $\sim$200 Myr. In addition, we performed a detailed assessment of how factors such as spectral resolution, spectral quality (expressed through the signal-to-noise ratio), and the algorithms used to constrain the line profiles affect the measured line strengths and the resulting metallicities.","['M. Navabi', 'R. Carrera', 'N. E. D. Noël', 'C. Gallart', 'E. Pancino', 'M. De Leo']",6.0,10.0,4.0,arxiv.org/pdf/2512.20574,Solar and Stellar Astrophysics,['Astrophysics of Galaxies'],,,['stars: abundances — stars: late-type — 1 INTRODUCTION The near-infrared Ca /i'],2025-12-24,,,0,"[None, None, None, None, None, None]",0,0,0
The Sensitivity of PUEO to Cosmogenic Neutrinos and Exotic Physics Scenarios,"Several observatories designed to detect ultrahigh-energy neutrinos are planned for the next decade. The most imminent of these is the Payload for Ultrahigh Energy Observations (PUEO), a long-duration balloon-based experiment that will provide unprecedented sensitivity to neutrinos with energies in the range of ~ 1 - 1000 EeV. In this work, we assess the scientific reach of PUEO. In particular, we evaluate the sensitivity of this observatory to cosmogenic neutrinos and, in turn, to the proton fraction of the ultrahigh-energy cosmic-ray spectrum. We also consider the potential of PUEO to probe scenarios in which neutrinos are produced through the decays of ultraheavy dark matter particles or are radiated from cosmic strings. We find that PUEO will be able to constrain the proton composition of ultrahigh-energy cosmic rays in scenarios that feature very strong source evolution and in which protons are accelerated to extremely high energies. Although gamma-ray observations are generally more sensitive to decaying particles than neutrino observations, PUEO is expected to set the strongest neutrino-detector constraints above 10^19 eV. PUEO will also provide the strongest constraints on some models of cosmic strings.","['Angelina Sherman', 'Ke Fang', 'Dan Hooper']",5.0,9.0,0.0,arxiv.org/pdf/2512.20594,High Energy Astrophysical Phenomena,,,,[],2025-12-24,,,0,"[None, None, None]",0,0,0
Dynamical Dark Energy models in light of the latest observations,"In this paper, we study several models and parameterizations of dynamical dark energy (DE) that have been studied already in the past, in conjunction with the recently proposed model $w$XCDM, the running vacuum model (RVM) with and without a threshold at $z=1$ and two variants of it, the RRVM and the ``flipped RVM'', and compare them all with the concordance $\Lambda$CDM model and the popular $w_0w_a$CDM parameterization. We use two standard sets of cosmological data, one including distant supernovae from Pantheon$+$ and the other from DES-Y5. The rest of the data (BAO from DESI DR2 and CMB from Planck PR4) are shared by the two sets. They are analyzed with the help of \texttt{CLASS}. No structure formation data are utilized for this analysis and no use is made of the SH0ES calibration of $H_0$. Even so, we find that the flipped RVM and to a lesser extent the $w$XCDM and the RVM with threshold, point to significant evidence of dynamical DE, at a level comparable to $w_0w_a$CDM, more conspicuously for the dataset that involves DES-Y5 observations. We also find that while more traditional models studied in the past, in which there is an exchange between vacuum energy and cold dark matter (through e.g. an interactive source proportional either to the density of dark matter or to that of vacuum) still hint at dynamical DE, the strength of the statistical signal (which we assess through information criteria and other estimators) is nevertheless less pronounced. Finally, we discuss the ability of the various models to explain the data by performing an analysis of their effective equation-of-state parameters and corresponding evolution of their dark energy densities.","['Javier de Cruz Pérez', 'Adrià Gómez-Valent', 'Joan Solà Peracaula']",3.0,18.0,6.0,arxiv.org/pdf/2512.20616,Cosmology and Nongalactic Astrophysics,"['General Relativity and Quantum Cosmology', 'High Energy Physics - Phenomenology']",,"The Astrophysical Journal, Volume 991, Issue 1, id.23, 2025",[],2025-12-24,"18 pages, 4 Tables and 3 Figures. Extended discussion and references added",,0,"[None, None, None]",2,1,1
BASS.L. Near-infrared Data Release 3: A Spectral Atlas and Characterization of AGN,"We present an analysis of near-infrared (NIR) emission-line properties, AGN diagnostics, and circumnuclear gas dynamics for 453 hard X-ray selected (14$-$195 keV) AGN from the BAT AGN Spectroscopic Survey (BASS) NIR Data Release 3 (DR3; $\langle z \rangle=0.036$, $z<1.0$). This dataset is the largest compilation of rest-frame NIR spectroscopic observations of hard-X-ray-selected AGN and includes the full DR2 sample. Observations were obtained with VLT X-shooter, a multiwavelength (0.3$-$2.5$\mu$m) spectrograph ($R$ = 4,000$-$18,000), using a $\geq 2 \sigma$ detection threshold, enabling broad analysis of emission features. We find that NIR coronal lines, particularly SiVI $\lambda1.964$, are more reliable tracers of AGN luminosity than optical [OIII], showing a tighter correlation with hard X-ray luminosity ($\sigma=0.25$dex) than [OIII] $\lambda5007$ ($\sigma=0.55$dex). Broad Paschen lines (Pa$\alpha$ and Pa$\beta$) are detected in 12% of Seyfert 2 and 57% of Seyfert 1.9, consistent with previous hidden BLR studies. We introduce a refined NIR diagnostic diagram (FeII $\lambda1.257$$\mu$m/Pa$\beta$ and H$_2$ $\lambda 2.122$$\mu$m/Br$\gamma$) that effectively distinguishes AGN, star-forming, and composite sources even when contamination limits individual diagnostics or only upper limits are available. Additionally, we find a moderate correlation ($p \approx 7.4 \times 10^{-3}$) between hot molecular gas mass (traced by H$_2$ 2.121$\mu$m) and X-ray luminosity, while its relation with Eddington ratio is weaker. The hot-to-cold gas mass ratio spans four orders of magnitude, averaging $\sim 3 \times 10^{-7}$, indicating diverse molecular gas excitation processes likely driven by star formation and AGN feedback. Our results underscore the value of NIR spectroscopy in probing AGN activity, obscured BLRs, and the complex interactions between AGN and their circumnuclear environments.","['Jarred Gillette', 'Michael J. Koss', 'Darshan Kakkad', 'Federica Ricci', 'Isabella Lamperti', 'Kyuseok Oh', 'Alejandra Rojas', 'Yaherlyn Diaz', 'Turgay Caglar', 'Kohei Ichikawa', 'Ignacio del Moral-Castro', 'Claudio Ricci', 'Ezequiel Treister', 'Franz E. Bauer', 'Richard Mushotzky', 'Mislav Baloković', 'Jakob S. den Brok', 'Benny Trakhtenbrot', 'C. Megan Urry', 'Fiona Harrison', 'Daniel Stern']",15.0,27.0,4.0,arxiv.org/pdf/2512.20702,Astrophysics of Galaxies,,,,[],2025-12-25,"27 pages, 15 figures, accepted for publication in The Astrophysical Journal Supplement Series",,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0,0,1
Flux rope formation through flux cancellation of sheared coronal arcades in a 3D convectively-driven MHD simulation,"Context. Space weather and its potential negative consequences for life on Earth has received increasing attention in recent decades. Particularly predicting CME onset has become important from a security perspective. To predict CMEs, one must first understand the dynamics leading to pre-eruptive magnetic field configurations such as flux ropes.Aims. In this study, we investigate the realistic formation of coronal flux ropes above the solar photosphere. The aim is to find if and how flux ropes can form there, and how the formation is related to flux cancellation at the photosphere.Methods. We run a convective non-symmetric 3D radiative MHD simulation with the code Bifrost. A linear force-free field with sheared coronal arcades is slowly inserted in the 24Mmx24Mmx30Mm simulation box. After this, the self-consistent stochastic plasma flows of the convection zone drive several small-scale flux cancellations and magnetic reconnection, without external influence. Lagrangian markers called corks are used to track the dynamic evolution of the magnetic field. Results. Over a period of 2.5 h, a flux rope is generated with photospheric footpoints separated by up to 12Mm. The flux rope forms gradually through several individual events, such as slipping reconnection, U-loop emergence, and thick-photosphere tether-cutting reconnection.Conclusions. Flux ropes can be formed in the solar atmosphere solely driven by convection and flux cancellations at the photosphere. However, not all flux cancellations contribute to the build-up of the flux rope, and some coronal reconnection events that do are not clearly related to flux cancellation. The formation process of flux ropes from coronal sheared arcades driven by convection is therefore more complex than in the original smooth flux cancellation model. But the end result is qualitatively the same. Flux cancellation works. A flux rope is formed.","['Sondre Vik Furuseth', 'Guillaume Aulanier']",8.0,16.0,1.0,arxiv.org/pdf/2512.20716,Solar and Stellar Astrophysics,,A&A,,['magnetohydrodynamics (MHD) – magnetic fields – prominences – coronal mass ejections (CME) 1'],2025-12-25,"16 pages, 58 figures, Accepted for publication in A&A",,1,"[None, None]",0,0,1
A Physics Informed Neural Network For Deriving MHD State Vectors From Global Active Regions Observations,"Solar active regions (ARs) do not appear randomly but cluster along longitudinally warped toroidal bands ('toroids') that encode information about magnetic structures in the tachocline, where global-scale organization likely originates. Global MagnetoHydroDynamic Shallow-Water Tachocline (MHD-SWT) models have shown potential to simulate such toroids, matching observations qualitatively. For week-scale early prediction of flare-producing AR emergence, forward-integration of these toroids is necessary. This requires model initialization with a dynamically self-consistent MHD state-vector that includes magnetic, flow fields, and shell-thickness variations. However, synoptic magnetograms provide only geometric shape of toroids, not the state-vector needed to initialize MHD-SWT models. To address this challenging task, we develop PINNBARDS, a novel Physics-Informed Neural Network (PINN)-Based AR Distribution Simulator, that uses observational toroids and MHD-SWT equations to derive initial state-vector. Using Feb-14-2024 SDO/HMI synoptic map, we show that PINN converges to physically consistent, predominantly antisymmetric toroids, matching observed ones. Although surface data provides north and south toroids' central latitudes, and their latitudinal widths, they cannot determine tachocline field strengths, connected to AR emergence. We explore here solutions across a broad parameter range, finding hydrodynamically-dominated structures for weak fields (~2 kG) and overly rigid behavior for strong fields (~100 kG). We obtain best agreement with observations for 20-30 kG toroidal fields, and ~10 degree bandwidth, consistent with low-order longitudinal mode excitation. To our knowledge, PINNBARDS serves as the first method for reconstructing state-vectors for hidden tachocline magnetic structures from surface patterns; potentially leading to weeks ahead prediction of flare-producing AR-emergence.","['Subhamoy Chatterjee', 'Mausumi Dikpati']",12.0,25.0,0.0,arxiv.org/pdf/2512.20747,Solar and Stellar Astrophysics,"['Artificial Intelligence', 'Machine Learning']",,,['Sun: Solar Interior — Sun: Magnetohydrodynamics — Sun: Solar Magnetic Flux Emer- gence — Sun: Photosphere — Sun: Solar Active Regions — techniques: neural networks 1'],2025-12-25,"25 pages, 12 figures, accepted for publication in The Astrophysical Journal",,0,"[None, None]",0,0,1
"Simultaneous JWST, NuSTAR, and VLA Monitoring of Sgr A*: A Unified Picture of the Variable IR, X-ray and Radio Emission","Flux variability is a fundamental channel of information from Sgr A* because of its direct probe of processes occurring within an accretion disk under strong gravity. We present simultaneous IR, X-ray and radio observations of Sgr A* on 2024 Apr 05 using JWST, NuSTAR, and VLA. We report the detection of a strong X-ray flare with a luminosity of $\sim5.2x10^{35}$ erg/s coincident with a bright near-IR flare, and a brightening in radio about an hour later. We investigate the candidate physical mechanisms for the X-ray flare emission and conclude that this can best be explained by inverse Compton scattering of near-IR flare radiation. We propose a dynamic scenario analogous to a coronal mass ejection in which a magnetic flux rope is ejected from Sgr A*'s inner accretion flow with a current sheet extending down from the rope to the bulk of the accretion flow. Reconnection within the sheet produces oppositely directed flows of accelerated particles moving upwards towards the rope and downwards towards the accretion flow. Infrared radiation from the approaching energetic electrons is enhanced by beaming and up-scattered by thermal electrons in the accretion flow to produce the strong X-ray flare. Meanwhile, the relativistic electrons moving in the opposite direction away from the disk experience weaker magnetic fields so radiate at longer wavelengths by feeding into the magnetic flux tube and adiabatically cooled during its subsequent expansion. This physical picture attempts to unify the origin of the variable emission from Sgr A* at IR, X-ray and radio/submm wavelengths.","['F. Yusef-Zadeh', 'M. Wardle', 'R. G. Arendt', 'C. O. Heinke', 'C. J. Chandler', 'H. Bushouse', 'G. A. Moellenbrock']",14.0,25.0,1.0,arxiv.org/pdf/2512.20786,High Energy Astrophysical Phenomena,,,,[],2025-12-25,"25 pages, 14 figures, submitted to ApJ",,0,"[None, None, None, None, None, None, None]",0,0,0
CORINOS IV: Quantifying Baseline-Fitting Uncertainties in SO$_2$ Ice Measurements with JWST/MIRI,"Sulfur dioxide (SO$_2$) ice has been tentatively detected in protostellar envelopes, but its reliability as a solid-state sulfur reservoir remains unclear. We present new measurements of SO$_2$ ice from 6.8-8.5 $\mu$m toward four Class 0 protostars observed with JWST's Mid-Infrared (MIRI) Medium Resolution Spectrometer, as part of the COMs ORigin Investigated by the Next-generation Observatory in Space (CORINOS) program. The sample spans a luminosity range from 1 $L_\odot$ (B335, IRAS 15398-3359) to 10 $L_\odot$ (L483, Ser-emb~7). To assess continuum placement uncertainty in absorption spectra, we apply randomized polynomial fits over the restricted region. We fit laboratory spectra from the Leiden Ice Database for Astrochemistry (LIDA) using the open-source Python library Omnifit. We detect the 7.7 $\mu$m CH$_4$ band in all sources and find its column density robust to baseline choice, providing a reference for evaluating the weaker SO$_2$ feature on its blue shoulder and quantifying baseline-related uncertainty. Three SO$_2$ laboratory ices were tested: pure SO$_2$ ice yields 0.3-1.2% of volatile sulfur may be locked in SO$_2$ ice (lower and upper limits); CH$_3$OH:SO$_2$ ice gives 0.02-0.18%, but with lower quality fitting. The best-fitting H$_2$O:SO$_2$ ice yields 0.2-0.9%, which we consider the most realistic. These ranges define plausible bounds on SO$_2$ ice abundances in our sample. We find evidence for SO$_2$ in Ser-emb 7, L483, and IRAS 15398-3359, but emphasize the noisy spectrum of B335 prevents a definitive detection. Comparing SO$_2$ ice abundances across the different environments, we assess how conditions influence role of SO$_2$ as a potential sulfur reservoir and implications for the longstanding ``missing sulfur'' problem.","['Rachel E. Gross', 'Yao-Lun Yang', 'L.Ilsedore Cleeves', 'Ewine F. van Dishoeck', 'Robin T. Garrod', 'Mihwa Jin', 'Nami Sakai', 'Christopher N. Shingledecker', 'JaeYeong Kim', 'Jennifer B. Bergner', 'Neal J. Evans II', 'Joel D. Green', 'Chul-Hwan Kim', 'Jeong-Eun Lee', 'Yuki Okoda', 'Will R.M. Rocha', 'Brielle Shope', 'Himanshu Tyagi']",14.0,28.0,5.0,arxiv.org/pdf/2512.20820,Earth and Planetary Astrophysics,"['Astrophysics of Galaxies', 'Solar and Stellar Astrophysics']",ApJ,,"['mid-infrared', 'JWST', 'spectroscopy', 'protostars 1']",2025-12-25,"Accepted for publication in ApJ, 28 pages, 14 figures",,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0,0,1
"Thawing Quintessence: Priors, evidence, and likely trajectories","We perform a Bayesian comparison between thawing quintessence and a cosmological constant, incorporating theoretically motivated priors on the phenomenological Padé-w parameters used to model thawing dynamics. We find that thawing quintessence is consistently preferred over a cosmological constant when combining BAO data from DESI DR2 and CMB data from Planck+ACT with any of the major supernova compilations, including the recently updated DES-Dovekie sample. This preference is not sensitive to our choice of prior, but it is contingent on the inclusion of supernovae in the analysis. We comment on the consistency between various information criteria and Bayesian evidence ratios, finding that the Deviance Information Criterion (DIC) tracks the Bayesian evidence more reliably than either the Akaike Information Criterion (AIC) or the Bayesian Information Criterion (BIC). Finally, we use observational likelihoods to identify which thawing trajectories are compatible with the available data, independently of theoretical priors.",['David Shlivko'],3.0,23.0,0.0,arxiv.org/pdf/2512.20832,Cosmology and Nongalactic Astrophysics,['General Relativity and Quantum Cosmology'],,,[],2025-12-25,"23 pages, 3 figures",,0,[None],0,0,0
Revisiting the Mass Step: Environmental Dependence of Type Ia Supernovae in Low-Metallicity Host Galaxies,"Despite the tremendous impact of Type Ia supernovae (SNe Ia) on the field of cosmology, their underlying physics are still poorly understood. Studies have found an intriguing correlation between standardized Type Ia supernova (SN Ia) luminosities and host galaxy masses, commonly referred to as the ""mass step"". SNe Ia in massive galaxies appear systematically brighter than in lower-mass, star-forming hosts after standardization. However, previous analyses use host galaxy mass estimates derived largely from optical data alone and assume parametric forms for host star formation histories (SFHs), both of which are known to misestimate galaxy stellar masses. In this work, we re-examine the mass-step relation with a sample of SN Ia host galaxies complete in broadband optical (3000 Angstrom to 1 micron) and near-infrared (up to 1.8 micron) data, and in some cases including mid-infrared observations (up to 4.5 micron), using Prospector to derive nonparametric SFHs. We find that while the masses for these galaxies have indeed been underestimated, the overall trend in SN Ia luminosity versus host mass remains largely unchanged. We also uncover an environmental metallicity-dependent trend, in which low-metallicity galaxies (Z < -1 Zsol) may drive much of the observed SN Ia luminosity-mass correlation, suggesting that the chemical composition of the SN environment plays a central role in shaping the standardized brightness of SNe Ia.","['Estefania Padilla Gonzalez', 'A. Joshi Bhavin', 'Louis G. Strolger', 'Bhoomika Khatri', 'Fae Rest', 'Armin Rest', 'Benjamin Rose', 'Rodrigo Angulo', 'David Coulter', 'James M. Derkacy', 'Ori Fox', 'Justin D. R. Pierel', 'Koji Shukawa', 'Melissa Shahbandeh', 'Matthew Siebert', 'Conor Larison', 'Massimo Griggio']",11.0,15.0,3.0,arxiv.org/pdf/2512.20834,Cosmology and Nongalactic Astrophysics,['High Energy Astrophysical Phenomena'],,,[],2025-12-25,,,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0,0,0
Universal relations between the quasinormal modes of neutron stars and magnetic tidal deformability,"Tidal deformabilities are one of the observable quantities characterizing neutron stars, which are strongly associated with the stellar compactness, the ratio of the stellar mass to the radius. In addition to the tidal deformability, the quasinormal modes excited in a neutron star are also an important property for extracting information about the neutron star interior, adopting gravitational wave asteroseismology. In this study, we especially focus on the magnetic tidal deformability, which acts on the gravitational waveform from a neutron star binary merger as a higher-order effect than the electric tidal deformability, and derive the universal relations expressing the quasinormal modes, such as the fundamental ($f$-), 1st pressure ($p_1$-), and 1st spacetime ($w_1$-) modes, as a function of the magnetic tidal deformability. The universal relations derived in this study exhibit accuracy more or less comparable to those of the electric tidal deformability.",['Hajime Sotani'],7.0,10.0,0.0,arxiv.org/pdf/2512.20867,High Energy Astrophysical Phenomena,['Nuclear Theory'],,,[],2025-12-25,,,0,[None],0,0,0
On the Relationship Between Nanoflare Energy and Delay in the Closed Solar Corona,"Determining the relationship between nanoflare energies and their delays is the key for understanding the physical mechanism of the events and the plasma response. Nanoflares analyzed in this study were generated self-consistently via prescribed photospheric motions in a 3D multi-strand simulation of a subset of active region magnetic flux. Energies and durations were quantified using three distinct methods. In this study, we investigated the correlation between nanoflare energies (E) and delays ($\tau_D$) using two non-parametric, rank-based statistical tests. Across all methods, results consistently show little to no correlation. This is further supported by the distribution of the exponent $\alpha$ in the assumed relation $E \propto \tau_D^\alpha$, which peaks near zero, and by broad delay distributions within fixed energy bins. These findings are irrespective of whether delays are correlated with the energy of the preceding or subsequent event. They also hold for a subset of high-energy nanoflares. The absence of correlation suggests that nanoflare onset is not solely determined by a critical value of magnetic stress and may involve triggering by other events, perhaps related to a locally complex topology.","['Shanwlee Sow Mondal', 'James A. Klimchuk', 'Craig D. Johnston', 'Lars K. S. Daldorff']",10.0,17.0,0.0,arxiv.org/pdf/2512.20875,Solar and Stellar Astrophysics,['Plasma Physics'],ApJ,,"['Solar magnetic reconnection (1504)', 'Solar coronal heating (1989)', 'Solar coronal loops (1485) 1', 'Solar active regions (1974)', 'Solar active region magnetic fields (1975)']",2025-12-25,"17 pages, 10 figures, Accepted for publication in ApJ",,0,"[None, None, None, None]",0,0,1
Considering lensing effect on gravitational wave signals from black holes in mass gap,"The pair-instability supernova (PISN) mechanism predicts a mass gap in the black hole population, where no stellar-origin black holes are expected to form. However, the binary black hole merger events GW190521 and GW231123 appear unusual, as current analyses place their component masses within the PISN mass gap. In this work, we investigate the relationship between different lensing magnifications and the inferred source-frame black hole masses for these two events. If the gravitational wave source is lensed, neglecting lensing effect can bias the inferred luminosity distance and hence the redshift, leading to an underestimation of the luminosity distance and consequently an overestimation of the source-frame masses, potentially placing them in the mass-gap region. For the two events in mass gap, when adopting a lower bound of $60 M_{\odot}$ for the mass gap, the minimum magnifications required to shift the inferred source-frame masses below this gap boundary are found to be $\mu=12.2$ for GW190521 and $\mu=320.1$ for GW231123, corresponding to lensing-corrected luminosity distances of $11155\, \mathrm{Mpc}$ and $15207\, \mathrm{Mpc}$, respectively. These results provide a quantitative reference for assessing the lensing hypothesis as a possible explanation for the existence of black holes in the PISN mass gap.","['Qiyuan Yang', 'Zhi-Qiang You', 'Xilong Fan']",6.0,10.0,0.0,arxiv.org/pdf/2512.20890,High Energy Astrophysical Phenomena,['General Relativity and Quantum Cosmology'],,,[],2025-12-25,"10 pages,6 figures. Comments are welcome",,0,"[None, None, None]",0,0,0
