original_index,arxiv_id,extracted_authors,extracted_affiliations,extracted_countries,first_author_country
24,2501.13062,"[""John Brennan"", ""Sreedhar Balu"", ""Yuxiang Qin"", ""John Regan"", ""Chris Power""]","[""Centre for Astrophysics and Space Science Maynooth, Department of Physics, Maynooth University, Maynooth, Ireland"", ""School of Physics, University of Melbourne, Parkville, VIC 3010, Australia; Facultad de F\u00c3\u00adsicas, Multidisciplinary Unit for Energy Science, Universidad de Sevilla, 41012, Seville, Spain; ARC Centre of Excellence for All Sky Astrophysics in 3 Dimensions (ASTRO 3D)"", ""Research School of Astronomy and Astrophysics, Australian National University, Canberra, ACT 2611, Australia"", ""Centre for Astrophysics and Space Science Maynooth, Department of Physics, Maynooth University, Maynooth, Ireland"", ""International Centre for Radio Astronomy Research (ICRAR), M468, University of Western Australia, 35 Stirling Hwy, Crawley, WA 6009, Australia; ARC Centre of Excellence for All Sky Astrophysics in 3 Dimensions (ASTRO 3D)""]","[""Ireland"", ""Australia; Spain"", ""Australia"", ""Ireland"", ""Australia""]",Ireland
26,2501.13049,"[""B. Rani"", ""Jungeun Kim"", ""I. Papadakis"", ""K. C. Gendreau"", ""M. Masterson"", ""K. Hamaguchi"", ""E. Kara"", ""S.-S. Lee"", ""R.~Mushotzky""]","[""NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA; Center for Space Science and Technology, University of Maryland Baltimore County, USA; Korea Astronomy and Space science Institute, 776 Daedeokdae-ro, Yuseong-gu, Daejeon 30455, Korea"", ""Korea Advanced Institute of Science and Technology, 291 Daehak-ro, Yuseong-gu, Daejeon 34141, Republic of Korea"", ""Department of Physics and Institute of Theoretical and Computational Physics, University of Crete, 71003 Heraklion, Greece; Institute of Astrophysics, FORTH, GR-71110 Heraklion, Greece"", ""NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA"", ""MIT Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA"", ""NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA"", ""MIT Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA"", ""Korea Astronomy and Space science Institute, 776 Daedeokdae-ro, Yuseong-gu, Daejeon 30455, Korea"", ""Department of Astronomy, University of Maryland, College Park, MD 20742, USA""]","[""USA; South Korea"", ""South Korea"", ""Greece"", ""USA"", ""USA"", ""USA"", ""USA"", ""South Korea"", ""USA""]",USA
27,2501.13048,"[""A. C. Raga"", ""A. Noriega-Crespo"", ""A. Castellanos-Ram\u00c3\u00adrez"", ""J. Cant\u00c3\u00b3"", ""H. Arce"", ""M. Lebr\u00c3\u00b3n"", ""J.L Morales Ortiz"", ""A. N. Ortiz Capeles"", ""C. A. Pantoja""]","[""Instituto de Ciencias Nucleares , Universidad Nacional Aut\u00c3\u00b3noma de M\u00c3\u00a9xico , Ap. 70-543, Ciudad Universitaria, CDMX 04510, M\u00c3\u00a9xico"", ""Space Telescope Science Institute , 3700 San Martin Dr., Baltimore, MD 21211, USA"", ""Instituto de Astronom\u00c3\u00ada , Universidad Nacional Aut\u00c3\u00b3noma de M\u00c3\u00a9xico , Ap. 70-658, Ciudad Universitaria, CDMX 04510, M\u00c3\u00a9xico"", ""Instituto de Astronom\u00c3\u00ada , Universidad Nacional Aut\u00c3\u00b3noma de M\u00c3\u00a9xico , Ap. 70-658, Ciudad Universitaria, CDMX 04510, M\u00c3\u00a9xico"", ""Dep. of Astronomy, Yale University, New Haven, CT 06511m USA"", ""Univ. of Puerto Rico-R\u00c3\u00ado Piedras , General Studies Faculty, Dep. of Physical Sciences , San Juan, Puerto Rico, USA"", ""Univ. of Puerto Rico-R\u00c3\u00ado Piedras , Natural Sciences Faculty, Dep. of Physics , San Juan, Puerto Rico, USA"", ""Univ. of Puerto Rico-R\u00c3\u00ado Piedras , Natural Sciences Faculty, Dep. of Physics , San Juan, Puerto Rico, USA"", ""Univ. of Puerto Rico-R\u00c3\u00ado Piedras , Natural Sciences Faculty, Dep. of Physics , San Juan, Puerto Rico, USA""]","[""Mexico"", ""USA"", ""Mexico"", ""Mexico"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",Mexico
28,2501.13015,"[""Jorge S\u00c3\u00a1nchez Almeida"", ""Ignacio Trujillo"", ""Mireia Montes"", ""Angel R. Plastino""]","[""Instituto de Astrof\u00c3\u00adsica de Canarias, La Laguna, Tenerife, E-38200, Spain; Departamento de Astrof\u00c3\u00adsica, Universidad de La Laguna"", ""Instituto de Astrof\u00c3\u00adsica de Canarias, La Laguna, Tenerife, E-38200, Spain; Departamento de Astrof\u00c3\u00adsica, Universidad de La Laguna"", ""Institute of Space Sciences (ICE, CSIC), Campus UAB, Carrer de Can Magrans, s/n, 08193 Barcelona, Spain"", ""CeBio y Departamento de Ciencias B\u00c3\u00a1sicas, Universidad Nacional del Noroeste de la Prov. de Buenos Aires, UNNOBA, CONICET, Roque Saenz Pe\u00c3\u00b1a 456, Junin, Argentina""]","[""Spain"", ""Spain"", ""Spain"", ""Argentina""]",Spain
29,2501.12999,"[""E. J. Buis"", ""A. M. von Benda-Beckmann"", ""E. Doppenberg"", ""J. Dorant"", ""T.H Jansen"", ""P. Toet"", ""P. Verhooren"", ""J. de Vreugd""]","[""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands; Nikhef, National Institute for Subatomic Physics, Amsterdam, The Netherlands"", ""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"", ""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"", ""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"", ""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"", ""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"", ""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands"", ""TNO, Netherlands Organisation for Applied Sciences, Delft, The Netherlands""]","[""Netherlands"", ""Netherlands"", ""Netherlands"", ""Netherlands"", ""Netherlands"", ""Netherlands"", ""Netherlands"", ""Netherlands""]",Netherlands
30,2501.12990,"[""Konstantin Haubner"", ""Manami Sasaki"", ""Alison Mitchell"", ""Gabriele Ponti"", ""Gavin Rowell"", ""Sabrina Einecke"", ""Miroslav Filipovi\textquotesingle c"", ""Sanja Lazarevi\textquotesingle c"", ""Gerd P\u00c3\u00bchlhofer"", ""Andrew Strong""]","[""Dr. Karl Remeis Observatory, Erlangen Centre for Astroparticle Physics, Friedrich-Alexander-Universit\u00c3\u00a4t Erlangen-N\u00c3\u00bcrnberg, Sternwartstra\u00c3\u0178e 7, 96049 Bamberg, Germany; INAF -- Arcetri Astrophysical Observatory, Largo Enrico Fermi 5, 50125 Firenze, Italy; Dipartimento di Fisica e Astronomia, Universit\u00c3\u00a0 degli Studi di Firenze, via G. Sansone 1, 50019 Sesto Fiorentino, Firenze, Italy"", ""Dr. Karl Remeis Observatory, Erlangen Centre for Astroparticle Physics, Friedrich-Alexander-Universit\u00c3\u00a4t Erlangen-N\u00c3\u00bcrnberg, Sternwartstra\u00c3\u0178e 7, 96049 Bamberg, Germany"", ""Erlangen Centre for Astroparticle Physics, Friedrich-Alexander-Universit\u00c3\u00a4t Erlangen-N\u00c3\u00bcrnberg, Nikolaus-Fiebiger-Str. 2, 91058 Erlangen, Germany"", ""INAF -- Osservatorio Astronomico di Brera, Via E. Bianchi 46, 23807 Merate, Italy; Max-Planck-Institut f{\""u}r extraterrestrische Physik, Gie\u00c3\u0178enbachstra\u00c3\u0178e 1, 85748 Garching, Germany"", ""School of Physics, Chemistry and Earth Sciences, The University of Adelaide, Adelaide 5005, Australia"", ""School of Physics, Chemistry and Earth Sciences, The University of Adelaide, Adelaide 5005, Australia"", ""Western Sydney University, Locked Bag 1797, Penrith South DC, NSW 2751, Australia; CSIRO, Space and Astronomy, PO Box 76, Epping, NSW 1710, Australia; Astronomical Observatory, Volgina 7, 11060 Belgrade, Serbia"", ""Western Sydney University, Locked Bag 1797, Penrith South DC, NSW 2751, Australia; CSIRO, Space and Astronomy, PO Box 76, Epping, NSW 1710, Australia; Astronomical Observatory, Volgina 7, 11060 Belgrade, Serbia"", ""Institut f{\""u}r Astronomie und Astrophysik, Universit{\""a}t T{\""u}bingen, Sand 1, 72076 T{\""u}bingen, Germany"", ""Max-Planck-Institut f{\""u}r extraterrestrische Physik, Gie\u00c3\u0178enbachstra\u00c3\u0178e 1, 85748 Garching, Germany""]","[""Germany; Italy"", ""Germany"", ""Germany"", ""Italy; Germany"", ""Australia"", ""Australia"", ""Australia; Serbia"", ""Australia; Serbia"", ""Germany"", ""Germany""]",Germany
31,2501.12986,"[""James Sullivan"", ""Zolt\u00c3\u00a1n Haiman"", ""Mihir Kulkarni"", ""Eli Visbal""]","[""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Institute of Science and Technology Austria (ISTA), Am Campus 1, Klosterneuburg 3400, Austria"", ""Department of Astronomy, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Department of Physics, Columbia University, 550 West 120th Street, New York, NY, 10027, USA; Institute of Science and Technology Austria (ISTA), Am Campus 1, Klosterneuburg 3400, Austria"", ""University of Toledo, Department of Physics and Astronomy and Ritter Astrophysical Research Center, 2801 W. Bancroft Street, Toledo, Ohio 43606; Institut f\u00c3\u00bcr Astrophysik, Georg-August Universit\u00c3\u00a4t G\u00c3\u00b6ttingen, Friedrich-Hund-Platz 1, D-37077 G\u00c3\u00b6ttingen, Germany"", ""University of Toledo, Department of Physics and Astronomy and Ritter Astrophysical Research Center, 2801 W. Bancroft Street, Toledo, Ohio 43606""]","[""USA; Austria"", ""USA; Austria"", ""USA; Germany"", ""USA""]",USA
32,2501.12977,"[""Peter K. G. Williams""]","[""Center for Astrophysics | Harvard & Smithsonian, Cambridge, MA, USA""]","[""USA""]",USA
33,2501.12970,"[""Peter H. Sims"", ""Jacob Burba"", ""Jonathan C. Pober""]","[""School of Earth and Space Exploration, Arizona State University, USA"", ""Department of Physics and Astronomy, University of Manchester, UK"", ""Department of Physics, Brown University, USA""]","[""USA"", ""United Kingdom"", ""USA""]",USA
35,2501.12925,"[""Cesare Cozza"", ""Kousuke Nakano"", ""Saburo Howard"", ""Hao Xie"", ""Ravit Helled"", ""Guglielmo Mazzola""]","[""Department of Astrophysics, University of Z\u00c3\u00bcrich, Winterthurerstrasse 190, 8057 Z\u00c3\u00bcrich, Switzerland"", ""Center for Basic Research on Materials, National Institute for Materials Science (NIMS), 1-2-1 Sengen, Tsukuba, Ibaraki 305-0047, Japan; Center for Emergent Matter Science (CEMS), RIKEN, 2-1 Hirosawa, Wako, Saitama, 351-0198, Japan."", ""Department of Astrophysics, University of Z\u00c3\u00bcrich, Winterthurerstrasse 190, 8057 Z\u00c3\u00bcrich, Switzerland"", ""Department of Astrophysics, University of Z\u00c3\u00bcrich, Winterthurerstrasse 190, 8057 Z\u00c3\u00bcrich, Switzerland"", ""Department of Astrophysics, University of Z\u00c3\u00bcrich, Winterthurerstrasse 190, 8057 Z\u00c3\u00bcrich, Switzerland"", ""Department of Astrophysics, University of Z\u00c3\u00bcrich, Winterthurerstrasse 190, 8057 Z\u00c3\u00bcrich, Switzerland""]","[""Switzerland"", ""Japan"", ""Switzerland"", ""Switzerland"", ""Switzerland"", ""Switzerland""]",Switzerland
36,2501.12923,"[""V. Lattari"", ""R. Sfair"", ""P. B. Siqueira"", ""C. M. Sch\u00c3\u00a4fer""]","[""S\u00c3\u00a3o Paulo State University (UNESP), School of Engineering and Sciences, 12516-410, Guaratinguet\u00c3\u00a1, Brazil"", ""S\u00c3\u00a3o Paulo State University (UNESP), School of Engineering and Sciences, 12516-410, Guaratinguet\u00c3\u00a1, Brazil; LESIA, Observatoire de Paris, Universit\u00c3\u00a9 PSL, CNRS, Sorbonne Universit\u00c3\u00a9, 5 place Jules Janssen, 92190 Meudon, France"", ""S\u00c3\u00a3o Paulo State University (UNESP), School of Engineering and Sciences, 12516-410, Guaratinguet\u00c3\u00a1, Brazil"", ""Institute of Astronomy and Astrophysics, University of T\u00c3\u00bcbingen, Auf der Morgenstelle 10, 72076, T\u00c3\u00bcbingen, Germany""]","[""Brazil"", ""Brazil; France"", ""Brazil"", ""Germany""]",Brazil
37,2501.12922,"[""A. ud-Doula"", ""J. Krti\textquotesingle cka"", ""B. Kub\u00c3\u00a1tov\u00c3\u00a1""]","[""Penn State Scranton, 120 Ridge View Drive, Dunmore, PA 18512, USA"", ""Department of Theoretical Physics and Astrophysics, Masaryk University, Kotl\u00c3\u00a1rsk\u00c3\u00a1 2, CZ-611 37 Brno, Czech Republic"", ""Astronomical Institute of the Czech Academy of Sciences, Fri\textquotesingle cova 298, 251 65 Ond\textquotesingle r\textquotesingle ejov, Czech Republic""]","[""USA"", ""Czech Republic"", ""Czech Republic""]",USA
38,2501.12917,"[""G. Costa"", ""K. G. Shepherd"", ""A. Bressan"", ""F. Addari"", ""Y. Chen"", ""X. Fu"", ""G. Volpato"", ""C. T. Nguyen"", ""L. Girardi"", ""P. Marigo"", ""A. Mazzi"", ""G. Pastorelli"", ""M. Trabucchi"", ""D. Bossini"", ""S. Zaggia""]","[""Dipartimento di Fisica e Astronomia, Universit\u00c3\u00a0 degli studi di Padova, Vicolo dell'Osservatorio 3, Padova, Italy; Univ Lyon, Univ Lyon1, ENS de Lyon, CNRS, Centre de Recherche Astrophysique de Lyon UMR5574, F-69230 Saint-Genis-Laval, France; INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""SISSA, via Bonomea 365, I--34136 Trieste, Italy; INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""SISSA, via Bonomea 365, I--34136 Trieste, Italy"", ""SISSA, via Bonomea 365, I--34136 Trieste, Italy"", ""Anhui University, Hefei 230601, China"", ""Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China"", ""Dipartimento di Fisica e Astronomia, Universit\u00c3\u00a0 degli studi di Padova, Vicolo dell'Osservatorio 3, Padova, Italy; INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""INAF - Osservatorio Astronomico di Trieste, Via Giambattista Tiepolo 11, Italy; SISSA, via Bonomea 365, I--34136 Trieste, Italy"", ""INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""Dipartimento di Fisica e Astronomia, Universit\u00c3\u00a0 degli studi di Padova, Vicolo dell'Osservatorio 3, Padova, Italy"", ""Dipartimento di Fisica e Astronomia, Universit\u00c3\u00a0 degli studi di Padova, Vicolo dell'Osservatorio 3, Padova, Italy; Dipartimento di Fisica e Astronomia Augusto Righi, Universit\u00c3\u00a0 degli Studi di Bologna, Via Gobetti 93/2, 40129 Bologna, Italy"", ""Dipartimento di Fisica e Astronomia, Universit\u00c3\u00a0 degli studi di Padova, Vicolo dell'Osservatorio 3, Padova, Italy; INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""Dipartimento di Fisica e Astronomia, Universit\u00c3\u00a0 degli studi di Padova, Vicolo dell'Osservatorio 3, Padova, Italy; INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""Dipartimento di Fisica e Astronomia, Universit\u00c3\u00a0 degli studi di Padova, Vicolo dell'Osservatorio 3, Padova, Italy; INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy"", ""INAF - Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Padova, Italy""]","[""Italy; France"", ""Italy"", ""Italy"", ""Italy"", ""China"", ""China"", ""Italy"", ""Italy"", ""Italy"", ""Italy"", ""Italy"", ""Italy"", ""Italy"", ""Italy"", ""Italy""]",Italy
39,2501.12887,"[""A. ud-Doula"", ""J. Krti\textquotesingle cka"", ""B. Kub\u00c3\u00a1tov\u00c3\u00a1""]","[""Penn State Scranton, 120 Ridge View Drive, Dunmore, PA 18512, USA"", ""Department of Theoretical Physics and Astrophysics, Masaryk University, Kotl\u00c3\u00a1rsk\u00c3\u00a1 2, CZ-611 37 Brno, Czech Republic"", ""Astronomical Institute of the Czech Academy of Sciences, Fri\textquotesingle cova 298, 251 65 Ond\textquotesingle r\textquotesingle ejov, Czech Republic""]","[""USA"", ""Czech Republic"", ""Czech Republic""]",USA
40,2501.13102,"[""M. G. Dainotti"", ""B. De Simone"", ""A. Narendra"", ""A. Pollo""]","[""Division of Science,National Astronomical Observatory of Japan, 2 Chome-21-1 Osawa, Mitaka, Tokyo, 181-8588, Japan; The Graduate University for Advanced Studies, SOKENDAI, Shonankokusaimura, Hayama, Miura District, Kanagawa, 240-0115, Japan; Space Science Institutes , 4765 Walnut St Ste B, Boulder, 80301, CO, USA; Nevada Center for Astrophysics, University of Nevada,89154, 4505 Maryland Parkway, Las Vegas, 80301, NV, USA"", ""Dipartimento di Fisica \u00e2\u20ac\u0153E.R. Caianiello\u00e2\u20ac\ufffd, Universit\u00c3\u00a0 di Salerno, Via Giovanni Paolo II, 132, Fisciano, Salerno, 84084, Italy; INFN Gruppo Collegato di Salerno- Sezione di Napoli. c/o Dipartimento di Fisica \u00e2\u20ac\ufffdE.R. Caianiello\u00e2\u20ac\ufffd, Universit\u00c3\u00a0 di Salerno, Via Giovanni Paolo II, 132, Fisciano, Salerno, 84084, Italy"", ""Doctoral School of Exact and Natural Sciences, Jagiellonian University, Krakow, Poland; Astronomical Observatory of Jagiellonian University, Krakow, Poland"", ""National Center for Nuclear Physics (NCB), Warsaw""]","[""Japan; Japan; USA; USA"", ""Italy; Italy"", ""Poland; Poland"", ""Poland""]",Japan; USA
41,2501.12625,"[""Cheng-Rui Zhu"", ""Kai-Kai Duan""]","[""Department of Physics, Anhui Normal University, Wuhu, Anhui, 241000, China; Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China"", ""Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China""]","[""China; China"", ""China""]",China
42,2501.12614,"[""Kewen Zhang"", ""Tim Huege"", ""Ramesh Koirala"", ""Pengxiong Ma"", ""Mat\u00edas Tueros"", ""Xin Xu"", ""Chao Zhang"", ""Pengfei Zhang"", ""Yi Zhang""]","[""Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China; School of Astronomy and Space Science, University of Science and Technology of China, Hefei 230026, China"", ""Institute for Astroparticle Physics (IAP), Karlsruhe Institute of Technology, Karlsruhe, Germany; Astrophysical Institute, Vrije Universiteit Brussels, Belgium"", ""School of Astronomy and Space Science, Nanjing University, Nanjing 210023, China; Key laboratory of Modern Astronomy and Astrophysics, Nanjing University, Ministry of Education, Nanjing 210023, China; Space Research Centre, Faculty of Technology, Nepal Academy of Science and Technology (NAST), Khumaltar, Lalitpur, Nepal"", ""Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China; School of Astronomy and Space Science, University of Science and Technology of China, Hefei 230026, China"", ""IFLP - CCT La Plata - CONICET, Casilla de Correo, La Plata, Argentina; Depto. de F\u00edsica, Fac. de Cs. Ex., Universidad Nacional de La Plata, Casilla de Coreo, La Plata, Argentina"", ""School of Electronic Engineering, Xidian University, No.2 South Taibai Road, Xi\u2019an, China"", ""School of Astronomy and Space Science, Nanjing University, Nanjing 210023, China; Key laboratory of Modern Astronomy and Astrophysics, Nanjing University, Ministry of Education, Nanjing 210023, China; Department of Astronomy, School of Physics, Peking University, Beijing 100871, China; Kavli institute for astronomy and astrophysics, Peking University, Be\u00ef\u00bf\u00bding, China"", ""School of Electronic Engineering, Xidian University, No.2 South Taibai Road, Xi\u2019an, China"", ""Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Sciences, Nanjing 210023, China; School of Astronomy and Space Science, University of Science and Technology of China, Hefei 230026, China""]","[""China; China"", ""Germany; Belgium"", ""China; China; Nepal"", ""China; China"", ""Argentina; Argentina"", ""China"", ""China; China; China; China"", ""China"", ""China; China""]",China
43,2501.12345,"[""Renu Malhotra"", ""Takashi Ito""]","[""The University of Arizona\\ 1629 E University Boulevard\\ Tucson, AZ 85718, USA"", ""National Astronomical Observatory\\ Osawa 2--21--1\\ Mitaka, Tokyo 181--8588, Japan""]","[""USA"", ""Japan""]",USA
44,2501.12342,"[""Hanna Parul"", ""Jeremy Bailin"", ""Sarah R. Loebman"", ""Andrew Wetzel"", ""Megan Barry"", ""Binod Bhattarai""]","[""Department of Physics and Astronomy, University of Alabama, Box 870324, Tuscaloosa, AL, 35487, USA; LIRA, Observatoire de Paris, Universit\u00c3\u00a9 PSL, Sorbonne Universit\u00c3\u00a9, Universit\u00c3\u00a9 Paris Cit\u00c3\u00a9, CY Cergy Paris Universit\u00c3\u00a9, CNRS, 92190 Meudon, France"", ""Department of Physics and Astronomy, University of Alabama, Box 870324, Tuscaloosa, AL, 35487, USA"", ""Department of Physics, University of California, Merced, CA 95343, USA"", ""Department of Physics & Astronomy, University of California, Davis, CA 95616, USA"", ""Department of Physics & Astronomy, University of California, Davis, CA 95616, USA"", ""Department of Physics, University of California, Merced, CA 95343, USA""]","[""USA; France"", ""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",USA; France
45,2501.12340,"[""N. Bizien"", ""C. Froment"", ""M. S. Madjarska"", ""T. Dudok de Wit"", ""M. Velli""]","[""LPC2E, OSUC, Univ Orleans, CNRS, CNES, F-45071 Orleans, France"", ""LPC2E, OSUC, Univ Orleans, CNRS, CNES, F-45071 Orleans, France"", ""Max Planck Institute for Solar System Research, Justus-von-Liebig-Weg 3, 37077, G\u00c3\u00b6ttingen, Germany; Korea Astronomy and Space Science Institute, 34055, Daejeon, Republic of Korea; Space Research and Technology Institute, Bulgarian Academy of Sciences, Acad. G. Bonchev Str., Bl. 1, 1113, Sofia, Bulgaria"", ""LPC2E, OSUC, Univ Orleans, CNRS, CNES, F-45071 Orleans, France; International Space Science Institute, 3012, Bern, Switzerland"", ""Earth, Planetary & Space Sciences, University of California, Los Angeles, CA, USA""]","[""France"", ""France"", ""Germany; South Korea; Bulgaria"", ""France; Switzerland"", ""USA""]",France
46,2501.12334,"[""Mennatalla Mahmoud Ellaqany"", ""Valeria Garcia-Lopez"", ""Emily S. Hatten"", ""Mridul Agarwal"", ""David A. Moffett""]","[""Department of Physics\\ Furman University\\ Greenville, South Carolina 29613, USA"", ""Department of Physics\\ Furman University\\ Greenville, South Carolina 29613, USA"", ""Department of Physics\\ Furman University\\ Greenville, South Carolina 29613, USA"", ""Department of Physics\\ Furman University\\ Greenville, South Carolina 29613, USA"", ""Department of Physics\\ Furman University\\ Greenville, South Carolina 29613, USA""]","[""USA"", ""USA"", ""USA"", ""USA"", ""USA""]",USA
47,2501.12308,"[""Ewa L. \u0141okas""]","[""Nicolaus Copernicus Astronomical Center, Polish Academy of Sciences, Bartycka 18, 00-716 Warsaw, Poland""]","[""Poland""]",Poland
48,2501.12264,"[""YiCheng Dai"", ""Wei Liao""]","[""School of Physics, East China University of Science and Technology, 130 Meilong Road, Shanghai 200237, P. R. China"", ""School of Physics, East China University of Science and Technology, 130 Meilong Road, Shanghai 200237, P. R. China""]","[""China"", ""China""]",China
51,2501.12238,"[""H.E.S.S. Collaboration""]","[""Dublin Institute for Advanced Studies, 31 Fitzwilliam Place, Dublin 2, Ireland; Max-Planck-Institut f\""ur Kernphysik, Saupfercheckweg 1, 69117 Heidelberg, Germany; Yerevan State University, 1 Alek Manukyan St, Yerevan 0025, Armenia; Landessternwarte, Universit\""at Heidelberg, K\""onigstuhl, D 69117 Heidelberg, Germany; Kapteyn Astronomical Institute, University of Groningen, Landleven 12, 9747 AD Groningen, The Netherlands; Laboratoire Leprince-Ringuet, \u00c3\u2030cole Polytechnique, CNRS, Institut Polytechnique de Paris, F-91128 Palaiseau, France; Deutsches Elektronen-Synchrotron DESY, Platanenallee 6, 15738 Zeuthen, Germany; Institut f\""ur Physik und Astronomie, Universit\""at Potsdam, Karl-Liebknecht-Strasse 24/25, D 14476 Potsdam, Germany; Universit\u00c3\u00a9 Paris Cit\u00c3\u00a9, CNRS, Astroparticule et Cosmologie, F-75013 Paris, France; Department of Physics and Electrical Engineering, Linnaeus University, 351 95 V\u00c3\u00a4xj\u00f6, Sweden; Institut f\""ur Physik, Humboldt-Universit\""at zu Berlin, Newtonstr. 15, D 12489 Berlin, Germany; Centre for Space Research, North-West University, Potchefstroom 2520, South Africa; Laboratoire Univers et Th\u00c3\u00a9ories, Observatoire de Paris, Universit\u00c3\u00a9 PSL, CNRS, Universit\u00c3\u00a9 Paris Cit\u00c3\u00a9, 5 Pl. Jules Janssen, 92190 Meudon, France; Sorbonne Universit\u00c3\u00a9, CNRS/IN2P3, Laboratoire de Physique Nucl\u00c3\u00a9aire et de Hautes \u00c3\u2030nergies, LPNHE, 4 place Jussieu, 75005 Paris, France; IRFU, CEA, Universit\u00c3\u00a9 Paris-Saclay, F-91191 Gif-sur-Yvette, France; University of Oxford, Department of Physics, Denys Wilkinson Building, Keble Road, Oxford OX1 3RH, UK; Friedrich-Alexander-Universit\""at Erlangen-N\""urnberg, Erlangen Centre for Astroparticle Physics, Nikolaus-Fiebiger-Str. 2, 91058 Erlangen, Germany; Instytut Fizyki J\text...adrowej PAN, ul. Radzikowskiego 152, 31-342 Krak\u00c3\u00b3w, Poland; School of Physics, University of the Witwatersrand, 1 Jan Smuts Avenue, Braamfontein, Johannesburg, 2050 South Africa; Laboratoire Univers et Particules de Montpellier, Universit\u00c3\u00a9 Montpellier, CNRS/IN2P3, CC 72, Place Eug\u00c3\u00a8ne Bataillon, F-34095 Montpellier Cedex 5, France; School of Physical Sciences, University of Adelaide, Adelaide 5005, Australia; Aix Marseille Universit\u00c3\u00a9, CNRS/IN2P3, CPPM, Marseille, France; School of Science, Western Sydney University, Locked Bag 1797, Penrith South DC, NSW 2751, Australia; Universit\u00c3\u00a9 Bordeaux, CNRS, LP2I Bordeaux, UMR 5797, F-33170 Gradignan, France; Institut f\""ur Astronomie und Astrophysik, Universit\""at T\""ubingen, Sand 1, D 72076 T\""ubingen, Germany; Universit\""at Innsbruck, Institut f\""ur Astro- und Teilchenphysik, Technikerstra\u00c3\u0178e 25, 6020 Innsbruck, Austria; Universit\""at Hamburg, Institut f\""ur Experimentalphysik, Luruper Chaussee 149, D 22761 Hamburg, Germany; Obserwatorium Astronomiczne, Uniwersytet Jagiello\u00c3\u00b1ski, ul. Orla 171, 30-244 Krak\u00c3\u00b3w, Poland; Institute of Astronomy, Faculty of Physics, Astronomy and Informatics, Nicolaus Copernicus University, Grudziadzka 5, 87-100 Torun, Poland; University of Namibia, Department of Physics, Private Bag 13301, Windhoek 10005, Namibia; Department of Physics, Konan University, 8-9-1 Okamoto, Higashinada, Kobe, Hyogo 658-8501, Japan; RIKEN, 2-1 Hirosawa, Wako, Saitama 351-0198, Japan""]","[""Ireland; Germany; Armenia; Germany; Netherlands; France; Germany; Germany; France; Sweden; Germany; South Africa; France; France; France; United Kingdom; Germany; Poland; South Africa; France; Australia; France; Australia; France; Germany; Austria; Germany; Poland; Namibia; Japan; Japan""]",Ireland; Germany; Armenia; Germany; Netherlands; France; Germany; Germany; France; Sweden; Germany; South Africa; France; France; France; United Kingdom; Germany; Poland; South Africa; France; Australia; France; Australia; France; Germany; Austria; Germany; Poland; Namibia; Japan; Japan
